"country","year","value"
"Afghanistan","1961",95.64
"Afghanistan","1962",95.93
"Afghanistan","1963",97.45
"Afghanistan","1964",98.99
"Afghanistan","1965",100.38
"Afghanistan","1966",102.85
"Afghanistan","1967",108.41
"Afghanistan","1968",110.57
"Afghanistan","1969",111.35
"Afghanistan","1970",112.03
"Afghanistan","1971",112.78
"Afghanistan","1972",111.97
"Afghanistan","1973",111.87
"Afghanistan","1974",116.16
"Afghanistan","1975",119.22
"Afghanistan","1976",121.79
"Afghanistan","1977",122.13
"Afghanistan","1978",122.43
"Afghanistan","1979",121.05
"Afghanistan","1980",119.85
"Afghanistan","1981",116.21
"Afghanistan","1982",115.62
"Afghanistan","1983",112.2
"Afghanistan","1984",108.99
"Afghanistan","1985",104.5
"Afghanistan","1986",99.67
"Afghanistan","1987",99.97
"Afghanistan","1988",96.61
"Afghanistan","1989",96.69
"Afghanistan","1990",96.7
"Afghanistan","1991",100
"Afghanistan","1992",103.49
"Afghanistan","1993",109.04
"Afghanistan","1994",110.28
"Afghanistan","1995",110.93
"Afghanistan","1996",110.97
"Afghanistan","1997",113.82
"Afghanistan","1998",116.7
"Afghanistan","1999",118.27
"Afghanistan","2000",116.47
"Afghanistan","2001",125.58
"Afghanistan","2002",135.2
"Afghanistan","2003",133.89
"Afghanistan","2004",140.59
"Afghanistan","2005",147.61
"Afghanistan","2006",168.96
"Afghanistan","2007",177.23
"Afghanistan","2008",160.64
"Afghanistan","2009",166.89
"Afghanistan","2010",169.6
"Afghanistan","2011",170.96
"Afghanistan","2012",175.58
"Afghanistan","2013",178.25
"Afghanistan","2014",180.79
"Albania","1961",44.99
"Albania","1962",45.53
"Albania","1963",46.09
"Albania","1964",49.67
"Albania","1965",52.62
"Albania","1966",57.33
"Albania","1967",63.15
"Albania","1968",73.25
"Albania","1969",73
"Albania","1970",77.5
"Albania","1971",77.98
"Albania","1972",80.13
"Albania","1973",83.79
"Albania","1974",87.98
"Albania","1975",92.1
"Albania","1976",98.05
"Albania","1977",101.61
"Albania","1978",108.59
"Albania","1979",109.31
"Albania","1980",108.4
"Albania","1981",112.63
"Albania","1982",116.92
