"country","year","value"
"Afghanistan",1990,0.118672392218717
"Afghanistan",1991,0.12405589534578
"Afghanistan",1992,0.125482308703655
"Afghanistan",1993,0.126784101333896
"Afghanistan",1994,0.131900364953852
"Afghanistan",1995,0.139201472730644
"Afghanistan",1996,0.156622695486332
"Afghanistan",1997,0.171386266207992
"Afghanistan",1998,0.182331172260808
"Afghanistan",1999,0.199982393452176
"Afghanistan",2000,0.171594244166027
"Afghanistan",2001,0.142915545784441
"Afghanistan",2002,0.183015808015257
"Afghanistan",2003,0.188452856766025
"Afghanistan",2004,0.185323840046425
"Afghanistan",2005,0.188398997625956
"Afghanistan",2006,0.191720836190979
"Afghanistan",2007,0.195065542073332
"Afghanistan",2008,0.217000891585334
"Afghanistan",2009,0.221448538644157
"Afghanistan",2010,0.256071441006568
"Albania",1990,1.64919018733274
"Albania",1991,1.66138562555457
"Albania",1992,1.65094729370009
"Albania",1993,1.76116802841918
"Albania",1994,2.25034325044405
"Albania",1995,2.29885874001775
"Albania",1996,2.16300150309461
"Albania",1997,2.00404969162996
"Albania",1998,1.89375206321335
"Albania",1999,1.93423938864629
"Albania",2000,1.96968041958042
"Albania",2001,1.9319860403863
"Albania",2002,1.87959026315789
"Albania",2003,1.93507404103479
"Albania",2004,1.86062825311943
"Albania",2005,1.92438040854225
"Albania",2006,1.81781883928571
"Albania",2007,1.71565907059875
"Albania",2008,1.51940270956816
"Albania",2009,1.42025422459003
"Albania",2010,1.42819187546824
"Algeria",1990,0.0948749301892647
"Algeria",1991,0.0910524519703796
"Algeria",1992,0.0947526437668854
"Algeria",1993,0.0960595234419227
"Algeria",1994,0.090664709889001
"Algeria",1995,0.0909286110620697
"Algeria",1996,0.0912464047835301
"Algeria",1997,0.0910128697404888
"Algeria",1998,0.0956240973233566
"Algeria",1999,0.100371558732476
"Algeria",2000,0.0998312810774343
"Algeria",2001,0.100910389189459
"Algeria",2002,0.100289022707314
"Algeria",2003,0.101362862949403
"Algeria",2004,0.102813787823551
"Algeria",2005,0.103296263133629
"Algeria",2006,0.105311711711712
"Algeria",2007,0.107946640162901
"Algeria",2008,0.106123147498124
"Algeria",2009,0.11314767037216
"Algeria",2010,0.118325358921062
"American Samoa",1990,1.1664
"American Samoa",1991,1.16653333333333
"American Samoa",1992,1.09378125
"American Samoa",1993,1.0955
"American Samoa",1994,1.09603125
"American Samoa",1995,1.00242857142857
"American Samoa",1996,0.87745
"American Samoa",1997,0.87775
"American Samoa",1998,0.745765957446809
"American Samoa",1999,0.731816283924843
"American Samoa",2000,0.730291666666667
"American Samoa",2001,0.780911111111111
"American Samoa",2002,0.781177777777778
"American Samoa",2003,0.697757936507936
"American Samoa",2004,0.7011
"American Samoa",2005,0.7011
"American Samoa",2006,0.7005
"American Samoa",2007,0.734979166666667
"American Samoa",2008,0.735229166666667
"American Samoa",2009,0.720489795918367
"American Samoa",2010,0.720469387755102
"Angola",1990,0.206226524284022
"Angola",1991,0.206806563968668
"Angola",1992,0.207512605217391
"Angola",1993,0.206422660869565
"Angola",1994,0.20681384
"Angola",1995,0.20565168173913
"Angola",1996,0.199854926956522
"Angola",1997,0.19802420173913
"Angola",1998,0.218890707826087
"Angola",1999,0.204299494773519
"Angola",2000,0.211003202443281
"Angola",2001,0.213333195462478
"Angola",2002,0.210080006969855
"Angola",2003,0.23389630665046
"Angola",2004,0.239372832088904
"Angola",2005,0.240779668345199
"Angola",2006,0.218573837471783
"Angola",2007,0.235207637372162
"Angola",2008,0.224322983185994
"Angola",2009,0.224490353405387
"Angola",2010,0.234232068847405
"Antigua and Barbuda",1990,2.74261111111111
"Antigua and Barbuda",1991,2.73141111111111
"Antigua and Barbuda",1992,2.73691111111111
"Antigua and Barbuda",1993,2.75947777777778
"Antigua and Barbuda",1994,2.79968888888889
"Antigua and Barbuda",1995,2.81871111111111
"Antigua and Barbuda",1996,2.79523333333333
"Antigua and Barbuda",1997,2.77347777777778
