"country","year","value"
"Albania",2007,4489.5517578125
"Albania",2008,3434.962890625
"Albania",2009,3431.8781738281
"Albania",2010,3844.8928222656
"Albania",2011,3760.3605957031
"Albania",2012,4001.1782226562
"Albania",2013,4652.9848632812
"Albania",2014,4843.4086914062
"Albania",2015,4921.9331054688
"Algeria",2001,4752.2329101562
"Algeria",2003,5213.4077148438
"Algeria",2004,4801.2646484375
"Algeria",2011,11600.068359375
"Algeria",2013,12193.1943359375
"Algeria",2014,15862.341796875
"Angola",1992,47482.16015625
"Angola",2010,1322.1815185547
"Angola",2011,1513.4982910156
"Angola",2014,3752.4499511719
"Argentina",1982,1886929.375
"Argentina",1983,959169
"Argentina",1984,959169
"Argentina",1990,654747.625
"Argentina",1991,682129.4375
"Argentina",1992,563072.1875
"Argentina",1993,497589.78125
"Argentina",1994,561517.9375
"Argentina",1995,456218.21875
"Argentina",1996,209379.65625
"Argentina",1997,189988.875
"Argentina",1998,203296.96875
"Argentina",1999,211675.9375
"Argentina",2000,234429.21875
"Argentina",2001,191606.046875
"Argentina",2002,163225.0625
"Argentina",2003,109729.375
"Argentina",2004,97090.921875
"Argentina",2005,130475.1953125
"Argentina",2006,152255.59375
"Argentina",2008,137804.921875
"Argentina",2009,97809.203125
"Argentina",2010,130336.125
"Argentina",2011,249011.59375
"Argentina",2012,223244.515625
"Argentina",2013,245276.921875
"Argentina",2014,282705.0625
"Armenia",2007,2389.5378417969
"Armenia",2014,3436.9470214844
"Armenia",2015,4053.994140625
"Australia",1970,19073.712890625
"Australia",1971,22228.8515625
"Australia",1972,18232.91015625
"Australia",1973,19946.09765625
"Australia",1974,23188.255859375
"Australia",1975,25546.953125
"Australia",1976,27116.37109375
"Australia",1977,25244.2421875
"Australia",1978,32774.1796875
"Australia",1979,27014.130859375
"Australia",1980,23218.955078125
"Australia",1981,26432.228515625
"Australia",1982,20854.138671875
"Australia",1983,29595.919921875
"Australia",1984,30610.68359375
"Australia",1985,27849.4453125
"Australia",1986,27351.2890625
"Australia",1987,27608.447265625
"Australia",1988,27488.341796875
"Australia",1989,30160.45703125
"Australia",1990,31028.833984375
"Australia",1991,30575.17578125
"Australia",1992,33544.14453125
"Australia",1993,34587.9609375
"Australia",1994,29889.015625
"Australia",1995,35768.92578125
"Australia",1996,37781.890625
"Australia",1997,36865.26953125
"Australia",1998,41320.85546875
"Australia",1999,42893.0859375
"Australia",2000,44457.54296875
"Australia",2001,46030.6484375
"Australia",2002,38565.59375
"Australia",2003,53140.80859375
"Australia",2004,57107.140625
"Australia",2005,59152.73046875
"Australia",2006,50529.6015625
"Australia",2007,53656.6171875
"Australia",2008,62190.87890625
"Australia",2009,63654.8125
"Australia",2010,64643.93359375
"Australia",2011,73882.671875
"Australia",2012,73010.03125
"Australia",2013,77976.2734375
"Australia",2014,73294.1796875
"Australia",2015,78798.234375
"Austria",1983,10903.16796875
"Austria",1984,11254.052734375
"Austria",1985,11363.0595703125
"Austria",1986,11924.6865234375
"Austria",1987,11717.7451171875
"Austria",1988,12746.1728515625
"Austria",1989,12872.9541015625
"Austria",1990,13699.740234375
"Austria",1991,13965.6962890625
"Austria",1992,14004.13671875
"Austria",1993,13914.791015625
"Austria",1994,13773.5703125
"Austria",1995,13759.904296875
"Austria",1996,13831.380859375
"Austria",1997,15008.59765625
"Austria",1998,16673.146484375
"Austria",1999,17889.2109375
"Austria",2000,17711.97265625
"Austria",2001,18276.255859375
"Austria",2002,18332.3125
"Austria",2003,18291.505859375
"Austria",2004,23197.99609375
"Austria",2005,20093.61328125
"Austria",2006,19542.171875
"Austria",2007,19795.021484375
"Austria",2008,21855.009765625
"Austria",2009,20173.283203125
"Austria",2010,19486.66796875
"Austria",2011,23398.134765625
"Austria",2012,22551.359375
"Austria",2013,22359.7109375
"Austria",2014,21601.62890625
"Austria",2015,22953.31640625
"Azerbaijan",2003,832.1627807617
"Azerbaijan",2006,775.7133178711
"Azerbaijan",2007,821.8430786133
"Azerbaijan",2008,840.0587768555
"Azerbaijan",2009,857.1572265625
"Azerbaijan",2010,824.5819091797
"Azerbaijan",2011,871.908996582
"Azerbaijan",2012,913.0975952148
"Azerbaijan",2013,956.1196289062
"Azerbaijan",2014,930.0145874023
"Azerbaijan",2015,987.6505737305
"Bahamas",1973,10832.8818359375
"Bahamas",1975,10749.7392578125
"Bahamas",1977,15434.7578125
"Bahamas",1979,88931.25
"Bahamas",1986,23430.310546875
"Bahamas",1989,23700.625
"Bahamas",1991,24093.99609375
"Bahamas",1992,20815.90234375
"Bahamas",1993,22973.98046875
"Bahamas",1994,19879.3046875
"Bahamas",1995,22646.171875
"Bahamas",1996,24585.7109375
"Bahamas",1997,29632.974609375
"Bahamas",1998,28217.80859375
"Bahamas",1999,22893.43359375
"Bahamas",2001,25277.49609375
"Bahamas",2002,28702.064453125
"Bahamas",2003,37595.8125
"Bahamas",2004,25021.8515625
"Bahamas",2005,26294.6484375
"Bahamas",2006,36215.5
"Bahamas",2007,33559.421875
"Bahamas",2008,27638.69140625
"Bahamas",2009,28668.89453125
"Bahamas",2011,22802.435546875
"Bangladesh",1984,390.9033508301
"Bangladesh",1985,387.3650817871
"Bangladesh",1986,382.874206543
"Bangladesh",1989,202.3412780762
"Bangladesh",1991,221.2059936523
"Bangladesh",1996,231.7227783203
"Bangladesh",2000,305.9884643555
"Bangladesh",2003,456.4083557129
"Bangladesh",2005,489.0520019531
"Bangladesh",2006,513.2016601562
"Bangladesh",2010,559.2553100586
"Bangladesh",2013,602.3053588867
