"country","year","value"
"Albania",2000,6.38
"Albania",2001,6.41
"Albania",2002,6.46
"Albania",2003,6.59
"Albania",2004,6.36
"Albania",2005,6.24
"Albania",2006,6.21
"Albania",2007,6.15
"Albania",2008,6.12
"Albania",2009,6.14
"Albania",2010,6.27
"Albania",2011,6.31
"Albania",2012,6.3
"Albania",2013,6.48
"Albania",2014,6.43
"Algeria",2000,4.83
"Algeria",2001,4.86
"Algeria",2002,4.82
"Algeria",2003,4.88
"Algeria",2004,4.86
"Algeria",2005,4.82
"Algeria",2006,4.88
"Algeria",2007,4.94
"Algeria",2008,4.94
"Algeria",2009,4.99
"Algeria",2010,5.03
"Algeria",2011,5.01
"Algeria",2012,5.14
"Algeria",2013,5.11
"Algeria",2014,5.11
"Angola",2000,5.62
"Angola",2001,5.57
"Angola",2002,5.39
"Angola",2003,5.69
"Angola",2004,5.88
"Angola",2005,5.95
"Angola",2006,6.2
"Angola",2007,6.24
"Angola",2008,6.47
"Angola",2009,6.58
"Angola",2010,6.8
"Angola",2011,6.86
"Angola",2012,6.96
"Angola",2013,7.22
"Antigua and Barbuda",2000,2.34
"Antigua and Barbuda",2001,2.38
"Antigua and Barbuda",2002,2.36
"Antigua and Barbuda",2003,2.26
"Antigua and Barbuda",2004,2.28
"Antigua and Barbuda",2005,2.32
"Antigua and Barbuda",2006,2.33
"Antigua and Barbuda",2007,2.37
"Antigua and Barbuda",2008,2.34
"Antigua and Barbuda",2009,2.47
"Antigua and Barbuda",2010,2.59
"Antigua and Barbuda",2011,2.58
"Antigua and Barbuda",2012,2.59
"Antigua and Barbuda",2013,2.63
"Antigua and Barbuda",2014,2.63
"Armenia",2000,8.28
"Armenia",2001,8.38
"Armenia",2002,8.45
"Armenia",2003,8.64
"Armenia",2004,8.86
"Armenia",2005,8.95
"Armenia",2006,9.08
"Armenia",2007,9.19
"Armenia",2008,9.22
"Armenia",2009,8.65
"Armenia",2010,8.82
"Armenia",2011,9.11
"Armenia",2012,9.02
"Armenia",2013,9.07
"Armenia",2014,8.87
"Aruba",2000,1.14
"Aruba",2001,1.14
"Aruba",2002,1.14
"Aruba",2003,1.14
"Aruba",2004,1.14
"Aruba",2005,1.16
"Aruba",2006,1.18
"Aruba",2007,1.24
"Aruba",2008,1.24
"Aruba",2009,1.3
"Aruba",2010,1.26
"Aruba",2011,1.25
"Aruba",2012,1.27
"Aruba",2013,1.31
"Australia",2000,1.37
"Australia",2001,1.39
"Australia",2002,1.4
"Australia",2003,1.41
"Australia",2004,1.4
"Australia",2005,1.41
"Australia",2006,1.48
"Australia",2007,1.46
"Australia",2008,1.45
"Australia",2009,1.44
"Australia",2010,1.44
"Australia",2011,1.45
"Australia",2012,1.39
"Australia",2013,1.37
"Australia",2014,1.36
"Austria",2000,1.39
"Austria",2001,1.4
"Austria",2002,1.4
"Austria",2003,1.41
"Austria",2004,1.4
"Austria",2005,1.4
"Austria",2006,1.41
"Austria",2007,1.42
"Austria",2008,1.44
"Austria",2009,1.4
"Austria",2010,1.4
"Austria",2011,1.4
"Austria",2012,1.41
"Austria",2013,1.43
"Austria",2014,1.43
"Bahamas",2001,1.54
"Bahamas",2002,1.54
"Bahamas",2003,1.5
"Bahamas",2004,1.52
"Bahamas",2005,1.55
"Bahamas",2006,1.6
"Bahamas",2007,1.6
"Bahamas",2008,1.6
"Bahamas",2009,1.61
"Bahamas",2010,1.6
"Bahamas",2011,1.58
"Bahamas",2012,1.6
"Bahamas",2013,1.61
"Bahamas",2014,1.62
"Bahrain",2000,1.99
"Bahrain",2001,1.98
"Bahrain",2002,1.97
"Bahrain",2003,1.91
"Bahrain",2004,1.9
"Bahrain",2005,1.92
"Bahrain",2006,1.94
"Bahrain",2007,1.95
"Bahrain",2008,2.05
"Bahrain",2009,2.12
"Bahrain",2010,2.2
"Bahrain",2011,2.24
"Bahrain",2012,2.26
"Bahrain",2013,2.25
"Bahrain",2014,2.24
"Bangladesh",2000,8.11
"Bangladesh",2001,8.03
"Bangladesh",2002,7.91
"Bangladesh",2003,7.97
"Bangladesh",2004,8.02
"Bangladesh",2005,8.17
"Bangladesh",2006,8.3
"Bangladesh",2007,8.31
"Bangladesh",2008,8.34
"Bangladesh",2009,8.17
"Bangladesh",2010,8.39
"Bangladesh",2011,8.5
"Bangladesh",2012,8.36
"Bangladesh",2013,7.98
"Bangladesh",2014,7.99
"Barbados",2000,2.03
"Barbados",2001,2.07
"Barbados",2002,2.1
"Barbados",2003,2.12
"Barbados",2004,2.17
"Barbados",2005,2.21
"Barbados",2006,2.24
"Barbados",2007,2.29
"Barbados",2008,2.36
"Barbados",2009,2.38
"Barbados",2010,2.35
"Barbados",2011,2.31
"Barbados",2012,2.35
"Barbados",2013,2.39
"Barbados",2014,2.39
"Belarus",2000,4.87
"Belarus",2001,4.72
"Belarus",2002,4.59
"Belarus",2003,4.4
"Belarus",2004,4.42
"Belarus",2005,4.52
"Belarus",2006,4.53
"Belarus",2007,4.54
"Belarus",2008,4.57
"Belarus",2009,4.52
"Belarus",2010,4.7
"Belarus",2011,5.29
"Belgium",2000,1.66
"Belgium",2001,1.68
"Belgium",2002,1.69
"Belgium",2003,1.7
"Belgium",2004,1.68
"Belgium",2005,1.68
"Belgium",2006,1.7
"Belgium",2007,1.71
"Belgium",2008,1.71
"Belgium",2009,1.69
"Belgium",2010,1.69
"Belgium",2011,1.66
"Belgium",2012,1.66
"Belgium",2013,1.71
"Belgium",2014,1.68
"Belize",2000,2.98
"Belize",2001,2.96
"Belize",2002,2.92
"Belize",2003,2.92
"Belize",2004,2.88
"Belize",2005,2.94
"Belize",2006,2.96
"Belize",2007,3.02
"Belize",2008,3.16
"Belize",2009,3.18
"Belize",2010,3.08
"Belize",2011,3.03
"Benin",2000,7.69
"Benin",2001,7.55
"Benin",2002,7.75
"Benin",2003,7.47
"Benin",2004,7.3
"Benin",2005,7.64
"Benin",2006,7.38
"Benin",2007,7.14
"Benin",2008,7.67
"Benin",2009,7.77
"Benin",2010,7.87
"Benin",2011,8.05
"Benin",2012,7.86
"Benin",2013,8.01
"Benin",2014,8.07
"Bermuda",2000,1.52
"Bermuda",2001,1.5
"Bermuda",2002,1.49
"Bermuda",2003,1.47
"Bermuda",2004,1.45
"Bermuda",2005,1.46
"Bermuda",2006,1.45
"Bermuda",2007,1.43
"Bermuda",2008,1.42
"Bermuda",2009,1.44
"Bermuda",2010,1.46
"Bermuda",2011,1.45
"Bermuda",2012,1.45
"Bermuda",2013,1.48
"Bermuda",2014,1.49
"Bhutan",2000,4.74
"Bhutan",2001,4.64
"Bhutan",2002,4.6
"Bhutan",2003,4.62
"Bhutan",2004,4.41
"Bhutan",2005,4.48
"Bhutan",2006,4.5
"Bhutan",2007,4.57
"Bhutan",2008,4.62
"Bhutan",2009,4.75
"Bhutan",2010,4.86
"Bhutan",2011,4.89
"Bhutan",2012,5
"Bhutan",2013,5
"Bhutan",2014,5.07
"Bolivia",2000,7.06
"Bolivia",2001,6.97
"Bolivia",2002,6.83
"Bolivia",2003,6.85
"Bolivia",2004,6.9
"Bolivia",2005,6.99
"Bolivia",2006,7.14
"Bolivia",2007,7.39
"Bolivia",2008,5.64
"Bolivia",2009,5.4
"Bolivia",2010,5.47
"Bolivia",2011,5.64
"Bolivia",2012,5.58
"Bolivia",2013,5.77
"Bolivia",2014,5.85
"Bosnia and Herzegovina",2005,4.69
"Bosnia and Herzegovina",2006,4.83
"Bosnia and Herzegovina",2007,4.84
"Bosnia and Herzegovina",2008,4.97
"Bosnia and Herzegovina",2009,4.84
"Bosnia and Herzegovina",2010,4.75
"Bosnia and Herzegovina",2011,4.82
"Botswana",2000,2.9
"Botswana",2001,2.79
"Botswana",2002,2.81
"Botswana",2003,2.87
"Botswana",2004,2.79
"Botswana",2005,2.73
"Botswana",2006,2.78
"Botswana",2007,2.86
"Botswana",2008,3.01
"Botswana",2009,3.11
"Botswana",2010,3.04
"Botswana",2011,2.98
"Botswana",2012,2.98
"Botswana",2013,2.98
"Botswana",2014,2.93
"Brazil",2000,2.28
"Brazil",2001,2.27
"Brazil",2002,2.29
"Brazil",2003,2.41
"Brazil",2004,2.33
"Brazil",2005,2.27
"Brazil",2006,2.2
"Brazil",2007,2.24
"Brazil",2008,2.36
"Brazil",2009,2.33
"Brazil",2010,2.38
"Brazil",2011,2.41
"Brazil",2012,2.46
"Brazil",2013,2.59
"Brazil",2014,2.61
"Brunei Darussalam",2000,2.9
"Brunei Darussalam",2001,2.88
"Brunei Darussalam",2002,2.96
"Brunei Darussalam",2003,2.93
"Brunei Darussalam",2004,2.93
"Brunei Darussalam",2005,2.94
"Brunei Darussalam",2006,2.97
"Brunei Darussalam",2007,2.99
"Brunei Darussalam",2008,3.01
"Brunei Darussalam",2009,2.97
"Brunei Darussalam",2010,3.01
"Brunei Darussalam",2011,3.03
"Brunei Darussalam",2012,3.06
"Brunei Darussalam",2013,2.96
"Brunei Darussalam",2014,2.95
"Bulgaria",2000,3.5
"Bulgaria",2001,3.46
"Bulgaria",2002,3.26
"Bulgaria",2003,3.16
"Bulgaria",2004,3.15
"Bulgaria",2005,3.15
"Bulgaria",2006,3.12
"Bulgaria",2007,3.24
"Bulgaria",2008,3.31
"Bulgaria",2009,3.13
"Bulgaria",2010,3.07
"Bulgaria",2011,3.13
"Bulgaria",2012,3.12
"Bulgaria",2013,3.2
"Bulgaria",2014,3.19
"Burkina Faso",2000,7.41
"Burkina Faso",2001,7.66
"Burkina Faso",2002,7.7
"Burkina Faso",2003,7.43
"Burkina Faso",2004,7.05
"Burkina Faso",2005,7.66
"Burkina Faso",2006,7.51
"Burkina Faso",2007,7.34
"Burkina Faso",2008,8.05
"Burkina Faso",2009,7.87
"Burkina Faso",2010,8.33
"Burkina Faso",2011,8.55
"Burkina Faso",2012,8.63
"Burkina Faso",2013,8.61
"Burkina Faso",2014,8.37
"Burundi",2000,7.6
"Burundi",2001,7.06
"Burundi",2002,6.77
"Burundi",2003,6.9
"Burundi",2004,6.93
"Burundi",2005,7.3
"Burundi",2006,7.19
"Burundi",2007,7.13
"Burundi",2008,7.48
"Burundi",2009,7.24
"Burundi",2010,7.39
"Burundi",2011,7.29
