"year","value"
1990,107.166666666667
1991,105.008333333333
1992,109.183333333333
1993,105.483333333333
1994,110.325
1995,125.275
1996,131.075
1997,120.341666666667
1998,108.55
1999,93.1666666666667
2000,91.1333333333333
2001,94.6166666666667
2002,89.6166666666667
2003,97.7166666666667
2004,112.658333333333
2005,117.941666666667
2006,127.15
2007,161.408333333333
2008,201.366666666667
2009,160.341666666667
2010,187.975
2011,229.95
2012,213.291666666667
2013,209.825
2014,201.791666666667
2015,164
2016,161.475
2017,174.575
2018,168.425
2019,169.283333333333
