"country","year","value"
"Albania","1996",27
"Albania","2002",31.7
"Albania","2005",30.6
"Albania","2008",30
"Albania","2012",29
"Algeria","1988",40.2
"Algeria","1995",35.3
"Algeria","2011",27.6
"Angola","2000",52
"Angola","2008",42.7
"Argentina","1980",40.8
"Argentina","1986",42.8
"Argentina","1987",45.3
"Argentina","1991",46.8
"Argentina","1992",45.5
"Argentina","1993",44.9
"Argentina","1994",45.9
"Argentina","1995",48.9
"Argentina","1996",49.5
"Argentina","1997",49.1
"Argentina","1998",50.7
"Argentina","1999",49.8
"Argentina","2000",51.1
"Argentina","2001",53.3
"Argentina","2002",53.8
"Argentina","2003",50.7
"Argentina","2004",48.3
"Argentina","2005",47.7
"Argentina","2006",46.6
"Argentina","2007",46.3
"Argentina","2008",44.5
"Argentina","2009",43.9
"Argentina","2010",43
"Argentina","2011",42.3
"Argentina","2012",41.2
"Argentina","2013",41
"Argentina","2014",41.4
"Argentina","2016",42.4
"Argentina","2017",40.6
"Armenia","1999",36.2
"Armenia","2001",35.4
"Armenia","2002",34.8
"Armenia","2003",33
"Armenia","2004",37.5
"Armenia","2005",36
"Armenia","2006",29.7
"Armenia","2007",31.2
"Armenia","2008",29.2
"Armenia","2009",28
"Armenia","2010",30
"Armenia","2011",29.4
"Armenia","2012",29.6
"Armenia","2013",30.6
"Armenia","2014",31.5
"Armenia","2015",32.4
"Armenia","2016",32.5
"Armenia","2017",33.6
"Australia","1981",31.3
"Australia","1985",32.5
"Australia","1989",33.2
"Australia","1995",32.6
"Australia","2001",33.5
"Australia","2003",33.5
"Australia","2004",33.1
"Australia","2008",35.4
"Australia","2010",34.7
"Australia","2014",35.8
"Austria","2003",29.5
"Austria","2004",29.8
"Austria","2005",28.7
"Austria","2006",29.6
"Austria","2007",30.6
"Austria","2008",30.4
"Austria","2009",31.5
"Austria","2010",30.3
"Austria","2011",30.8
"Austria","2012",30.5
"Austria","2013",30.8
"Austria","2014",30.5
"Austria","2015",30.5
"Azerbaijan","1995",34.7
"Azerbaijan","2001",36.5
"Azerbaijan","2002",25.3
"Azerbaijan","2003",26.8
"Azerbaijan","2004",26.6
"Azerbaijan","2005",26.6
"Bangladesh","1983",25.9
"Bangladesh","1985",26.9
"Bangladesh","1988",28.8
"Bangladesh","1991",27.6
"Bangladesh","1995",32.9
"Bangladesh","2000",33.4
"Bangladesh","2005",33.2
"Bangladesh","2010",32.1
"Bangladesh","2016",32.4
"Belarus","1998",32
"Belarus","1999",31.7
"Belarus","2000",31.2
"Belarus","2001",30.6
"Belarus","2002",30.3
"Belarus","2003",28.8
"Belarus","2004",26.5
"Belarus","2005",27.6
"Belarus","2006",28.3
"Belarus","2007",29.6
"Belarus","2008",27.8
"Belarus","2009",27.7
"Belarus","2010",28.6
"Belarus","2011",27.2
"Belarus","2012",26.5
"Belarus","2013",26.6
"Belarus","2014",27.2
"Belarus","2015",25.6
"Belarus","2016",25.3
"Belarus","2017",25.4
"Belgium","2003",28.1
"Belgium","2004",30.5
"Belgium","2005",29.3
"Belgium","2006",28.1
"Belgium","2007",29.2
"Belgium","2008",28.4
"Belgium","2009",28.5
"Belgium","2010",28.4
"Belgium","2011",28.1
"Belgium","2012",27.5
"Belgium","2013",27.7
"Belgium","2014",28.1
"Belgium","2015",27.7
"Belize","1993",60.3
"Belize","1994",60.9
"Belize","1996",56.6
"Belize","1997",60.4
"Belize","1998",54.9
"Belize","1999",53.3
"Benin","2003",38.6
"Benin","2011",43.4
"Benin","2015",47.8
"Bhutan","2003",40.9
"Bhutan","2007",38.1
"Bhutan","2012",38.8
"Bhutan","2017",37.4
"Bolivia","1990",42
"Bolivia","1997",58.2
"Bolivia","1999",58.1
"Bolivia","2000",61.6
"Bolivia","2001",57.4
"Bolivia","2002",59.3
"Bolivia","2004",55
"Bolivia","2005",58.5
"Bolivia","2006",56.7
"Bolivia","2007",54.5
"Bolivia","2008",50.8
"Bolivia","2009",49.2
"Bolivia","2011",46.1
"Bolivia","2012",46.6
"Bolivia","2013",47.6
"Bolivia","2014",47.8
"Bolivia","2015",46.7
"Bolivia","2016",44.6
"Bolivia","2017",44
"Bosnia and Herzegovina","2001",30
"Bosnia and Herzegovina","2004",34
"Bosnia and Herzegovina","2007",33.1
"Bosnia and Herzegovina","2011",33
"Botswana","1985",54.2
"Botswana","1993",60.8
"Botswana","2002",64.7
"Botswana","2009",60.5
"Botswana","2015",53.3
"Brazil","1981",58
"Brazil","1982",58.4
"Brazil","1983",59
"Brazil","1984",58.4
"Brazil","1985",55.6
"Brazil","1986",58.5
"Brazil","1987",59.7
"Brazil","1988",61.4
"Brazil","1989",63.3
"Brazil","1990",60.5
"Brazil","1992",53.2
"Brazil","1993",60.1
"Brazil","1995",59.6
"Brazil","1996",59.9
"Brazil","1997",59.8
"Brazil","1998",59.6
"Brazil","1999",59
"Brazil","2001",58.4
"Brazil","2002",58.1
"Brazil","2003",57.6
"Brazil","2004",56.5
"Brazil","2005",56.3
"Brazil","2006",55.6
"Brazil","2007",54.9
"Brazil","2008",54
"Brazil","2009",53.7
"Brazil","2011",52.9
"Brazil","2012",52.7
"Brazil","2013",52.8
"Brazil","2014",51.5
"Brazil","2015",51.3
"Brazil","2016",53.7
"Brazil","2017",53.3
"Bulgaria","1992",30.7
"Bulgaria","2006",35.7
"Bulgaria","2007",36.1
"Bulgaria","2008",33.6
"Bulgaria","2009",33.8
"Bulgaria","2010",35.7
"Bulgaria","2011",34.3
"Bulgaria","2012",36
"Bulgaria","2013",36.6
"Bulgaria","2014",37.4
"Burkina Faso","1994",48.1
"Burkina Faso","1998",49.9
"Burkina Faso","2003",43.3
"Burkina Faso","2009",39.8
"Burkina Faso","2014",35.3
"Burundi","1992",33.3
"Burundi","1998",42.3
"Burundi","2006",33.4
"Burundi","2013",38.6
"Cabo Verde","2001",52.5
"Cabo Verde","2007",47.2
"Cameroon","1996",44.4
"Cameroon","2001",42.1
"Cameroon","2007",42.8
"Cameroon","2014",46.6
"Canada","1981",32.4
