"country","year","value"
"Afghanistan",1990,7342.8918
"Afghanistan",1991,7631.2091
"Afghanistan",1992,7631.6246
"Afghanistan",1993,7702.9235
"Afghanistan",1994,7699.3208
"Afghanistan",1995,8080.6292
"Afghanistan",1996,8969.5299
"Afghanistan",1997,9849.7202
"Afghanistan",1998,10579.4507
"Afghanistan",1999,11506.2105
"Afghanistan",2000,9884.5302
"Afghanistan",2001,8373.7119
"Afghanistan",2002,10408.5249
"Afghanistan",2003,10835.4511
"Afghanistan",2004,10622.0046
"Afghanistan",2005,10898.1215
"Afghanistan",2006,10994.2493
"Afghanistan",2007,10937.1688
"Afghanistan",2008,12017.7058
"Afghanistan",2009,12551.7967
"Afghanistan",2010,14332.6195
"Albania",1990,3395.6099
"Albania",1991,3066.2856
"Albania",1992,2999.7582
"Albania",1993,3196.6183
"Albania",1994,3991.1504
"Albania",1995,4045.1258
"Albania",1996,3737.6006
"Albania",1997,3513.0708
"Albania",1998,3420.0967
"Albania",1999,3418.4685
"Albania",2000,3573.5828
"Albania",2001,4179.017
"Albania",2002,4267.6635
"Albania",2003,4311.3196
"Albania",2004,4179.365
"Albania",2005,4166.3751
"Albania",2006,2974.6922
"Albania",2007,3022.8842
"Albania",2008,2653.5935
"Albania",2009,2558.8668
"Albania",2010,2577.4166
"Algeria",1990,8304.2751
"Algeria",1991,8078.3438
"Algeria",1992,8388.1287
"Algeria",1993,8496.5541
"Algeria",1994,8134.5729
"Algeria",1995,8042.8901
"Algeria",1996,8131.6856
"Algeria",1997,7947.8726
"Algeria",1998,8715.0512
"Algeria",1999,8799.8827
"Algeria",2000,9003.3243
"Algeria",2001,8503.5564
"Algeria",2002,8306.1436
"Algeria",2003,8555.5411
"Algeria",2004,9400.141
"Algeria",2005,8815.5035
"Algeria",2006,2018.5121
"Algeria",2007,2364.9212
"Algeria",2008,1777.7905
"Algeria",2009,2668.3986
"Algeria",2010,3104.133
"American Samoa",1990,18.114
"American Samoa",1991,18.1178
"American Samoa",1992,18.1199
"American Samoa",1993,18.1328
"American Samoa",1994,18.1379
"American Samoa",1995,18.1376
"American Samoa",1996,18.1406
