"country","year","value"
"Afghanistan",1990,4514.2978
"Afghanistan",1991,4717.8457
"Afghanistan",1992,4772.0922
"Afghanistan",1993,4809.4281
"Afghanistan",1994,4987.5485
"Afghanistan",1995,5255.2732
"Afghanistan",1996,5912.82
"Afghanistan",1997,6476.687
"Afghanistan",1998,6904.3345
"Afghanistan",1999,7549.9353
"Afghanistan",2000,6478.1975
"Afghanistan",2001,5395.4906
"Afghanistan",2002,6909.3958
"Afghanistan",2003,7144.2478
"Afghanistan",2004,7025.8121
"Afghanistan",2005,7142.206
"Afghanistan",2006,7268.1369
"Afghanistan",2007,7394.9347
"Afghanistan",2008,8226.5038
"Afghanistan",2009,8395.1141
"Afghanistan",2010,9707.9244
"Albania",1990,1848.7422
"Albania",1991,1872.3816
"Albania",1992,1860.6176
"Albania",1993,1983.0752
"Albania",1994,2533.8865
"Albania",1995,2590.8138
"Albania",1996,2446.3547
"Albania",1997,2274.5964
"Albania",1998,2156.9836
"Albania",1999,2214.7041
"Albania",2000,2253.3144
"Albania",2001,2200.5321
"Albania",2002,2142.7329
"Albania",2003,2169.218
"Albania",2004,2087.6249
"Albania",2005,2072.5577
"Albania",2006,2035.9571
"Albania",2007,1919.8225
"Albania",2008,1794.4146
"Albania",2009,1706.1514
"Albania",2010,1715.6869
"Algeria",1990,3669.3828
"Algeria",1991,3516.6278
"Algeria",1992,3682.5615
"Algeria",1993,3733.0652
"Algeria",1994,3593.9491
"Algeria",1995,3605.2285
"Algeria",1996,3616.6425
"Algeria",1997,3612.3008
"Algeria",1998,3808.3253
"Algeria",1999,3987.8624
"Algeria",2000,3995.3477
"Algeria",2001,4047.4148
"Algeria",2002,3997.019
"Algeria",2003,4044.956
"Algeria",2004,4230.2733
"Algeria",2005,4256.9423
"Algeria",2006,4336.8416
"Algeria",2007,4453.0148
"Algeria",2008,4383.8411
"Algeria",2009,4682.0506
"Algeria",2010,4895.5934
"American Samoa",1990,3.4992
"American Samoa",1991,3.4996
"American Samoa",1992,3.5001
"American Samoa",1993,3.5056
"American Samoa",1994,3.5073
"American Samoa",1995,3.5085
"American Samoa",1996,3.5098
"American Samoa",1997,3.511
"American Samoa",1998,3.5051
"American Samoa",1999,3.5054
"American Samoa",2000,3.5054
"American Samoa",2001,3.5141
"American Samoa",2002,3.5153
"American Samoa",2003,3.5167
"American Samoa",2004,3.5055
"American Samoa",2005,3.5055
"American Samoa",2006,3.5025
"American Samoa",2007,3.5279
"American Samoa",2008,3.5291
"American Samoa",2009,3.5304
"American Samoa",2010,3.5303
"Angola",1990,11838.2274
"Angola",1991,11881.0371
"Angola",1992,11931.9748
"Angola",1993,11869.303
"Angola",1994,11891.7958
"Angola",1995,11824.9717
"Angola",1996,11491.6583
"Angola",1997,11386.3916
"Angola",1998,12586.2157
"Angola",1999,11726.791
"Angola",2000,12090.4835
"Angola",2001,12223.9921
"Angola",2002,12056.4916
"Angola",2003,13470.0883
"Angola",2004,13785.4814
"Angola",2005,13866.5011
"Angola",2006,12587.6673
"Angola",2007,13569.1286
"Angola",2008,12941.1929
"Angola",2009,13085.5427
"Angola",2010,13676.8105
"Anguilla",1990,0
"Anguilla",1991,0
"Anguilla",1992,0
"Anguilla",1993,0
"Anguilla",1994,0
"Anguilla",1995,0
"Anguilla",1996,0
"Anguilla",1997,0
"Anguilla",1998,0
"Anguilla",1999,0
"Anguilla",2000,0
"Anguilla",2001,0
"Anguilla",2002,0
"Anguilla",2003,0
"Anguilla",2004,0
"Anguilla",2005,0
"Anguilla",2006,0
"Anguilla",2007,0
"Anguilla",2008,0
"Anguilla",2009,0
"Anguilla",2010,0
"Antigua and Barbuda",1990,24.6835
"Antigua and Barbuda",1991,24.5827
"Antigua and Barbuda",1992,24.6322
"Antigua and Barbuda",1993,24.8353
"Antigua and Barbuda",1994,25.1972
"Antigua and Barbuda",1995,25.3684
"Antigua and Barbuda",1996,25.1571
"Antigua and Barbuda",1997,24.9613
"Antigua and Barbuda",1998,24.6649
"Antigua and Barbuda",1999,24.4171
"Antigua and Barbuda",2000,24.1942
"Antigua and Barbuda",2001,24.8311
"Antigua and Barbuda",2002,25.1385
"Antigua and Barbuda",2003,25.4785
"Antigua and Barbuda",2004,25.723
"Antigua and Barbuda",2005,25.4225
"Antigua and Barbuda",2006,25.4852
"Antigua and Barbuda",2007,26.2796
"Antigua and Barbuda",2008,26.2141
"Antigua and Barbuda",2009,26.0681
"Antigua and Barbuda",2010,13.2506
"Argentina",1990,71234.7246
"Argentina",1991,70330.5524
"Argentina",1992,71168.6738
"Argentina",1993,70050.8668
"Argentina",1994,70578.1541
"Argentina",1995,70003.3526
"Argentina",1996,67755.3504
"Argentina",1997,67035.2905
"Argentina",1998,64790.6837
"Argentina",1999,66569.0005
"Argentina",2000,66777.3787
"Argentina",2001,68309.5909
"Argentina",2002,69543.0335
"Argentina",2003,74678.999
"Argentina",2004,74505.812
"Argentina",2005,74761.0423
"Argentina",2006,76256.5782
"Argentina",2007,76596.3529
"Argentina",2008,75617.1039
"Argentina",2009,71797.8013
"Argentina",2010,64944.8497
"Armenia",1992,590.6771
"Armenia",1993,526.9456
"Armenia",1994,519.086
"Armenia",1995,511.8883
"Armenia",1996,511.9695
"Armenia",1997,504.307
"Armenia",1998,470.7611
"Armenia",1999,473.4199
"Armenia",2000,478.3268
"Armenia",2001,494.0812
"Armenia",2002,514.5177
"Armenia",2003,534.5056
"Armenia",2004,560.901
"Armenia",2005,562.0793
"Armenia",2006,579.8664
"Armenia",2007,606.1876
"Armenia",2008,610.5744
"Armenia",2009,562.5221
"Armenia",2010,552.071
"Aruba",1990,0.8772
"Aruba",1991,0
"Aruba",1992,0
"Aruba",1993,0
"Aruba",1994,0
"Aruba",1995,0
"Aruba",1996,0
"Aruba",1997,0
"Aruba",1998,0
"Aruba",1999,0
"Aruba",2000,0
"Aruba",2001,0
"Aruba",2002,0
"Aruba",2003,0
"Aruba",2004,0
"Aruba",2005,0
"Aruba",2006,0
"Aruba",2007,0
"Aruba",2008,0
"Aruba",2009,0
"Aruba",2010,0
"Australia",1990,85613.7618
"Australia",1991,84841.3294
"Australia",1992,82925.9624
"Australia",1993,81372.7604
"Australia",1994,82795.5967
"Australia",1995,80703.098
"Australia",1996,76769.7018
"Australia",1997,76500.9508
"Australia",1998,78816.9736
"Australia",1999,91102.1546
"Australia",2000,98731.0358
"Australia",2001,98218.2003
"Australia",2002,94688.7808
"Australia",2003,66649.534
"Australia",2004,80825.3565
"Australia",2005,67795.2627
"Australia",2006,80157.2123
"Australia",2007,74275.9584
"Australia",2008,63170.8987
"Australia",2009,66043.7437
"Australia",2010,56144.8173
"Austria",1990,5520.1194
"Austria",1991,5436.116
"Austria",1992,5370.8419
"Austria",1993,5361.1649
"Austria",1994,5115.1906
"Austria",1995,5003.7621
"Austria",1996,4925.9144
"Austria",1997,4819.4377
"Austria",1998,4784.5009
"Austria",1999,4750.6001
"Austria",2000,4634.739
"Austria",2001,4512.4819
"Austria",2002,4437.8487
"Austria",2003,4336.9749
"Austria",2004,4245.8587
"Austria",2005,4177.0715
"Austria",2006,4146.4636
"Austria",2007,4127.2318
"Austria",2008,4157.9533
"Austria",2009,4124.6877
"Austria",2010,4181.9721
"Azerbaijan",1992,2226.6471
"Azerbaijan",1993,2118.6262
"Azerbaijan",1994,1991.2422
"Azerbaijan",1995,2015.2279
"Azerbaijan",1996,2075.9371
"Azerbaijan",1997,2191.5219
"Azerbaijan",1998,2286.8224
"Azerbaijan",1999,2375.1337
"Azerbaijan",2000,2450.4291
"Azerbaijan",2001,2588.1421
"Azerbaijan",2002,2658.9259
"Azerbaijan",2003,2781.1051
"Azerbaijan",2004,2862.9138
"Azerbaijan",2005,2934.7745
"Azerbaijan",2006,3071.2997
"Azerbaijan",2007,3136.1502
"Azerbaijan",2008,3213.5394
"Azerbaijan",2009,3279.9968
"Azerbaijan",2010,3374.4657
"Bahamas",1990,8.4993
"Bahamas",1991,8.1703
"Bahamas",1992,8.2054
"Bahamas",1993,8.0361
"Bahamas",1994,7.8332
"Bahamas",1995,8.4891
"Bahamas",1996,8.9236
"Bahamas",1997,8.6406
"Bahamas",1998,10.5633
"Bahamas",1999,11.192
"Bahamas",2000,8.2825
"Bahamas",2001,6.3836
"Bahamas",2002,6.1862
"Bahamas",2003,5.1782
"Bahamas",2004,12.9936
"Bahamas",2005,8.0031
"Bahamas",2006,7.5016
"Bahamas",2007,7.8902
"Bahamas",2008,11.5686
"Bahamas",2009,7.6969
"Bahamas",2010,5.9668
"Bahrain",1990,16.7289
"Bahrain",1991,16.051
"Bahrain",1992,16.3401
"Bahrain",1993,15.9657
"Bahrain",1994,15.4488
"Bahrain",1995,14.3067
"Bahrain",1996,15.4974
"Bahrain",1997,15.5967
"Bahrain",1998,15.9134
"Bahrain",1999,16.4735
"Bahrain",2000,15.9192
"Bahrain",2001,15.2522
"Bahrain",2002,20.2677
"Bahrain",2003,17.6647
"Bahrain",2004,16.4741
"Bahrain",2005,16.7107
"Bahrain",2006,16.9359
"Bahrain",2007,16.2142
"Bahrain",2008,13.9965
"Bahrain",2009,14.3198
"Bahrain",2010,16.0516
"Bangladesh",1990,42276.3465
"Bangladesh",1991,42076.9464
"Bangladesh",1992,42313.3027
"Bangladesh",1993,42111.3943
"Bangladesh",1994,42530.1457
"Bangladesh",1995,43014.0203
"Bangladesh",1996,42602.0613
"Bangladesh",1997,42947.9849
"Bangladesh",1998,42438.4658
"Bangladesh",1999,43879.2218
"Bangladesh",2000,44230.0301
"Bangladesh",2001,44072.4191
"Bangladesh",2002,44720.4951
"Bangladesh",2003,44954.017
"Bangladesh",2004,44227.0667
"Bangladesh",2005,45135.3543
"Bangladesh",2006,45626.682
"Bangladesh",2007,45955.5354
"Bangladesh",2008,47773.4818
"Bangladesh",2009,48268.2607
"Bangladesh",2010,48994.4014
"Barbados",1990,47.481
"Barbados",1991,47.4376
"Barbados",1992,47.7815
"Barbados",1993,44.3719
"Barbados",1994,44.4491
"Barbados",1995,44.5497
"Barbados",1996,44.6884
"Barbados",1997,41.0735
"Barbados",1998,39.7354
"Barbados",1999,37.1477
"Barbados",2000,34.3855
"Barbados",2001,31.779
"Barbados",2002,29.3062
"Barbados",2003,27.2307
"Barbados",2004,25.2761
"Barbados",2005,22.878
"Barbados",2006,19.8835
"Barbados",2007,18.157
"Barbados",2008,19.1929
"Barbados",2009,20.6141
"Barbados",2010,20.9513
"Belarus",1992,11729.3384
"Belarus",1993,11179.1936
"Belarus",1994,10633.9573
"Belarus",1995,10005.0551
"Belarus",1996,9400.1941
"Belarus",1997,9090.8889
"Belarus",1998,8966.8987
"Belarus",1999,8750.6979
"Belarus",2000,8191.0262
"Belarus",2001,7989.4087
"Belarus",2002,7732.5204
"Belarus",2003,7571.0348
"Belarus",2004,7393.0367
"Belarus",2005,7409.635
"Belarus",2006,7408.1772
"Belarus",2007,7374.414
"Belarus",2008,7348.7194
"Belarus",2009,7517.106
"Belarus",2010,7552.8474
"Belgium",2000,6296.6301
"Belgium",2001,6224.5698
"Belgium",2002,5977.5454
"Belgium",2003,5723.7249
"Belgium",2004,5619.7205
"Belgium",2005,5538.2844
"Belgium",2006,5468.6715
"Belgium",2007,5412.3274
"Belgium",2008,5383.2328
"Belgium",2009,5395.3135
"Belgium",2010,5363.1145
"Belgium-Luxembourg",1990,6918.3695
"Belgium-Luxembourg",1991,6971.3453
"Belgium-Luxembourg",1992,6857.8586
"Belgium-Luxembourg",1993,6812.945
"Belgium-Luxembourg",1994,6788.3699
"Belgium-Luxembourg",1995,6893.8479
"Belgium-Luxembourg",1996,6859.06
"Belgium-Luxembourg",1997,6717.0352
"Belgium-Luxembourg",1998,6630.4378
"Belgium-Luxembourg",1999,6932.7182
"Belize",1990,84.5084
"Belize",1991,79.3619
"Belize",1992,94.4571
"Belize",1993,81.9446
"Belize",1994,84.3158
"Belize",1995,62.488
"Belize",1996,64.3463
"Belize",1997,69.3115
"Belize",1998,75.1609
"Belize",1999,81.4558
"Belize",2000,74.459
"Belize",2001,80.3796
"Belize",2002,79.6834
"Belize",2003,86.4003
"Belize",2004,80.6753
"Belize",2005,84.0612
"Belize",2006,92.3225
"Belize",2007,104.396
"Belize",2008,111.4429
"Belize",2009,122.921
"Belize",2010,123.7271
"Benin",1990,1639.7619
"Benin",1991,1653.7502
"Benin",1992,1675.4841
"Benin",1993,1676.7957
"Benin",1994,1800.828
"Benin",1995,1663.5517
"Benin",1996,1780.5141
"Benin",1997,1862.3353
"Benin",1998,1988.7183
"Benin",1999,1897.6899
"Benin",2000,2149.8643
"Benin",2001,2057.3267
"Benin",2002,2357.3351
"Benin",2003,2213.7091
"Benin",2004,2142.4525
"Benin",2005,2573.5755
"Benin",2006,2292.65
"Benin",2007,2371.4155
"Benin",2008,2293.6809
"Benin",2009,2332.9509
"Benin",2010,2283.1177
"Bermuda",1990,3.6179
"Bermuda",1991,3.6256
"Bermuda",1992,3.4806
"Bermuda",1993,3.4517
"Bermuda",1994,3.521
"Bermuda",1995,2.8604
"Bermuda",1996,2.6074
"Bermuda",1997,2.5972
"Bermuda",1998,2.6783
"Bermuda",1999,2.7137
"Bermuda",2000,2.7491
"Bermuda",2001,2.7705
"Bermuda",2002,2.8358
"Bermuda",2003,2.7705
"Bermuda",2004,2.6074
"Bermuda",2005,2.6535
"Bermuda",2006,2.66
"Bermuda",2007,2.7175
"Bermuda",2008,2.97
"Bermuda",2009,2.962
"Bermuda",2010,2.9373
"Bhutan",1990,440.4877
"Bhutan",1991,431.9015
"Bhutan",1992,407.9511
"Bhutan",1993,409.1206
