"country","year","value"
"Afghanistan",1990,2828.4121
"Afghanistan",1991,2913.1815
"Afghanistan",1992,2859.3505
"Afghanistan",1993,2893.3135
"Afghanistan",1994,2711.5904
"Afghanistan",1995,2825.174
"Afghanistan",1996,3056.5299
"Afghanistan",1997,3372.9265
"Afghanistan",1998,3674.8244
"Afghanistan",1999,3956.1952
"Afghanistan",2000,3405.6968
"Afghanistan",2001,2978.0042
"Afghanistan",2002,3499.1291
"Afghanistan",2003,3691.2034
"Afghanistan",2004,3596.1926
"Afghanistan",2005,3755.9154
"Afghanistan",2006,3725.3374
"Afghanistan",2007,3542.2341
"Afghanistan",2008,3790.3613
"Afghanistan",2009,4156.6826
"Afghanistan",2010,4624.6951
"Albania",1990,1402.6974
"Albania",1991,1049.7338
"Albania",1992,994.9704
"Albania",1993,1069.3727
"Albania",1994,1313.0937
"Albania",1995,1310.1418
"Albania",1996,1158.0464
"Albania",1997,1087.6062
"Albania",1998,1127.0041
"Albania",1999,1070.714
"Albania",2000,1128.8982
"Albania",2001,1087.8238
"Albania",2002,1235.9667
"Albania",2003,1248.7281
"Albania",2004,1202.7762
"Albania",2005,1203.9577
"Albania",2006,1147.4243
"Albania",2007,1121.8223
"Albania",2008,1064.2715
"Albania",2009,1063.1463
"Albania",2010,1072.545
"Algeria",1990,3663.0932
"Algeria",1991,3589.9169
"Algeria",1992,3733.7681
"Algeria",1993,3791.6899
"Algeria",1994,3568.8247
"Algeria",1995,3465.8625
"Algeria",1996,3543.6097
"Algeria",1997,3388.0199
"Algeria",1998,3955.3107
"Algeria",1999,3857.2914
"Algeria",2000,3760.7297
"Algeria",2001,3935.5072
"Algeria",2002,3778.1751
"Algeria",2003,3963.542
"Algeria",2004,4644.8186
"Algeria",2005,3977.8822
"Algeria",2006,4324.6143
"Algeria",2007,4355.3142
"Algeria",2008,4027.5238
"Algeria",2009,4733.0147
"Algeria",2010,4948.5289
"American Samoa",1990,1.0333
"American Samoa",1991,1.0368
"American Samoa",1992,1.0385
"American Samoa",1993,1.0459
"American Samoa",1994,1.0493
"American Samoa",1995,1.0477
"American Samoa",1996,1.0495
"American Samoa",1997,1.0496
"American Samoa",1998,1.0493
"American Samoa",1999,1.0494
"American Samoa",2000,1.0477
"American Samoa",2001,1.05
"American Samoa",2002,1.05
"American Samoa",2003,1.0501
"American Samoa",2004,1.0495
"American Samoa",2005,1.0495
"American Samoa",2006,1.0575
"American Samoa",2007,1.0655
"American Samoa",2008,1.0673
"American Samoa",2009,1.0657
"American Samoa",2010,1.0657
"Angola",1990,14642.1434
"Angola",1991,14675.6536
"Angola",1992,14719.2926
"Angola",1993,14661.0385
"Angola",1994,14606.1697
"Angola",1995,14599.6024
"Angola",1996,14054.523
"Angola",1997,13803.8883
"Angola",1998,15270.485
"Angola",1999,14099.8026
"Angola",2000,14517.3352
"Angola",2001,14706.3869
"Angola",2002,14561.8898
"Angola",2003,16443.9334
"Angola",2004,16970.9518
"Angola",2005,16887.4174
"Angola",2006,15181.5997
"Angola",2007,16484.4632
"Angola",2008,15582.8257
"Angola",2009,15769.3397
"Angola",2010,16610.2013
"Anguilla",1990,0
"Anguilla",1991,0
"Anguilla",1992,0
"Anguilla",1993,0
"Anguilla",1994,0
"Anguilla",1995,0
"Anguilla",1996,0
"Anguilla",1997,0
"Anguilla",1998,0
"Anguilla",1999,0
"Anguilla",2000,0
"Anguilla",2001,0
"Anguilla",2002,0
"Anguilla",2003,0
"Anguilla",2004,0
"Anguilla",2005,0
"Anguilla",2006,0
"Anguilla",2007,0
"Anguilla",2008,0
"Anguilla",2009,0
"Anguilla",2010,0
"Antigua and Barbuda",1990,11.5706
"Antigua and Barbuda",1991,11.5648
"Antigua and Barbuda",1992,11.5944
"Antigua and Barbuda",1993,11.8614
"Antigua and Barbuda",1994,12.2117
"Antigua and Barbuda",1995,12.5658
"Antigua and Barbuda",1996,12.7667
"Antigua and Barbuda",1997,13.0437
"Antigua and Barbuda",1998,13.1674
"Antigua and Barbuda",1999,13.3238
"Antigua and Barbuda",2000,13.0585
"Antigua and Barbuda",2001,13.4009
"Antigua and Barbuda",2002,13.6527
"Antigua and Barbuda",2003,14.0287
"Antigua and Barbuda",2004,14.0178
"Antigua and Barbuda",2005,14.0899
"Antigua and Barbuda",2006,14.1307
"Antigua and Barbuda",2007,14.3476
"Antigua and Barbuda",2008,14.1909
"Antigua and Barbuda",2009,14.1468
"Antigua and Barbuda",2010,8.8549
"Argentina",1990,35130.4886
"Argentina",1991,34732.2041
"Argentina",1992,35528.2398
"Argentina",1993,34974.8149
"Argentina",1994,36099.4879
"Argentina",1995,35820.1957
"Argentina",1996,36577.6256
"Argentina",1997,36244.6334
"Argentina",1998,35744.5777
"Argentina",1999,36432.9073
"Argentina",2000,38433.6229
"Argentina",2001,40913.9439
"Argentina",2002,39474.0949
