"country","year","value"
"Afghanistan",1990,7342.7099
"Afghanistan",1991,7631.0272
"Afghanistan",1992,7631.4427
"Afghanistan",1993,7702.7416
"Afghanistan",1994,7699.1389
"Afghanistan",1995,8080.4473
"Afghanistan",1996,8969.3498
"Afghanistan",1997,9849.6135
"Afghanistan",1998,10579.1589
"Afghanistan",1999,11506.1305
"Afghanistan",2000,9883.8943
"Afghanistan",2001,8373.4948
"Afghanistan",2002,10408.5249
"Afghanistan",2003,10835.4511
"Afghanistan",2004,10622.0046
"Afghanistan",2005,10898.1215
"Afghanistan",2006,10993.4743
"Afghanistan",2007,10937.1688
"Afghanistan",2008,12016.8651
"Afghanistan",2009,12551.7967
"Afghanistan",2010,14332.6195
"Albania",1990,3251.4396
"Albania",1991,2922.1154
"Albania",1992,2855.588
"Albania",1993,3052.448
"Albania",1994,3846.9802
"Albania",1995,3900.9556
"Albania",1996,3604.4011
"Albania",1997,3362.2026
"Albania",1998,3283.9877
"Albania",1999,3285.4181
"Albania",2000,3382.2126
"Albania",2001,3288.356
"Albania",2002,3378.6996
"Albania",2003,3417.9462
"Albania",2004,3290.4011
"Albania",2005,3276.5154
"Albania",2006,3183.3813
"Albania",2007,3041.6447
"Albania",2008,2858.6862
"Albania",2009,2769.2976
"Albania",2010,2788.2319
"Algeria",1990,7332.476
"Algeria",1991,7106.5447
"Algeria",1992,7416.3296
"Algeria",1993,7524.755
"Algeria",1994,7162.7738
"Algeria",1995,7071.091
"Algeria",1996,7160.2522
"Algeria",1997,7000.3207
"Algeria",1998,7763.636
"Algeria",1999,7845.1538
"Algeria",2000,7756.0774
"Algeria",2001,7982.922
"Algeria",2002,7775.1941
"Algeria",2003,8008.498
"Algeria",2004,8875.0919
"Algeria",2005,8234.8245
"Algeria",2006,8661.4559
"Algeria",2007,8808.329
"Algeria",2008,8411.365
"Algeria",2009,9415.0653
"Algeria",2010,9844.1223
"American Samoa",1990,4.5326
"American Samoa",1991,4.5364
"American Samoa",1992,4.5385
"American Samoa",1993,4.5515
"American Samoa",1994,4.5566
"American Samoa",1995,4.5563
"American Samoa",1996,4.5593
"American Samoa",1997,4.5606
"American Samoa",1998,4.5544
"American Samoa",1999,4.5548
"American Samoa",2000,4.5531
"American Samoa",2001,4.564
"American Samoa",2002,4.5653
"American Samoa",2003,4.5668
"American Samoa",2004,4.555
"American Samoa",2005,4.555
"American Samoa",2006,4.5599
"American Samoa",2007,4.5934
"American Samoa",2008,4.5964
"American Samoa",2009,4.5961
"American Samoa",2010,4.596
"Angola",1990,26480.3708
"Angola",1991,26556.6906
"Angola",1992,26651.2674
"Angola",1993,26530.3415
"Angola",1994,26497.9655
"Angola",1995,26424.5741
"Angola",1996,25546.1813
"Angola",1997,25190.2799
"Angola",1998,27856.7008
