"country","year","value"
"Afghanistan",1990,0
"Afghanistan",1991,0
"Afghanistan",1992,0
"Afghanistan",1993,0
"Afghanistan",1994,0
"Afghanistan",1995,0
"Afghanistan",1996,0
"Afghanistan",1997,0
"Afghanistan",1998,0
"Afghanistan",1999,0
"Afghanistan",2000,0
"Afghanistan",2001,0
"Afghanistan",2002,0
"Afghanistan",2003,0
"Afghanistan",2004,0
"Afghanistan",2005,0
"Afghanistan",2006,0
"Afghanistan",2007,0
"Afghanistan",2008,0
"Afghanistan",2009,0
"Afghanistan",2010,0
"Albania",1990,-481.445
"Albania",1991,-482.6352
"Albania",1992,-483.8313
"Albania",1993,-485.0333
"Albania",1994,-486.2414
"Albania",1995,-487.4554
"Albania",1996,-488.6755
"Albania",1997,-489.9018
"Albania",1998,-491.1342
"Albania",1999,-492.3728
"Albania",2000,-493.6177
"Albania",2001,733.3333
"Albania",2002,733.3333
"Albania",2003,733.3333
"Albania",2004,733.3333
"Albania",2005,733.3333
"Albania",2006,-642.8195
"Albania",2007,-643.8234
"Albania",2008,-644.8305
"Albania",2009,-645.8407
"Albania",2010,-646.8541
"Algeria",1990,-37.6513
"Algeria",1991,-37.2166
"Algeria",1992,-36.7772
"Algeria",1993,-36.3332
"Algeria",1994,-35.8844
"Algeria",1995,-35.4308
"Algeria",1996,-34.9723
"Algeria",1997,-34.5087
"Algeria",1998,-34.0401
"Algeria",1999,-33.5663
"Algeria",2000,-33.0873
"Algeria",2001,-727.8066
"Algeria",2002,-730.1579
"Algeria",2003,-732.5351
"Algeria",2004,-734.9386
"Algeria",2005,-737.3689
"Algeria",2006,-6746.6667
"Algeria",2007,-6746.6667
"Algeria",2008,-6746.6667
"Algeria",2009,-6746.6667
"Algeria",2010,-6746.6667
"American Samoa",1990,-0.0058
"American Samoa",1991,-0.0058
"American Samoa",1992,-0.0058
"American Samoa",1993,-0.0059
"American Samoa",1994,-0.0059
"American Samoa",1995,-0.0059
"American Samoa",1996,-0.0059
"American Samoa",1997,-0.0059
"American Samoa",1998,-0.0059
"American Samoa",1999,-0.0059
"American Samoa",2000,-0.0059
"American Samoa",2001,-0.0059
"American Samoa",2002,-0.006
"American Samoa",2003,-0.006
"American Samoa",2004,-0.006
"American Samoa",2005,-0.006
"American Samoa",2006,-0.006
"American Samoa",2007,-0.006
"American Samoa",2008,-0.006
"American Samoa",2009,-0.006
"American Samoa",2010,-0.0061
"Angola",1990,147.8649
"Angola",1991,148.1676
"Angola",1992,148.4715
"Angola",1993,148.7766
"Angola",1994,149.083
"Angola",1995,149.3906
"Angola",1996,149.6995
"Angola",1997,150.0097
"Angola",1998,150.3212
"Angola",1999,150.634
"Angola",2000,150.9481
"Angola",2001,151.2635
"Angola",2002,151.5802
"Angola",2003,151.8983
"Angola",2004,152.2177
"Angola",2005,152.5384
"Angola",2006,152.8605
"Angola",2007,153.1839
"Angola",2008,153.5088
"Angola",2009,153.835
"Angola",2010,154.1626
"Anguilla",1990,-15.5042
"Anguilla",1991,-15.5042
"Anguilla",1992,-15.5042
"Anguilla",1993,-15.5042
"Anguilla",1994,-15.5042
"Anguilla",1995,-15.5042
"Anguilla",1996,-15.5042
"Anguilla",1997,-15.5042
"Anguilla",1998,-15.5042
"Anguilla",1999,-15.5042
"Anguilla",2000,-15.5042
"Anguilla",2001,-10.3261
"Anguilla",2002,-10.3261
"Anguilla",2003,-10.3261
"Anguilla",2004,-10.3261
"Anguilla",2005,-10.3261
"Anguilla",2006,52.4397
"Anguilla",2007,52.4397
"Anguilla",2008,52.4397
"Anguilla",2009,52.4397
"Anguilla",2010,52.4397
"Antigua and Barbuda",1990,-28.1076
"Antigua and Barbuda",1991,-28.1895
"Antigua and Barbuda",1992,-28.2718
"Antigua and Barbuda",1993,-28.3547
"Antigua and Barbuda",1994,-28.438
"Antigua and Barbuda",1995,-28.5218
"Antigua and Barbuda",1996,-28.6061
"Antigua and Barbuda",1997,-28.6909
"Antigua and Barbuda",1998,-28.7762
"Antigua and Barbuda",1999,-28.862
"Antigua and Barbuda",2000,-28.9483
"Antigua and Barbuda",2001,-18.3992
"Antigua and Barbuda",2002,-18.4731
"Antigua and Barbuda",2003,-18.5475
"Antigua and Barbuda",2004,-18.6226
"Antigua and Barbuda",2005,-18.6983
"Antigua and Barbuda",2006,93.4381
"Antigua and Barbuda",2007,93.4381
"Antigua and Barbuda",2008,93.4381
"Antigua and Barbuda",2009,93.4381
"Antigua and Barbuda",2010,93.4381
"Argentina",1990,-61442.0481
"Argentina",1991,-61907.7247
"Argentina",1992,-62381.3193
"Argentina",1993,-62863.0354
"Argentina",1994,-63353.0838
"Argentina",1995,-63851.6826
"Argentina",1996,-64359.0576
"Argentina",1997,-64875.4425
"Argentina",1998,-65401.0794
"Argentina",1999,-65936.2193
"Argentina",2000,-66481.1222
"Argentina",2001,-58092.3373
"Argentina",2002,-58660.5442
"Argentina",2003,-59240.9494
"Argentina",2004,-59833.95
"Argentina",2005,-60439.9605
"Argentina",2006,-34633.3709
"Argentina",2007,-34993.4449
"Argentina",2008,-35361.2688
"Argentina",2009,-35737.0954
"Argentina",2010,-36121.1888
"Armenia",1992,75.7811
"Armenia",1993,75.8647
"Armenia",1994,75.9485
"Armenia",1995,76.0323
"Armenia",1996,76.1163
"Armenia",1997,76.2003
"Armenia",1998,76.2845
"Armenia",1999,76.3687
"Armenia",2000,76.4531
"Armenia",2001,82.8028
"Armenia",2002,82.8526
"Armenia",2003,82.9024
"Armenia",2004,82.9523
"Armenia",2005,83.0022
"Armenia",2006,-286.7068
"Armenia",2007,-286.053
"Armenia",2008,-285.3985
"Armenia",2009,-284.7431
"Armenia",2010,-284.087
