"country","year","value"
"Afghanistan","1990",11.6
"Afghanistan","1995",11.9
"Afghanistan","2000",12.6
"Afghanistan","2005",12.9
"Afghanistan","2010",13.7
"Afghanistan","2014",14.2
"Albania","1990",22.3
"Albania","1995",23
"Albania","2000",24
"Albania","2005",24.8
"Albania","2010",25.7
"Albania","2014",26.2
"Algeria","1990",20.3
"Algeria","1995",22.1
"Algeria","2000",24.3
"Algeria","2005",26.2
"Algeria","2010",28.3
"Algeria","2014",29.6
"Argentina","1990",30.8
"Argentina","1995",31.9
"Argentina","2000",33
"Argentina","2005",34.1
"Argentina","2010",35.3
"Argentina","2014",36.3
"Armenia","1990",31.4
"Armenia","1995",31.9
"Armenia","2000",32.7
"Armenia","2005",33.3
"Armenia","2010",34.1
"Armenia","2014",34.4
"Australia","1990",93.5
"Australia","1995",95.9
"Australia","2000",99.3
"Australia","2005",102.7
"Australia","2010",106.3
"Australia","2014",108.4
"Austria","1990",97.7
"Austria","1995",100.2
"Austria","2000",101.9
"Austria","2005",103.7
"Austria","2010",105.4
"Austria","2014",107.6
"Bahrain","1990",33.9
"Bahrain","1995",35.7
"Bahrain","2000",37.2
"Bahrain","2005",39.2
"Bahrain","2010",41.6
"Bahrain","2014",42.7
"Bangladesh","1990",86.1
"Bangladesh","1995",86.2
"Bangladesh","2000",85.9
"Bangladesh","2005",85.7
"Bangladesh","2010",86.6
"Bangladesh","2014",86.6
"Barbados","1990",39.7
"Barbados","1995",41.1
"Barbados","2000",40.9
"Barbados","2005",42.8
"Barbados","2010",43.2
"Barbados","2014",45.9
"Belgium","1990",89.3
"Belgium","1995",92.4
"Belgium","2000",96.4
"Belgium","2005",99.8
"Belgium","2010",103.2
"Belgium","2014",106.1
"Belize","1990",6.7
"Belize","1995",6.9
"Belize","2000",7.1
"Belize","2005",7.2
"Belize","2010",7.4
"Belize","2014",7.6
"Benin","1990",407.3
"Benin","1995",409.2
"Benin","2000",413.3
"Benin","2005",412.1
"Benin","2010",417
"Benin","2014",420.1
"Bolivia","1990",19.2
"Bolivia","1995",19.7
"Bolivia","2000",20.6
"Bolivia","2005",21.2
"Bolivia","2010",21.9
"Bolivia","2014",22.7
"Botswana","1990",328.2
"Botswana","1995",319.9
"Botswana","2000",306.5
"Botswana","2005",321.6
"Botswana","2010",345.5
"Botswana","2014",349.4
"Brazil","1990",12.8
"Brazil","1995",13.4
"Brazil","2000",13.8
"Brazil","2005",14.4
"Brazil","2010",15
"Brazil","2014",15.5
"Bulgaria","1990",263.4
"Bulgaria","1995",255.4
"Bulgaria","2000",250.3
"Bulgaria","2005",253.7
"Bulgaria","2010",259.5
"Bulgaria","2014",261.2
"Burundi","1990",487.9
"Burundi","1995",466.1
"Burundi","2000",498
"Burundi","2005",498.1
"Burundi","2010",497.5
"Burundi","2014",501.7
"Cambodia","1990",9.9
"Cambodia","1995",10.1
"Cambodia","2000",10.3
"Cambodia","2005",10.3
"Cambodia","2010",10.7
"Cambodia","2014",10.9
"Cameroon","1990",162.5
"Cameroon","1995",161.5
"Cameroon","2000",160.6
"Cameroon","2005",162.4
"Cameroon","2010",166.5
"Cameroon","2014",168.5
"Canada","1990",76.9
"Canada","1995",78.9
"Canada","2000",81.6
"Canada","2005",83.7
"Canada","2010",85.1
"Canada","2014",86.9
"Central African Republic","1990",158.9
"Central African Republic","1995",159.6
"Central African Republic","2000",159.3
"Central African Republic","2005",160.3
"Central African Republic","2010",166.9
"Central African Republic","2014",169.7
"Chile","1990",25.6
"Chile","1995",26.7
"Chile","2000",27.9
"Chile","2005",28.9
"Chile","2010",29.9
"Chile","2014",30.7
"China","1990",20.3
"China","1995",21.6
"China","2000",22.5
"China","2005",23.5
"China","2010",24.5
"China","2014",25.2
"Colombia","1990",15.3
"Colombia","1995",16.1
"Colombia","2000",16.8
"Colombia","2005",17.5
"Colombia","2010",18.2
"Colombia","2014",18.9
"Congo","1990",292.3
"Congo","1995",294.8
