"country","year","value"
"Afghanistan","1990",1
"Afghanistan","1995",0.7
"Afghanistan","2000",0.6
"Afghanistan","2005",0.5
"Afghanistan","2010",0.4
"Afghanistan","2014",0.4
"Albania","1990",6
"Albania","1995",6.1
"Albania","2000",6.2
"Albania","2005",6.3
"Albania","2010",6.5
"Albania","2014",6.4
"Algeria","1990",23.9
"Algeria","1995",20
"Algeria","2000",17
"Algeria","2005",14.3
"Algeria","2010",11.4
"Algeria","2014",9.4
"Argentina","1990",26.5
"Argentina","1995",24.2
"Argentina","2000",22.3
"Argentina","2005",20.9
"Argentina","2010",19.9
"Argentina","2014",18.6
"Armenia","1990",0.8
"Armenia","1995",0.8
"Armenia","2000",0.8
"Armenia","2005",0.8
"Armenia","2010",1.6
"Armenia","2014",1.7
"Australia","1990",195.8
"Australia","1995",182.7
"Australia","2000",169.5
"Australia","2005",155.7
"Australia","2010",137.7
"Australia","2014",123.9
"Austria","1990",7.6
"Austria","1995",7.5
"Austria","2000",7.6
"Austria","2005",7.4
"Austria","2010",7.1
"Austria","2014",6.6
"Bahrain","1990",15.4
"Bahrain","1995",11.5
"Bahrain","2000",7.9
"Bahrain","2005",4.7
"Bahrain","2010",2.3
"Bahrain","2014",1.4
"Bangladesh","1990",0.6
"Bangladesh","1995",0.5
"Bangladesh","2000",0.4
"Bangladesh","2005",0.4
"Bangladesh","2010",0.4
"Bangladesh","2014",0.3
"Barbados","1990",2.7
"Barbados","1995",2.5
"Barbados","2000",2.3
"Barbados","2005",2
"Barbados","2010",1.8
"Barbados","2014",1.7
"Belgium","1990",0.4
"Belgium","1995",0.5
"Belgium","2000",0.6
"Belgium","2005",0.6
"Belgium","2010",0.6
"Belgium","2014",0.6
"Belize","1990",75.6
"Belize","1995",67
"Belize","2000",54.4
"Belize","2005",46.1
"Belize","2010",39.6
"Belize","2014",35.6
"Benin","1990",7.7
"Benin","1995",6
"Benin","2000",4.8
"Benin","2005",3.9
"Benin","2010",3.1
"Benin","2014",2.8
"Bolivia","1990",107.5
"Bolivia","1995",95.7
"Bolivia","2000",85.1
"Bolivia","2005",76.1
"Bolivia","2010",68.2
"Bolivia","2014",62.4
"Botswana","1990",48.4
"Botswana","1995",40.7
"Botswana","2000",35.4
"Botswana","2005",31.5
"Botswana","2010",27.3
"Botswana","2014",24.3
"Brazil","1990",50.2
"Brazil","1995",45.3
"Brazil","2000",40.9
"Brazil","2005",37.3
"Brazil","2010",34.4
"Brazil","2014",32.9
"Bulgaria","1990",9.4
"Bulgaria","1995",9.5
"Bulgaria","2000",9.6
"Bulgaria","2005",10.1
"Bulgaria","2010",10.7
"Bulgaria","2014",7.7
"Burundi","1990",1
"Burundi","1995",0.8
"Burundi","2000",0.6
"Burundi","2005",0.5
"Burundi","2010",0.4
"Burundi","2014",0.4
"Cambodia","1990",27.5
"Cambodia","1995",21.8
"Cambodia","2000",17.8
"Cambodia","2005",15.1
"Cambodia","2010",13.2
"Cambodia","2014",11.8
"Cameroon","1990",20.4
"Cameroon","1995",16.7
"Cameroon","2000",13.8
"Cameroon","2005",11.5
"Cameroon","2010",9.7
"Cameroon","2014",2.3
"Canada","1990",198.5
"Canada","1995",185.2
"Canada","2000",173.8
"Canada","2005",162.4
"Canada","2010",151.2
"Canada","2014",115.4
"Central African Republic","1990",71.7
"Central African Republic","1995",62.8
"Central African Republic","2000",55.8
"Central African Republic","2005",50.9
"Central African Republic","2010",46.2
"Central African Republic","2014",42.6
"Chile","1990",26.7
"Chile","1995",23.8
"Chile","2000",21.6
"Chile","2005",20.1
"Chile","2010",18.2
"Chile","2014",17.2
"China","1990",8.4
"China","1995",7.8
"China","2000",7.2
"China","2005",6.6
"China","2010",6.2
"China","2014",5.8
"Colombia","1990",29.1
"Colombia","1995",25.9
"Colombia","2000",23.4
"Colombia","2005",21
"Colombia","2010",19.1
"Colombia","2014",6.4
"Congo","1990",126
"Congo","1995",109
"Congo","2000",93.6
"Congo","2005",81.4
"Congo","2010",69.3
"Congo","2014",61.5
"Congo, Dem. Rep.","1990",37.7
"Congo, Dem. Rep.","1995",31
"Congo, Dem. Rep.","2000",26.9
"Congo, Dem. Rep.","2005",22.8
"Congo, Dem. Rep.","2010",19.2
"Congo, Dem. Rep.","2014",16.8
"Costa Rica","1990",16.9
"Costa Rica","1995",13.8
"Costa Rica","2000",11.5
"Costa Rica","2005",10.7
"Costa Rica","2010",10.3
"Costa Rica","2014",13.1
"Cote d'Ivoire","1990",5.1
"Cote d'Ivoire","1995",5.1
"Cote d'Ivoire","2000",5.1
"Cote d'Ivoire","2005",4.6
"Cote d'Ivoire","2010",4.2
"Cote d'Ivoire","2014",3.7
"Croatia","1990",4.8
"Croatia","1995",5.3
"Croatia","2000",5.7
"Croatia","2005",5.8
"Croatia","2010",6
"Croatia","2014",5.8
"Cuba","1990",2.9
"Cuba","1995",3
"Cuba","2000",3.1
"Cuba","2005",3.2
"Cuba","2010",3.1
"Cuba","2014",2.9
"Cyprus","1990",1.7
"Cyprus","1995",1.5
"Cyprus","2000",1.4
"Cyprus","2005",1.4
"Cyprus","2010",1.2
"Cyprus","2014",1.1
"Czech Republic","1990",7.8
"Czech Republic","1995",7.5
"Czech Republic","2000",7
"Czech Republic","2005",6.5
"Czech Republic","2010",5.8
"Czech Republic","2014",5.5
"Denmark","1990",15
"Denmark","1995",13.2
"Denmark","2000",11.2
"Denmark","2005",9
"Denmark","2010",7.3
"Denmark","2014",6.1
"Dominican Republic","1990",5.1
"Dominican Republic","1995",4.7
"Dominican Republic","2000",4.2
"Dominican Republic","2005",3.8
"Dominican Republic","2010",3.5
"Dominican Republic","2014",3.3
"Ecuador","1990",32.8
"Ecuador","1995",27.9
"Ecuador","2000",23.9
"Ecuador","2005",20.6
"Ecuador","2010",17.7
"Ecuador","2014",16.6
"Egypt","1990",3.9
"Egypt","1995",3.2
"Egypt","2000",2.6
"Egypt","2005",2.1
"Egypt","2010",1.6
"Egypt","2014",1.3
"El Salvador","1990",1.6
"El Salvador","1995",1.6
"El Salvador","2000",1.5
"El Salvador","2005",1.5
"El Salvador","2010",1.5
"El Salvador","2014",1.5
"Estonia","1990",12.8
"Estonia","1995",10.4
"Estonia","2000",6.9
"Estonia","2005",15.9
"Estonia","2010",16
"Estonia","2014",15.8
"Fiji","1990",11
"Fiji","1995",10.5
"Fiji","2000",10
"Fiji","2005",9.9
"Fiji","2010",9.5
"Fiji","2014",9.3
"Finland","1990",33.4
"Finland","1995",33
"Finland","2000",33.1
"Finland","2005",31.6
"Finland","2010",30.1
"Finland","2014",28.4
"France","1990",4.7
"France","1995",4.6
"France","2000",4.5
"France","2005",4.4
"France","2010",4.3
"France","2014",4.1
"Gabon","1990",1179.2
"Gabon","1995",1027.8
"Gabon","2000",900.6
"Gabon","2005",800.9
"Gabon","2010",712.4
"Gabon","2014",650.4
"Gambia","1990",6
"Gambia","1995",4.3
"Gambia","2000",3.7
"Gambia","2005",3
"Gambia","2010",2.5
"Gambia","2014",2.1
"Germany","1990",20.6
"Germany","1995",19.3
"Germany","2000",18.6
"Germany","2005",18
"Germany","2010",17.6
"Germany","2014",17.4
"Ghana","1990",5.3
"Ghana","1995",4.4
"Ghana","2000",3.7
"Ghana","2005",3.1
"Ghana","2010",2.5
"Ghana","2014",2.9
"Greece","1990",24.4
"Greece","1995",23
"Greece","2000",21.1
"Greece","2005",20
"Greece","2010",19
"Greece","2014",18.7
"Guatemala","1990",11.9
"Guatemala","1995",9.9
"Guatemala","2000",8.2
"Guatemala","2005",6.7
"Guatemala","2010",5.5
"Guatemala","2014",5.4
"Guyana","1990",281.9
"Guyana","1995",279.3
"Guyana","2000",272.7
"Guyana","2005",271.8
"Guyana","2010",267.7
"Guyana","2014",305.3
"Haiti","1990",1.1
"Haiti","1995",0.9
"Haiti","2000",0.8
"Haiti","2005",0.6
"Haiti","2010",0.5
"Haiti","2014",0.5
"Honduras","1990",21.7
"Honduras","1995",17.3
"Honduras","2000",13.6
"Honduras","2005",11.3
"Honduras","2010",9.5
"Honduras","2014",8.2
"Hungary","1990",6.6
"Hungary","1995",6.4
"Hungary","2000",6.1
"Hungary","2005",6.1
"Hungary","2010",5.8
"Hungary","2014",5.8
"Iceland","1990",415.4
"Iceland","1995",388.3
"Iceland","2000",361.9
"Iceland","2005",335.5
"Iceland","2010",309.9
"Iceland","2014",298.5
"India","1990",4.1
"India","1995",3.7
"India","2000",3.3
"India","2005",3
"India","2010",2.7
"India","2014",2.5
"Indonesia","1990",16.4
"Indonesia","1995",14.3
"Indonesia","2000",12.7
"Indonesia","2005",11.4
"Indonesia","2010",10.1
"Indonesia","2014",9
"Iran","1990",84.9
"Iran","1995",77.6
"Iran","2000",69.5
"Iran","2005",63.3
"Iran","2010",58.1
"Iran","2014",52.7
"Iraq","1990",88.2
"Iraq","1995",75.6
"Iraq","2000",63.8
"Iraq","2005",54.4
"Iraq","2010",46.4
"Iraq","2014",39.6
"Ireland","1990",12.2
"Ireland","1995",9.7
"Ireland","2000",8.8
"Ireland","2005",7.6
"Ireland","2010",6.9
"Ireland","2014",6.4
"Israel","1990",3.1
"Israel","1995",2.6
"Israel","2000",2.3
"Israel","2005",2
"Israel","2010",1.8
"Israel","2014",1.5
"Italy","1990",6.3
"Italy","1995",6.1
"Italy","2000",6.2
"Italy","2005",6.1
"Italy","2010",6.1
"Italy","2014",5.5
"Jamaica","1990",13.5
"Jamaica","1995",13.4
"Jamaica","2000",12.5
"Jamaica","2005",12
"Jamaica","2010",11.3
"Jamaica","2014",11.1
"Japan","1990",4.6
"Japan","1995",4.4
"Japan","2000",4.2
"Japan","2005",4
"Japan","2010",3.9
"Japan","2014",3.6
"Jordan","1990",2.3
"Jordan","1995",1.8
"Jordan","2000",1.6
"Jordan","2005",1.4
"Jordan","2010",1.1
"Jordan","2014",0.9
"Kazakhstan","1990",56.9
"Kazakhstan","1995",64.2
"Kazakhstan","2000",67.1
"Kazakhstan","2005",64.2
"Kazakhstan","2010",57.4
"Kazakhstan","2014",52.3
"Kenya","1990",2
"Kenya","1995",1.7
"Kenya","2000",1.4
"Kenya","2005",1.2
"Kenya","2010",1.1
"Kenya","2014",1.1
"Korea, Rep.","1990",9.8
"Korea, Rep.","1995",9.3
"Korea, Rep.","2000",9.1
"Korea, Rep.","2005",9.1
"Korea, Rep.","2010",8.9
"Korea, Rep.","2014",7.8
"Kuwait","1990",780.1
"Kuwait","1995",962.1
"Kuwait","2000",790
"Kuwait","2005",650.1
"Kuwait","2010",460.5
"Kuwait","2014",361.8
"Kyrgyz Republic","1990",3.6
"Kyrgyz Republic","1995",3.6
"Kyrgyz Republic","2000",3.3
"Kyrgyz Republic","2005",3.2
"Kyrgyz Republic","2010",3.4
"Kyrgyz Republic","2014",3.1
"Laos","1990",35.4
"Laos","1995",30.3
"Laos","2000",27.1
"Laos","2005",24.7
"Laos","2010",22.4
"Laos","2014",22.7
"Latvia","1990",7.9
"Latvia","1995",8.9
"Latvia","2000",9.9
"Latvia","2005",10.9
"Latvia","2010",12.7
"Latvia","2014",12.7
"Lesotho","1990",0.1
"Lesotho","1995",0.1
"Lesotho","2000",0.1
"Lesotho","2005",0.1
"Lesotho","2010",0.1
"Lesotho","2014",0.1
"Liberia","1990",17.8
"Liberia","1995",17.4
"Liberia","2000",12.1
"Liberia","2005",10.3
"Liberia","2010",8.2
"Liberia","2014",7.2
"Lithuania","1990",4.6
"Lithuania","1995",4.8
"Lithuania","2000",5
"Lithuania","2005",5.4
"Lithuania","2010",5.8
"Lithuania","2014",5.9
"Luxembourg","1990",3
"Luxembourg","1995",3.2
"Luxembourg","2000",3.3
"Luxembourg","2005",3.1
"Luxembourg","2010",2.8
"Luxembourg","2014",2.5
"Malawi","1990",2.6
"Malawi","1995",2.4
"Malawi","2000",2.1
"Malawi","2005",1.8
"Malawi","2010",1.5
"Malawi","2014",1.3
"Malaysia","1990",34.5
"Malaysia","1995",28.8
"Malaysia","2000",23.8
"Malaysia","2005",19.9
"Malaysia","2010",16.8
"Malaysia","2014",15.4
"Maldives","1990",14.2
"Maldives","1995",11.6
"Maldives","2000",11
"Maldives","2005",8.9
"Maldives","2010",5.3
"Maldives","2014",4.8
"Mali","1990",8.9
"Mali","1995",7.7
"Mali","2000",6.7
"Mali","2005",5.6
"Mali","2010",4.6
"Mali","2014",2.7
"Malta","1990",0.6
"Malta","1995",0.5
"Malta","2000",0.4
"Malta","2005",0.4
"Malta","2010",0.5
"Malta","2014",0.4
"Mauritania","1990",9.9
"Mauritania","1995",7.8
"Mauritania","2000",6.3
"Mauritania","2005",4.9
"Mauritania","2010",4
"Mauritania","2014",3.3
"Mauritius","1990",2.2
"Mauritius","1995",1.9
"Mauritius","2000",1.7
"Mauritius","2005",1.4
"Mauritius","2010",1.3
"Mauritius","2014",1.3
"Mexico","1990",13.4
"Mexico","1995",11.7
"Mexico","2000",10.3
"Mexico","2005",9.1
"Mexico","2010",8
"Mexico","2014",7.6
"Moldova","1990",1.6
"Moldova","1995",1.7
"Moldova","2000",1.8
"Moldova","2005",2
"Moldova","2010",2.1
"Moldova","2014",0.4
"Mongolia","1990",101.2
"Mongolia","1995",92.5
"Mongolia","2000",90.9
"Mongolia","2005",80.1
"Mongolia","2010",73.2
"Mongolia","2014",69.2
"Morocco","1990",3.4
"Morocco","1995",3
"Morocco","2000",2.7
"Morocco","2005",2.5
"Morocco","2010",2.3
"Morocco","2014",2.2
"Mozambique","1990",20.4
"Mozambique","1995",16.8
"Mozambique","2000",14.4
"Mozambique","2005",12.2
"Mozambique","2010",15.3
"Mozambique","2014",13.5
"Myanmar","1990",6
"Myanmar","1995",5.3
"Myanmar","2000",4.6
"Myanmar","2005",4.1
"Myanmar","2010",3.6
"Myanmar","2014",3.3
"Namibia","1990",38.3
"Namibia","1995",34
"Namibia","2000",30.7
"Namibia","2005",29.7
"Namibia","2010",30
"Namibia","2014",26.7
"Nepal","1990",11.8
"Nepal","1995",9.4
"Nepal","2000",7.7
"Nepal","2005",6.7
"Nepal","2010",6.3
"Nepal","2014",6
"Netherlands","1990",10.5
"Netherlands","1995",8.9
"Netherlands","2000",7.6
"Netherlands","2005",6.4
"Netherlands","2010",5.3
"Netherlands","2014",4.4
"New Zealand","1990",483.1
"New Zealand","1995",434.2
"New Zealand","2000",412.7
"New Zealand","2005",367.8
"New Zealand","2010",434.3
"New Zealand","2014",379.8
"Nicaragua","1990",10.2
"Nicaragua","1995",8.8
"Nicaragua","2000",7.8
"Nicaragua","2005",6.9
"Nicaragua","2010",5.9
"Nicaragua","2014",6
"Niger","1990",1.9
"Niger","1995",1.4
"Niger","2000",1
"Niger","2005",0.9
"Niger","2010",0.7
"Niger","2014",0.6
"Nigeria","1990",10
"Nigeria","1995",8.5
"Nigeria","2000",7.1
"Nigeria","2005",5.8
"Nigeria","2010",4.7
"Nigeria","2014",3.9
"Norway","1990",137.7
"Norway","1995",122.2
"Norway","2000",100.7
"Norway","2005",79.8
"Norway","2010",60.9
"Norway","2014",48.7
"Pakistan","1990",13.5
"Pakistan","1995",10.6
"Pakistan","2000",8.4
"Pakistan","2005",6.6
"Pakistan","2010",5.1
"Pakistan","2014",4
"Panama","1990",18.7
"Panama","1995",16.1
"Panama","2000",13.9
"Panama","2005",12.4
"Panama","2010",11.1
"Panama","2014",12.2
"Papua New Guinea","1990",78.7
"Papua New Guinea","1995",67.4
"Papua New Guinea","2000",57.4
"Papua New Guinea","2005",49.4
"Papua New Guinea","2010",42.6
"Papua New Guinea","2014",53.3
"Paraguay","1990",27.2
"Paraguay","1995",23.1
"Paraguay","2000",21.1
"Paraguay","2005",18.6
"Paraguay","2010",17.1
"Paraguay","2014",15.2
"Peru","1990",61
"Peru","1995",54.3
"Peru","2000",49.7
"Peru","2005",45.7
"Peru","2010",42
"Peru","2014",41.8
"Philippines","1990",2.3
"Philippines","1995",2
"Philippines","2000",1.8
"Philippines","2005",1.7
"Philippines","2010",1.6
"Philippines","2014",1.4
"Poland","1990",14.3
"Poland","1995",13.6
"Poland","2000",13.2
"Poland","2005",12.6
"Poland","2010",12.1
"Poland","2014",11.8
"Portugal","1990",6.2
"Portugal","1995",6.3
"Portugal","2000",6.4
"Portugal","2005",6
"Portugal","2010",5.9
"Portugal","2014",5.6
"Qatar","1990",948.7
"Qatar","1995",884.2
"Qatar","2000",724.9
"Qatar","2005",491.3
"Qatar","2010",217.1
"Qatar","2014",161.7
"Romania","1990",9.4
"Romania","1995",9.2
"Romania","2000",9
"Romania","2005",9
"Romania","2010",9.3
"Romania","2014",9.2
"Russian Federation","1990",73.6
"Russian Federation","1995",87.4
"Russian Federation","2000",86.6
"Russian Federation","2005",86.3
"Russian Federation","2010",84.6
"Russian Federation","2014",81.7
"Rwanda","1990",0.4
"Rwanda","1995",0.4
"Rwanda","2000",0.3
"Rwanda","2005",0.3
"Rwanda","2010",0.4
"Rwanda","2014",0.4
"Saudi Arabia","1990",359.5
"Saudi Arabia","1995",334.1
"Saudi Arabia","2000",284.7
"Saudi Arabia","2005",237.3
"Saudi Arabia","2010",200.1
"Saudi Arabia","2014",179.6
"Senegal","1990",10.9
"Senegal","1995",9
"Senegal","2000",7.6
"Senegal","2005",6.4
"Senegal","2010",5.5
"Senegal","2014",4.8
"Serbia","1990",3.3
"Serbia","1995",3.4
"Serbia","2000",3.5
"Serbia","2005",4
"Serbia","2010",5.8
"Serbia","2014",5.1
"Sierra Leone","1990",5.1
"Sierra Leone","1995",5
"Sierra Leone","2000",4.6
"Sierra Leone","2005",3.5
"Sierra Leone","2010",2.9
"Sierra Leone","2014",2.6
"Singapore","1990",0.1
"Singapore","1995",0.1
"Singapore","2000",0.1
"Singapore","2005",0.1
"Singapore","2010",0
"Singapore","2014",0
"Slovakia","1990",2.8
"Slovakia","1995",2.9
"Slovakia","2000",2.9
"Slovakia","2005",2.8
"Slovakia","2010",2.8
"Slovakia","2014",2.6
"Slovenia","1990",12
"Slovenia","1995",12.4
"Slovenia","2000",12.7
"Slovenia","2005",13.2
"Slovenia","2010",13.4
"Slovenia","2014",12.2
"South Africa","1990",13.7
"South Africa","1995",11.8
"South Africa","2000",9.9
"South Africa","2005",8.7
"South Africa","2010",7.6
"South Africa","2014",6.7
"Spain","1990",7.6
"Spain","1995",7.6
"Spain","2000",7.7
"Spain","2005",7.1
"Spain","2010",6.7
"Spain","2014",6.6
"Sri Lanka","1990",4.6
"Sri Lanka","1995",4.1
"Sri Lanka","2000",3.6
"Sri Lanka","2005",3.2
"Sri Lanka","2010",2.9
"Sri Lanka","2014",3.1
"Sudan (former)","1990",20.7
"Sudan (former)","1995",16.1
"Sudan (former)","2000",13.6
"Sudan (former)","2005",11.7
"Sudan (former)","2010",10.1
"Sudan (former)","2014",5.2
"Swaziland","1990",2.9
"Swaziland","1995",2.7
"Swaziland","2000",2.5
"Swaziland","2005",2.5
"Swaziland","2010",2.4
"Swaziland","2014",2.4
"Sweden","1990",24.5
"Sweden","1995",23.2
"Sweden","2000",22.5
"Sweden","2005",22.3
"Sweden","2010",21
"Sweden","2014",15.9
"Switzerland","1990",12.8
"Switzerland","1995",12.1
"Switzerland","2000",11.9
"Switzerland","2005",11.4
"Switzerland","2010",10.8
"Switzerland","2014",10.2
"Syria","1990",6.5
"Syria","1995",5
"Syria","2000",3.7
"Syria","2005",2.8
"Syria","2010",2
"Syria","2014",1.9
"Tajikistan","1990",1.2
"Tajikistan","1995",1.1
"Tajikistan","2000",1.1
"Tajikistan","2005",1
"Tajikistan","2010",0.9
"Tajikistan","2014",0.8
"Tanzania","1990",11.4
"Tanzania","1995",9.3
"Tanzania","2000",7.8
"Tanzania","2005",6.5
"Tanzania","2010",5.3
"Tanzania","2014",7.3
"Thailand","1990",6.1
"Thailand","1995",5.6
"Thailand","2000",4.9
"Thailand","2005",4.4
"Thailand","2010",4.1
"Thailand","2014",4
"Togo","1990",1.5
"Togo","1995",1.2
"Togo","2000",1
"Togo","2005",0.7
"Togo","2010",0.6
"Togo","2014",0.5
"Trinidad and Tobago","1990",58.7
"Trinidad and Tobago","1995",53.5
"Trinidad and Tobago","2000",48.7
"Trinidad and Tobago","2005",41.1
"Trinidad and Tobago","2010",30.8
"Trinidad and Tobago","2014",20.6
"Tunisia","1990",3.5
"Tunisia","1995",2.9
"Tunisia","2000",2.5
"Tunisia","2005",2.1
"Tunisia","2010",1.8
"Tunisia","2014",1.5
"Turkey","1990",12
"Turkey","1995",10.9
"Turkey","2000",10.1
"Turkey","2005",9.2
"Turkey","2010",8.1
"Turkey","2014",7.5
"Uganda","1990",2.8
"Uganda","1995",2.3
"Uganda","2000",1.9
"Uganda","2005",1.5
"Uganda","2010",1.2
"Uganda","2014",1
"Ukraine","1990",12.9
"Ukraine","1995",14.1
"Ukraine","2000",14.6
"Ukraine","2005",15
"Ukraine","2010",15.1
"Ukraine","2014",15
"United Arab Emirates","1990",743
"United Arab Emirates","1995",552.3
"United Arab Emirates","2000",409.3
"United Arab Emirates","2005",266.9
"United Arab Emirates","2010",136.6
"United Arab Emirates","2014",119.5
"United Kingdom","1990",8.6
"United Kingdom","1995",7.2
"United Kingdom","2000",5.5
"United Kingdom","2005",4.2
"United Kingdom","2010",3.2
"United Kingdom","2014",2.6
"United States","1990",44
"United States","1995",40.1
"United States","2000",36.8
"United States","2005",34.5
"United States","2010",32.4
"United States","2014",29.8
"Uruguay","1990",12.3
"Uruguay","1995",11.8
"Uruguay","2000",11.3
"Uruguay","2005",11.2
"Uruguay","2010",10.7
"Uruguay","2014",10.5
"Venezuela","1990",241.1
"Venezuela","1995",212.5
"Venezuela","2000",189
"Venezuela","2005",169.7
"Venezuela","2010",154.1
"Venezuela","2014",144.1
"Vietnam","1990",5.4
"Vietnam","1995",5
"Vietnam","2000",4.6
"Vietnam","2005",4.3
"Vietnam","2010",3.9
"Vietnam","2014",3.6
"Yemen","1990",7.4
"Yemen","1995",5.6
"Yemen","2000",4.4
"Yemen","2005",3.4
"Yemen","2010",3.6
"Yemen","2014",3.1
"Zambia","1990",42.8
"Zambia","1995",37.1
"Zambia","2000",32
"Zambia","2005",27.7
"Zambia","2010",23.6
"Zambia","2014",20.9
"Zimbabwe","1990",9.8
"Zimbabwe","1995",8.1
"Zimbabwe","2000",7
"Zimbabwe","2005",6.2
"Zimbabwe","2010",5.3
"Zimbabwe","2014",4.5
