"country","year","value"
"Afghanistan","1990",2.1
"Afghanistan","1995",1.5
"Afghanistan","2000",1.2
"Afghanistan","2005",1
"Afghanistan","2010",1
"Afghanistan","2014",1
"Albania","1990",7.8
"Albania","1995",7.3
"Albania","2000",7.9
"Albania","2005",10.4
"Albania","2010",14.1
"Albania","2014",16.2
"Algeria","1990",10.8
"Algeria","1995",10.1
"Algeria","2000",9.9
"Algeria","2005",10.4
"Algeria","2010",11.7
"Algeria","2014",13.1
"Argentina","1990",14.9
"Argentina","1995",15.2
"Argentina","2000",16.4
"Argentina","2005",16.2
"Argentina","2010",18.7
"Argentina","2014",21.3
"Armenia","1990",4.3
"Armenia","1995",4.5
"Armenia","2000",4.5
"Armenia","2005",5.3
"Armenia","2010",7.7
"Armenia","2014",8.4
"Australia","1990",78.1
"Australia","1995",86.1
"Australia","2000",99.2
"Australia","2005",117.5
"Australia","2010",140.9
"Australia","2014",160
"Austria","1990",104.8
"Austria","1995",117.8
"Austria","2000",134.5
"Austria","2005",147.1
"Austria","2010",159.1
"Austria","2014",166
"Bahrain","1990",49.9
"Bahrain","1995",53.8
"Bahrain","2000",51.7
"Bahrain","2005",49
"Bahrain","2010",51.7
"Bahrain","2014",54.2
"Bangladesh","1990",0.5
"Bangladesh","1995",0.6
"Bangladesh","2000",0.7
"Bangladesh","2005",0.9
"Bangladesh","2010",1.3
"Bangladesh","2014",1.6
"Barbados","1990",38.3
"Barbados","1995",38
"Barbados","2000",41.1
"Barbados","2005",44.4
"Barbados","2010",46.7
"Barbados","2014",46.5
"Belgium","1990",87.8
"Belgium","1995",99.1
"Belgium","2000",111.9
"Belgium","2005",124.1
"Belgium","2010",135.7
"Belgium","2014",142.9
"Belize","1990",7.9
"Belize","1995",9.6
"Belize","2000",10
"Belize","2005",10.6
"Belize","2010",10.8
"Belize","2014",10.7
"Benin","1990",1.9
"Benin","1995",1.8
"Benin","2000",1.8
"Benin","2005",1.8
"Benin","2010",1.8
"Benin","2014",2
"Bolivia","1990",1.9
"Bolivia","1995",1.9
"Bolivia","2000",2.2
"Bolivia","2005",2.3
"Bolivia","2010",2.5
"Bolivia","2014",3
"Botswana","1990",6
"Botswana","1995",8
"Botswana","2000",10.4
"Botswana","2005",13.6
"Botswana","2010",17.3
"Botswana","2014",21.4
"Brazil","1990",12.6
"Brazil","1995",12.7
"Brazil","2000",13.2
"Brazil","2005",13.3
"Brazil","2010",14.6
"Brazil","2014",16.7
"Bulgaria","1990",5.5
"Bulgaria","1995",5.4
"Bulgaria","2000",6
"Bulgaria","2005",8.6
"Bulgaria","2010",13.3
"Bulgaria","2014",15.7
"Burundi","1990",0.4
"Burundi","1995",0.4
"Burundi","2000",0.4
"Burundi","2005",0.4
"Burundi","2010",0.4
"Burundi","2014",0.4
"Cambodia","1990",0.4
"Cambodia","1995",0.4
"Cambodia","2000",0.5
"Cambodia","2005",0.7
"Cambodia","2010",1
"Cambodia","2014",1.4
"Cameroon","1990",2.7
"Cameroon","1995",2.4
"Cameroon","2000",2.3
"Cameroon","2005",2.3
"Cameroon","2010",2.5
"Cameroon","2014",2.7
"Canada","1990",72.3
"Canada","1995",78.2
"Canada","2000",87.3
"Canada","2005",99.9
"Canada","2010",114.7
"Canada","2014",125.7
"Central African Republic","1990",1.3
"Central African Republic","1995",1.2
"Central African Republic","2000",1.1
"Central African Republic","2005",1
"Central African Republic","2010",0.9
"Central African Republic","2014",0.8
"Chile","1990",6.9
"Chile","1995",9.1
"Chile","2000",12.3
"Chile","2005",15.4
"Chile","2010",20.7
"Chile","2014",26.2
"China","1990",1.4
"China","1995",2
"China","2000",3
"China","2005",4.9
"China","2010",8.6
"China","2014",13.2
"Colombia","1990",8.1
"Colombia","1995",9
"Colombia","2000",9.5
"Colombia","2005",9.7
"Colombia","2010",11.5
"Colombia","2014",14
"Congo","1990",6.5
"Congo","1995",6.9
"Congo","2000",6.5
"Congo","2005",6.2
"Congo","2010",7.3
"Congo","2014",10
"Congo, Dem. Rep.","1990",1.4
"Congo, Dem. Rep.","1995",1.1
"Congo, Dem. Rep.","2000",0.9
"Congo, Dem. Rep.","2005",0.7
"Congo, Dem. Rep.","2010",0.7
"Congo, Dem. Rep.","2014",0.7
"Costa Rica","1990",7.3
"Costa Rica","1995",8.1
"Costa Rica","2000",9.3
"Costa Rica","2005",10.8
"Costa Rica","2010",13.2
"Costa Rica","2014",15.8
"Cote d'Ivoire","1990",12.1
"Cote d'Ivoire","1995",10.2
