"country","year","value"
"Afghanistan","1961",2463830
"Afghanistan","1962",2491840
"Afghanistan","1963",2521290
"Afghanistan","1964",2552180
"Afghanistan","1965",2584500
"Afghanistan","1966",2618260
"Afghanistan","1967",2652020
"Afghanistan","1968",2687940
"Afghanistan","1969",2726730
"Afghanistan","1970",2770550
"Afghanistan","1971",2817240
"Afghanistan","1972",2865360
"Afghanistan","1973",2913490
"Afghanistan","1974",2956590
"Afghanistan","1975",2993230
"Afghanistan","1976",3024110
"Afghanistan","1977",3047820
"Afghanistan","1978",3058590
"Afghanistan","1979",3045660
"Afghanistan","1980",3004000
"Afghanistan","1981",2937000
"Afghanistan","1982",2845000
"Afghanistan","1983",2740000
"Afghanistan","1984",2637000
"Afghanistan","1985",2549000
"Afghanistan","1986",2476000
"Afghanistan","1987",2419000
"Afghanistan","1988",2394000
"Afghanistan","1989",2421000
"Afghanistan","1990",2513000
"Afghanistan","1991",2672000
"Afghanistan","1992",2894000
"Afghanistan","1993",3146000
"Afghanistan","1994",3382000
"Afghanistan","1995",3573000
"Afghanistan","1996",3706000
"Afghanistan","1997",3792000
"Afghanistan","1998",3852000
"Afghanistan","1999",3919000
"Afghanistan","2000",4013000
"Afghanistan","2001",4140000
"Afghanistan","2002",4291000
"Afghanistan","2003",4457000
"Afghanistan","2004",4623000
"Afghanistan","2005",4778000
"Afghanistan","2006",4920000
"Afghanistan","2007",5062000
"Afghanistan","2008",5185000
"Afghanistan","2009",5307000
"Afghanistan","2010",5431000
"Afghanistan","2011",5557000
"Afghanistan","2012",5684000
"Afghanistan","2013",5809000
"Afghanistan","2014",5931000
"Albania","1961",574930
"Albania","1962",585990
"Albania","1963",595940
"Albania","1964",605890
"Albania","1965",614740
"Albania","1966",624690
"Albania","1967",633530
"Albania","1968",642380
"Albania","1969",650120
"Albania","1970",657860
"Albania","1971",670020
"Albania","1972",681080
"Albania","1973",692130
"Albania","1974",703190
"Albania","1975",713140
"Albania","1976",724200
"Albania","1977",734150
"Albania","1978",744100
"Albania","1979",754050
"Albania","1980",764000
"Albania","1981",779000
"Albania","1982",795000
"Albania","1983",808000
"Albania","1984",823000
"Albania","1985",845000
"Albania","1986",866000
"Albania","1987",899000
"Albania","1988",931000
"Albania","1989",938000
"Albania","1990",965000
"Albania","1991",774000
"Albania","1992",759000
"Albania","1993",747000
"Albania","1994",735000
"Albania","1995",721000
"Albania","1996",709000
"Albania","1997",693000
"Albania","1998",684000
"Albania","1999",675000
"Albania","2000",668000
"Albania","2001",661000
"Albania","2002",657000
"Albania","2003",653000
"Albania","2004",648000
"Albania","2005",641000
"Albania","2006",633000
"Albania","2007",628000
"Albania","2008",619000
"Albania","2009",611000
"Albania","2010",604000
"Albania","2011",598000
"Albania","2012",592000
"Albania","2013",587000
"Albania","2014",581000
"Algeria","1961",2189580
"Algeria","1962",2143130
"Algeria","1963",2098580
"Algeria","1964",2054980
"Algeria","1965",2014220
"Algeria","1966",1976310
"Algeria","1967",1942190
"Algeria","1968",1909960
"Algeria","1969",1880570
"Algeria","1970",1853090
"Algeria","1971",1845500
"Algeria","1972",1836970
"Algeria","1973",1827490
"Algeria","1974",1817070
"Algeria","1975",1803800
"Algeria","1976",1788630
"Algeria","1977",1769670
"Algeria","1978",1746920
"Algeria","1979",1721330
"Algeria","1980",1691000
"Algeria","1981",1712000
"Algeria","1982",1726000
"Algeria","1983",1739000
"Algeria","1984",1751000
"Algeria","1985",1764000
"Algeria","1986",1809000
"Algeria","1987",1855000
"Algeria","1988",1899000
"Algeria","1989",1937000
"Algeria","1990",1978000
"Algeria","1991",2070000
"Algeria","1992",2154000
"Algeria","1993",2246000
