"country","year","value"
"Albania",2007,358000
"Albania",2008,501000
"Albania",2009,511000
"Albania",2010,491000
"Albania",2011,526000
"Albania",2012,521000
"Albania",2013,451000
"Albania",2014,443000
"Albania",2015,448000
"Albania",2017,457000
"Algeria",2001,1312000
"Algeria",2003,1412000
"Algeria",2004,1616000
"Algeria",2011,1034000
"Algeria",2013,1141000
"Algeria",2014,899000
"Algeria",2017,1102000
"Angola",1992,25000
"Angola",2010,3061000
"Angola",2011,3430000
"Angola",2014,2403000
"Anguilla",1999,0
"Argentina",2010,508000
"Argentina",2011,457000
"Argentina",2012,477000
"Argentina",2013,393000
"Argentina",2014,319000
"Argentina",1982,5000
"Argentina",1983,10000
"Argentina",1984,10000
"Argentina",1990,15000
"Argentina",1991,15000
"Argentina",1992,18000
"Argentina",1993,21000
"Argentina",1994,20000
"Argentina",1995,26000
"Argentina",1996,56000
"Argentina",1997,62000
"Argentina",1998,63000
"Argentina",1999,62000
"Argentina",2000,55000
"Argentina",2001,68000
"Argentina",2002,78000
"Argentina",2003,124000
"Argentina",2004,138000
"Argentina",2005,122000
"Argentina",2006,104000
"Argentina",2008,122000
"Argentina",2009,127000
"Argentina",2010,133000
"Argentina",2011,68000
"Argentina",2012,66000
"Argentina",2013,67000
"Argentina",2014,60000
"Argentina",2017,7000
"Armenia",2007,434000
"Armenia",2014,395000
"Armenia",2015,379000
"Armenia",2016,338000
"Armenia",2017,317000
"Aruba",1994,0
"Aruba",1997,0
"Aruba",2007,0
"Aruba",2011,0
"Australia",1969,415000
"Australia",1970,434000
"Australia",1971,413000
"Australia",1972,442000
"Australia",1973,426000
"Australia",1974,405000
"Australia",1975,398000
"Australia",1976,385000
"Australia",1977,4e+05
"Australia",1978,375000
"Australia",1979,399000
"Australia",1980,407000
"Australia",1981,416000
"Australia",1982,412000
"Australia",1983,416000
"Australia",1984,403000
"Australia",1985,412000
"Australia",1986,424000
"Australia",1987,411000
"Australia",1988,431000
"Australia",1989,425000
"Australia",1990,436000
"Australia",1991,419000
"Australia",1992,402000
"Australia",1993,406000
"Australia",1994,401000
"Australia",1995,406000
"Australia",1996,416000
"Australia",1997,427000
"Australia",1998,418000
"Australia",1999,429000
"Australia",2000,430000
"Australia",2001,427000
"Australia",2002,402000
"Australia",2003,367000
"Australia",2004,356000
"Australia",2005,353000
"Australia",2006,351000
"Australia",2007,353000
"Australia",2008,359000
"Australia",2009,348000
"Australia",2010,355000
"Australia",2011,315000
"Australia",2012,317000
"Australia",2013,299000
"Australia",2014,323000
"Australia",2015,311000
"Australia",2016,314000
"Australia",2017,319000
"Austria",1995,270000
"Austria",1996,269000
"Austria",1997,249000
"Austria",1998,235000
"Austria",1999,229000
"Austria",2000,223000
"Austria",2001,215000
"Austria",2002,211000
"Austria",2003,206000
"Austria",2004,176000
"Austria",2005,198000
"Austria",2006,201000
"Austria",2007,217000
"Austria",2008,210000
"Austria",2009,212000
"Austria",2010,209000
"Austria",2011,2e+05
"Austria",2012,191000
"Austria",2013,188000
"Austria",2014,199000
"Austria",2015,188000
"Austria",2016,184000
"Austria",2017,167000
"Austria",1983,313000
"Austria",1984,304000
"Austria",1985,291000
"Austria",1986,283000
"Austria",1987,285000
"Austria",1988,270000
"Austria",1989,266000
"Austria",1990,269000
"Austria",1991,256000
"Austria",1992,250000
"Austria",1993,247000
"Austria",1994,269000
"Azerbaijan",2003,1290000
"Azerbaijan",2006,1576000
"Azerbaijan",2007,1547000
"Azerbaijan",2008,1606000
"Azerbaijan",2009,1629000
"Azerbaijan",2010,1655000
"Azerbaijan",2011,1657000
"Azerbaijan",2012,1674000
"Azerbaijan",2013,1677000
"Azerbaijan",2014,1692000
"Azerbaijan",2015,1698000
"Azerbaijan",2016,1730000
"Azerbaijan",2017,1753000
"Bahamas",1973,7000
"Bahamas",1975,5000
"Bahamas",1977,4000
"Bahamas",1979,1000
"Bahamas",1986,5000
"Bahamas",1989,5000
"Bahamas",1991,6000
"Bahamas",1992,6000
"Bahamas",1993,6000
"Bahamas",1994,7000
"Bahamas",1995,6000
"Bahamas",1996,6000
"Bahamas",1997,5000
"Bahamas",1998,5000
"Bahamas",1999,6000
"Bahamas",2001,6000
"Bahamas",2002,6000
"Bahamas",2003,5000
"Bahamas",2004,7000
"Bahamas",2005,6000
"Bahamas",2006,4000
"Bahamas",2007,4000
"Bahamas",2008,5000
"Bahamas",2009,5000
"Bahamas",2011,6000
"Bangladesh",1984,16448000
"Bangladesh",1985,16712000
