"country","year","value"
"Afghanistan","1990",12
"Afghanistan","1995",12
"Afghanistan","2000",12
"Afghanistan","2005",12
"Afghanistan","2010",12
"Afghanistan","2014",12
"Albania","1990",20
"Albania","1995",19
"Albania","2000",19
"Albania","2005",19
"Albania","2010",19
"Albania","2014",19
"Algeria","1990",619
"Algeria","1995",577
"Algeria","2000",530
"Algeria","2005",475
"Algeria","2010",413
"Algeria","2014",366
"Argentina","1990",867
"Argentina","1995",848
"Argentina","2000",825
"Argentina","2005",819
"Argentina","2010",820
"Argentina","2014",799
"Armenia","1990",3
"Armenia","1995",3
"Armenia","2000",2
"Armenia","2005",2
"Armenia","2010",5
"Armenia","2014",5
"Australia","1990",3341
"Australia","1995",3302
"Australia","2000",3247
"Australia","2005",3175
"Australia","2010",3034
"Australia","2014",2907
"Austria","1990",58
"Austria","1995",59
"Austria","2000",61
"Austria","2005",61
"Austria","2010",60
"Austria","2014",57
"Bahrain","1990",8
"Bahrain","1995",6
"Bahrain","2000",5
"Bahrain","2005",4
"Bahrain","2010",3
"Bahrain","2014",2
"Bangladesh","1990",62
"Bangladesh","1995",58
"Bangladesh","2000",56
"Bangladesh","2005",54
"Bangladesh","2010",54
"Bangladesh","2014",51
"Barbados","1990",1
"Barbados","1995",1
"Barbados","2000",1
"Barbados","2005",1
"Barbados","2010",1
"Barbados","2014",0
"Belgium","1990",4
"Belgium","1995",5
"Belgium","2000",6
"Belgium","2005",6
"Belgium","2010",7
"Belgium","2014",6
"Belize","1990",14
"Belize","1995",14
"Belize","2000",13
"Belize","2005",13
"Belize","2010",13
"Belize","2014",13
"Benin","1990",38
"Benin","1995",36
"Benin","2000",33
"Benin","2005",32
"Benin","2010",30
"Benin","2014",30
"Bolivia","1990",737
"Bolivia","1995",724
"Bolivia","2000",710
"Bolivia","2005",694
"Bolivia","2010",676
"Bolivia","2014",659
"Botswana","1990",67
"Botswana","1995",64
"Botswana","2000",61
"Botswana","2005",59
"Botswana","2010",56
"Botswana","2014",54
"Brazil","1990",7543
"Brazil","1995",7382
"Brazil","2000",7198
"Brazil","2005",7037
"Brazil","2010",6840
"Brazil","2014",6786
"Bulgaria","1990",82
"Bulgaria","1995",80
"Bulgaria","2000",78
"Bulgaria","2005",78
"Bulgaria","2010",79
"Bulgaria","2014",56
"Burundi","1990",5
"Burundi","1995",5
"Burundi","2000",4
"Burundi","2005",4
"Burundi","2010",4
"Burundi","2014",4
"Cambodia","1990",248
"Cambodia","1995",233
"Cambodia","2000",217
"Cambodia","2005",201
"Cambodia","2010",189
"Cambodia","2014",180
"Cameroon","1990",246
"Cameroon","1995",233
"Cameroon","2000",220
"Cameroon","2005",208
"Cameroon","2010",200
"Cameroon","2014",53
"Canada","1990",5516
"Canada","1995",5436
"Canada","2000",5348
"Canada","2005",5247
"Canada","2010",5143
"Canada","2014",4103
"Central African Republic","1990",211
"Central African Republic","1995",209
"Central African Republic","2000",208
"Central African Republic","2005",207
"Central African Republic","2010",205
"Central African Republic","2014",205
"Chile","1990",351
"Chile","1995",338
"Chile","2000",327
"Chile","2005",323
"Chile","2010",310
"Chile","2014",305
"China","1990",9552
"China","1995",9417
"China","2000",9094
"China","2005",8640
"China","2010",8247
"China","2014",7882
"Colombia","1990",997
"Colombia","1995",970
"Colombia","2000",946
"Colombia","2005",909
"Colombia","2010",878
"Colombia","2014",308
"Congo","1990",301
"Congo","1995",297
"Congo","2000",291
"Congo","2005",285
"Congo","2010",282
"Congo","2014",277
"Congo, Dem. Rep.","1990",1320
"Congo, Dem. Rep.","1995",1307
"Congo, Dem. Rep.","2000",1294
"Congo, Dem. Rep.","2005",1281
"Congo, Dem. Rep.","2010",1268
"Congo, Dem. Rep.","2014",1258
"Costa Rica","1990",52
"Costa Rica","1995",48
"Costa Rica","2000",45
"Costa Rica","2005",46
"Costa Rica","2010",47
"Costa Rica","2014",62
"Cote d'Ivoire","1990",62
"Cote d'Ivoire","1995",73
"Cote d'Ivoire","2000",84
"Cote d'Ivoire","2005",84
"Cote d'Ivoire","2010",84
"Cote d'Ivoire","2014",83
"Croatia","1990",23
"Croatia","1995",25
"Croatia","2000",25
"Croatia","2005",26
"Croatia","2010",26
"Croatia","2014",25
"Cuba","1990",31
"Cuba","1995",33
"Cuba","2000",35
"Cuba","2005",36
"Cuba","2010",35
"Cuba","2014",33
"Cyprus","1990",1
"Cyprus","1995",1
"Cyprus","2000",1
"Cyprus","2005",1
"Cyprus","2010",1
"Cyprus","2014",1
"Czech Republic","1990",81
"Czech Republic","1995",77
"Czech Republic","2000",71
"Czech Republic","2005",66
"Czech Republic","2010",61
"Czech Republic","2014",57
"Denmark","1990",77
"Denmark","1995",69
"Denmark","2000",60
"Denmark","2005",49
"Denmark","2010",41
"Denmark","2014",34
"Dominican Republic","1990",37
"Dominican Republic","1995",37
"Dominican Republic","2000",36
"Dominican Republic","2005",35
"Dominican Republic","2010",35
"Dominican Republic","2014",34
"Ecuador","1990",335
"Ecuador","1995",319
"Ecuador","2000",301
"Ecuador","2005",283
"Ecuador","2010",264
"Ecuador","2014",263
"Egypt","1990",219
"Egypt","1995",199
"Egypt","2000",176
"Egypt","2005",156
"Egypt","2010",135
"Egypt","2014",117
"El Salvador","1990",9
"El Salvador","1995",9
"El Salvador","2000",9
"El Salvador","2005",9
"El Salvador","2010",9
"El Salvador","2014",9
"Estonia","1990",20
"Estonia","1995",15
"Estonia","2000",10
"Estonia","2005",22
"Estonia","2010",21
"Estonia","2014",21
"Fiji","1990",8
"Fiji","1995",8
"Fiji","2000",8
"Fiji","2005",8
"Fiji","2010",8
"Fiji","2014",8
"Finland","1990",166
"Finland","1995",169
"Finland","2000",171
"Finland","2005",166
"Finland","2010",161
"Finland","2014",155
"France","1990",276
"France","1995",276
"France","2000",277
"France","2005",279
"France","2010",278
"France","2014",275
"Gabon","1990",1123
"Gabon","1995",1117
"Gabon","2000",1109
"Gabon","2005",1103
"Gabon","2010",1098
"Gabon","2014",1098
"Gambia","1990",5
"Gambia","1995",5
"Gambia","2000",5
"Gambia","2005",4
"Gambia","2010",4
"Gambia","2014",4
"Germany","1990",1633
"Germany","1995",1574
"Germany","2000",1528
"Germany","2005",1485
"Germany","2010",1442
"Germany","2014",1413
"Ghana","1990",78
"Ghana","1995",74
"Ghana","2000",71
"Ghana","2005",66
"Ghana","2010",62
"Ghana","2014",79
"Greece","1990",249
"Greece","1995",243
"Greece","2000",228
"Greece","2005",219
"Greece","2010",212
"Greece","2014",204
"Guatemala","1990",109
"Guatemala","1995",103
"Guatemala","2000",95
"Guatemala","2005",89
"Guatemala","2010",81
"Guatemala","2014",86
"Guyana","1990",203
"Guyana","1995",203
"Guyana","2000",202
"Guyana","2005",202
"Guyana","2010",202
"Guyana","2014",233
"Haiti","1990",8
"Haiti","1995",7
"Haiti","2000",7
"Haiti","2005",6
"Haiti","2010",5
"Haiti","2014",5
"Honduras","1990",107
"Honduras","1995",97
"Honduras","2000",85
"Honduras","2005",78
"Honduras","2010",71
"Honduras","2014",65
"Hungary","1990",69
"Hungary","1995",66
"Hungary","2000",63
"Hungary","2005",61
"Hungary","2010",58
"Hungary","2014",57
"Iceland","1990",106
