"country","year","value"
"Afghanistan","1990",25
"Afghanistan","1995",25
"Afghanistan","2000",24
"Afghanistan","2005",24
"Afghanistan","2010",28
"Afghanistan","2014",31
"Albania","1990",25
"Albania","1995",23
"Albania","2000",24
"Albania","2005",31
"Albania","2010",41
"Albania","2014",47
"Algeria","1990",280
"Algeria","1995",293
"Algeria","2000",309
"Algeria","2005",346
"Algeria","2010",421
"Algeria","2014",512
"Argentina","1990",488
"Argentina","1995",533
"Argentina","2000",608
"Argentina","2005",634
"Argentina","2010",770
"Argentina","2014",915
"Armenia","1990",15
"Armenia","1995",15
"Armenia","2000",14
"Armenia","2005",16
"Armenia","2010",23
"Armenia","2014",25
"Australia","1990",1333
"Australia","1995",1557
"Australia","2000",1900
"Australia","2005",2397
"Australia","2010",3105
"Australia","2014",3755
"Austria","1990",805
"Austria","1995",937
"Austria","2000",1077
"Austria","2005",1210
"Austria","2010",1330
"Austria","2014",1418
"Bahrain","1990",25
"Bahrain","1995",30
"Bahrain","2000",34
"Bahrain","2005",42
"Bahrain","2010",65
"Bahrain","2014",74
"Bangladesh","1990",53
"Bangladesh","1995",66
"Bangladesh","2000",91
"Bangladesh","2005",130
"Bangladesh","2010",190
"Bangladesh","2014",259
"Barbados","1990",10
"Barbados","1995",10
"Barbados","2000",11
"Barbados","2005",12
"Barbados","2010",13
"Barbados","2014",13
"Belgium","1990",875
"Belgium","1995",1004
"Belgium","2000",1148
"Belgium","2005",1300
"Belgium","2010",1478
"Belgium","2014",1605
"Belize","1990",1
"Belize","1995",2
"Belize","2000",2
"Belize","2005",3
"Belize","2010",3
"Belize","2014",4
"Benin","1990",9
"Benin","1995",11
"Benin","2000",12
"Benin","2005",15
"Benin","2010",18
"Benin","2014",21
"Bolivia","1990",13
"Bolivia","1995",15
"Bolivia","2000",19
"Bolivia","2005",21
"Bolivia","2010",25
"Bolivia","2014",32
"Botswana","1990",8
"Botswana","1995",13
"Botswana","2000",18
"Botswana","2005",25
"Botswana","2010",35
"Botswana","2014",47
"Brazil","1990",1899
"Brazil","1995",2068
"Brazil","2000",2316
"Brazil","2005",2506
"Brazil","2010",2904
"Brazil","2014",3435
"Bulgaria","1990",48
"Bulgaria","1995",46
"Bulgaria","2000",49
"Bulgaria","2005",66
"Bulgaria","2010",99
"Bulgaria","2014",114
"Burundi","1990",2
"Burundi","1995",2
"Burundi","2000",2
"Burundi","2005",3
"Burundi","2010",3
"Burundi","2014",5
"Cambodia","1990",4
"Cambodia","1995",4
"Cambodia","2000",6
"Cambodia","2005",9
"Cambodia","2010",15
"Cambodia","2014",21
"Cameroon","1990",32
"Cameroon","1995",34
"Cameroon","2000",36
"Cameroon","2005",42
"Cameroon","2010",51
"Cameroon","2014",61
"Canada","1990",2010
"Canada","1995",2295
"Canada","2000",2686
"Canada","2005",3227
"Canada","2010",3899
"Canada","2014",4468
"Central African Republic","1990",4
"Central African Republic","1995",4
"Central African Republic","2000",4
"Central African Republic","2005",4
"Central African Republic","2010",4
"Central African Republic","2014",4
"Chile","1990",91
"Chile","1995",129
"Chile","2000",186
"Chile","2005",248
"Chile","2010",352
"Chile","2014",465
"China","1990",1537
"China","1995",2365
"China","2000",3831
"China","2005",6445
"China","2010",11534
"China","2014",18000
"Colombia","1990",276
"Colombia","1995",338
"Colombia","2000",382
"Colombia","2005",420
"Colombia","2010",530
"Colombia","2014",669
"Congo","1990",16
"Congo","1995",19
"Congo","2000",20
"Congo","2005",22
"Congo","2010",30
"Congo","2014",45
"Congo, Dem. Rep.","1990",50
"Congo, Dem. Rep.","1995",47
"Congo, Dem. Rep.","2000",43
"Congo, Dem. Rep.","2005",40
"Congo, Dem. Rep.","2010",45
"Congo, Dem. Rep.","2014",53
"Costa Rica","1990",23
"Costa Rica","1995",29
"Costa Rica","2000",37
"Costa Rica","2005",46
"Costa Rica","2010",60
"Costa Rica","2014",75
"Cote d'Ivoire","1990",147
"Cote d'Ivoire","1995",146
"Cote d'Ivoire","2000",160
"Cote d'Ivoire","2005",138
"Cote d'Ivoire","2010",121
"Cote d'Ivoire","2014",102
"Croatia","1990",94
"Croatia","1995",95
"Croatia","2000",110
"Croatia","2005",135
"Croatia","2010",170
"Croatia","2014",183
"Cuba","1990",111
"Cuba","1995",106
"Cuba","2000",101
"Cuba","2005",97
"Cuba","2010",106
"Cuba","2014",113
"Cyprus","1990",40
"Cyprus","1995",48
"Cyprus","2000",54
"Cyprus","2005",61
"Cyprus","2010",73
"Cyprus","2014",74
"Czech Republic","1990",383
"Czech Republic","1995",418
"Czech Republic","2000",483
"Czech Republic","2005",558
"Czech Republic","2010",659
"Czech Republic","2014",719
"Denmark","1990",519
"Denmark","1995",583
"Denmark","2000",693
"Denmark","2005",809
"Denmark","2010",933
"Denmark","2014",997
"Dominican Republic","1990",47
"Dominican Republic","1995",58
"Dominican Republic","2000",84
"Dominican Republic","2005",107
"Dominican Republic","2010",140
"Dominican Republic","2014",164
"Ecuador","1990",88
"Ecuador","1995",99
"Ecuador","2000",106
"Ecuador","2005",121
"Ecuador","2010",145
"Ecuador","2014",180
"Egypt","1990",95
"Egypt","1995",117
"Egypt","2000",150
"Egypt","2005",188
"Egypt","2010",260
"Egypt","2014",307
"El Salvador","1990",24
"El Salvador","1995",28
"El Salvador","2000",33
"El Salvador","2005",39
"El Salvador","2010",45
"El Salvador","2014",49
"Estonia","1990",31
"Estonia","1995",31
"Estonia","2000",35
"Estonia","2005",46
"Estonia","2010",59
"Estonia","2014",68
"Fiji","1990",6
"Fiji","1995",6
"Fiji","2000",7
"Fiji","2005",8
"Fiji","2010",9
"Fiji","2014",10
"Finland","1990",539
"Finland","1995",570
"Finland","2000",639
"Finland","2005",727
"Finland","2010",818
"Finland","2014",868
"France","1990",5152
"France","1995",5829
"France","2000",6548
"France","2005",7452
"France","2010",8404
"France","2014",9019
"Gabon","1990",42
"Gabon","1995",42
"Gabon","2000",45
"Gabon","2005",47
"Gabon","2010",50
"Gabon","2014",55
"Gambia","1990",1
"Gambia","1995",1
"Gambia","2000",1
"Gambia","2005",2
"Gambia","2010",2
"Gambia","2014",3
"Germany","1990",7209
"Germany","1995",8321
"Germany","2000",9384
"Germany","2005",10196
"Germany","2010",11045
"Germany","2014",11749
"Ghana","1990",30
"Ghana","1995",32
"Ghana","2000",36
"Ghana","2005",43
"Ghana","2010",59
"Ghana","2014",84
"Greece","1990",579
"Greece","1995",616
"Greece","2000",693
"Greece","2005",812
"Greece","2010",940
"Greece","2014",906
"Guatemala","1990",42
"Guatemala","1995",48
"Guatemala","2000",59
"Guatemala","2005",70
"Guatemala","2010",82
"Guatemala","2014",90
"Guyana","1990",3
"Guyana","1995",4
"Guyana","2000",5
"Guyana","2005",5
"Guyana","2010",6
"Guyana","2014",7
"Haiti","1990",8
"Haiti","1995",9
"Haiti","2000",11
"Haiti","2005",15
"Haiti","2010",17
"Haiti","2014",20
"Honduras","1990",16
"Honduras","1995",20
"Honduras","2000",26
"Honduras","2005",31
"Honduras","2010",39
"Honduras","2014",43
"Hungary","1990",288
"Hungary","1995",301
"Hungary","2000",332
"Hungary","2005",385
"Hungary","2010",437
"Hungary","2014",462
"Iceland","1990",31
"Iceland","1995",34
"Iceland","2000",40
"Iceland","2005",49
"Iceland","2010",58
"Iceland","2014",59
"India","1990",867
"India","1995",1141
"India","2000",1557
"India","2005",2241
"India","2010",3618
"India","2014",5049
"Indonesia","1990",310
"Indonesia","1995",485
"Indonesia","2000",660
"Indonesia","2005",811
"Indonesia","2010",1056
"Indonesia","2014",1343
"Iran","1990",558
"Iran","1995",599
"Iran","2000",652
"Iran","2005",793
"Iran","2010",989
"Iran","2014",1096
"Iraq","1990",60
"Iraq","1995",54
"Iraq","2000",48
"Iraq","2005",56
"Iraq","2010",77
"Iraq","2014",112
"Ireland","1990",285
"Ireland","1995",320
"Ireland","2000",419
"Ireland","2005",580
"Ireland","2010",736
"Ireland","2014",799
"Israel","1990",203
"Israel","1995",270
"Israel","2000",349
"Israel","2005",404
"Israel","2010",475
"Israel","2014",557
"Italy","1990",4493
"Italy","1995",5021
"Italy","2000",5594
"Italy","2005",6326
"Italy","2010",6941
"Italy","2014",7072
"Jamaica","1990",34
"Jamaica","1995",40
"Jamaica","2000",44
"Jamaica","2005",49
"Jamaica","2010",53
"Jamaica","2014",54
"Japan","1990",13360
"Japan","1995",16115
"Japan","2000",18265
"Japan","2005",19606
"Japan","2010",20452
"Japan","2014",20939
"Jordan","1990",26
"Jordan","1995",32
"Jordan","2000",37
"Jordan","2005",43
"Jordan","2010",55
"Jordan","2014",65
"Kazakhstan","1990",259
"Kazakhstan","1995",284
"Kazakhstan","2000",260
"Kazakhstan","2005",265
"Kazakhstan","2010",327
"Kazakhstan","2014",386
"Kenya","1990",34
"Kenya","1995",38
"Kenya","2000",44
"Kenya","2005",51
"Kenya","2010",69
"Kenya","2014",90
"Korea, Rep.","1990",875
"Korea, Rep.","1995",1562
"Korea, Rep.","2000",2297
"Korea, Rep.","2005",3081
"Korea, Rep.","2010",3906
"Korea, Rep.","2014",4548
"Kuwait","1990",86
"Kuwait","1995",95
"Kuwait","2000",107
"Kuwait","2005",127
"Kuwait","2010",192
"Kuwait","2014",248
"Kyrgyz Republic","1990",9
"Kyrgyz Republic","1995",9
"Kyrgyz Republic","2000",9
"Kyrgyz Republic","2005",9
"Kyrgyz Republic","2010",11
"Kyrgyz Republic","2014",13
"Laos","1990",2
"Laos","1995",3
"Laos","2000",5
"Laos","2005",7
"Laos","2010",13
"Laos","2014",20
"Latvia","1990",33
"Latvia","1995",32
"Latvia","2000",35
"Latvia","2005",47
"Latvia","2010",64
"Latvia","2014",73
"Lesotho","1990",4
"Lesotho","1995",5
"Lesotho","2000",7
"Lesotho","2005",7
"Lesotho","2010",8
"Lesotho","2014",9
"Liberia","1990",3
"Liberia","1995",3
"Liberia","2000",3
"Liberia","2005",2
"Liberia","2010",3
"Liberia","2014",4
"Lithuania","1990",67
"Lithuania","1995",67
"Lithuania","2000",70
"Lithuania","2005",79
"Lithuania","2010",97
"Lithuania","2014",108
"Luxembourg","1990",49
"Luxembourg","1995",60
"Luxembourg","2000",76
"Luxembourg","2005",96
"Luxembourg","2010",118
"Luxembourg","2014",136
"Malawi","1990",7
"Malawi","1995",7
"Malawi","2000",7
"Malawi","2005",8
"Malawi","2010",10
"Malawi","2014",11
"Malaysia","1990",134
"Malaysia","1995",234
"Malaysia","2000",337
"Malaysia","2005",413
"Malaysia","2010",512
"Malaysia","2014",638
"Maldives","1990",1
"Maldives","1995",1
"Maldives","2000",1
"Maldives","2005",2
"Maldives","2010",4
"Maldives","2014",5
"Mali","1990",6
"Mali","1995",7
"Mali","2000",9
"Mali","2005",11
"Mali","2010",14
"Mali","2014",16
"Malta","1990",7
"Malta","1995",9
"Malta","2000",12
"Malta","2005",15
"Malta","2010",19
"Malta","2014",21
"Mauritania","1990",5
"Mauritania","1995",5
