"country","year","value"
"Albania",1993,121
"Albania",1994,201
"Albania",1995,251
"Algeria",1990,9918
"Algeria",1991,13549
"Algeria",1992,6041
"Algeria",1993,5529
"Algeria",1994,6347
"Algeria",1995,11812
"Algeria",1996,2762
"Algeria",1997,2261
"Algeria",1998,1031
"Algeria",1999,2708
"Algeria",2004,10320.14
"Algeria",2005,7297.65
"Algeria",2006,7116.94
"Algeria",2007,10346.79
"Algeria",2008,17860.15
"Algeria",2009,8271.56
"Algeria",2010,3977.45
"Algeria",2011,22481
"Algeria",2012,27114
"Algeria",2013,25841
"Algeria",2014,21999
"Angola",1990,64
"Angola",1991,79
"Angola",1992,23
"Angola",1993,169
"Angola",1994,25.5
"Angola",1995,336
"Angola",1996,40
"Antigua and Barbuda",2010,7.52
"Antigua and Barbuda",2011,39.26
"Antigua and Barbuda",2012,31.5
"Antigua and Barbuda",2013,28.3
"Antigua and Barbuda",2015,26.64
"Argentina",1993,26156
"Argentina",1994,30195
"Argentina",1995,37842
"Argentina",1996,54595
"Argentina",1997,77691
"Argentina",1998,62397
"Argentina",2006,177641
"Argentina",2007,221705
"Argentina",2008,237027
"Argentina",2009,165954
"Argentina",2010,282725
"Argentina",2011,266054
"Argentina",2014,207706
"Armenia",1993,8
"Armenia",1994,23
"Armenia",1995,23.9
"Armenia",1996,32
"Armenia",2003,98.23
"Armenia",2004,204.77
"Armenia",2005,220.51
"Armenia",2006,227.55
"Armenia",2007,241.71
"Armenia",2008,218.2
"Armenia",2009,198.36
"Armenia",2010,278.72
"Australia",1990,17866
"Australia",1991,17866
"Australia",1992,22234
"Australia",1993,23899
"Australia",1994,21057
"Australia",1995,25598
"Australia",1996,31185
"Australia",1997,34091
"Australia",1998,37215
"Australia",1999,34200
"Australia",2000,33475
"Australia",2001,32710
"Australia",2002,26651
"Australia",2003,32418
"Australia",2004,36276
"Australia",2005,34310
"Australia",2006,35900
"Austria",1990,4246
"Austria",1991,4487
"Austria",1992,3897
"Austria",1993,3984
"Austria",1994,3619
"Austria",1995,3402
"Austria",1996,3565
"Austria",1997,3689.6
"Austria",1998,3340.3
"Austria",1999,3418.6
"Austria",2000,3563.2
"Austria",2001,3132.2
"Austria",2002,3079.2
"Austria",2003,3384.9
"Austria",2004,3301.7
"Austria",2005,3404
"Austria",2006,3415.7
"Austria",2007,3526.6
"Austria",2008,4246.7
"Austria",2009,3531.8
"Austria",2010,3692.4
"Austria",2011,3441.5
"Austria",2012,3563.3
"Austria",2013,3108.6
"Austria",2014,3380.7
"Austria",2015,3777.6
"Azerbaijan",2007,148.68
"Azerbaijan",2008,262.99
"Azerbaijan",2009,316.18
"Azerbaijan",2010,333.85
"Azerbaijan",2011,461.65
"Azerbaijan",2012,516.35
"Azerbaijan",2013,489.8
"Azerbaijan",2014,531.84
"Bahamas",2000,1184.89
"Bahamas",2001,918.78
"Bahamas",2002,937.91
"Bahamas",2003,803.18
"Bahamas",2004,722.52
"Bahamas",2005,859.11
"Bahamas",2006,753.68
"Bahrain",1993,14.05
"Bahrain",1994,30.86
"Bahrain",1995,12.46
"Bahrain",1996,12.16
"Bahrain",1997,9.42
"Bahrain",1998,11.15
"Bahrain",1999,12.5
"Bahrain",2000,8.65
"Bahrain",2001,9.2
"Bahrain",2002,0.91
"Bahrain",2003,6.03
"Bahrain",2004,12.24
"Bahrain",2005,12.75
"Bahrain",2006,12.12
"Bahrain",2007,16.25
"Bahrain",2008,10.45
"Bahrain",2009,12.59
"Bahrain",2010,9.84
"Bahrain",2011,9.14
"Bangladesh",1990,1266
"Bangladesh",1991,1287
"Bangladesh",1992,1453
"Bangladesh",1993,1487
"Bangladesh",1995,1702
"Bangladesh",1996,1919
"Bangladesh",1997,2035
"Bangladesh",1998,2068
"Bangladesh",1999,2532
"Bangladesh",2000,3170
"Bangladesh",2001,13399.79
"Bangladesh",2002,11560.34
"Bangladesh",2003,13827.31
"Bangladesh",2004,17678.68
"Bangladesh",2005,19905.42
"Bangladesh",2006,23274.33
"Bangladesh",2007,28861.85
"Bangladesh",2008,34068.3
"Bangladesh",2009,13790.09
"Bangladesh",2010,13283.72
"Bangladesh",2011,14798.28
"Bangladesh",2012,13289.18
"Bangladesh",2013,15330.16
"Bangladesh",2014,15857.26
"Barbados",1993,550
"Barbados",1994,514
"Barbados",1995,664
"Barbados",1996,475
"Barbados",1997,168.46
"Belgium",2000,9560.49
"Belgium",2001,8529.07
"Belgium",2002,9204
"Belgium",2003,8822
"Belgium",2004,9186
"Belgium",2005,9776
"Belgium",2007,6712.05
"Belgium",2008,6516.47
"Belgium",2009,5496.04
"Belgium",2010,4644.53
"Belgium",2011,5740.44
"Belgium",2012,6139.3
"Belgium",2013,5905.6
"Belgium",2014,6490.46
"Belgium-Luxembourg",1993,9074.21
"Belgium-Luxembourg",1994,8449.91
"Belgium-Luxembourg",1995,9007.08
"Belgium-Luxembourg",1996,8742.92
"Belgium-Luxembourg",1997,8306.6
"Belgium-Luxembourg",1998,9095.89
"Belgium-Luxembourg",1999,8829.62
"Belize",1990,771
"Belize",1991,696
"Belize",1992,997
"Belize",1998,1362
"Belize",1999,1362
"Belize",2000,1296
"Belize",2001,1719
"Belize",2006,770.35
"Belize",2007,674.46
"Belize",2008,984.03
"Belize",2009,788.61
"Belize",2010,700.39
"Belize",2011,826.58
"Belize",2012,638.28
"Belize",2013,1036.68
"Belize",2014,880.1
"Bhutan",1990,35.62
"Bhutan",1991,31.76
"Bhutan",1992,21.2
"Bhutan",1993,18.24
"Bhutan",1994,78.26
"Bhutan",1995,98.34
"Bhutan",1996,111.21
"Bhutan",1997,5.76
