Common.name,Fertiliser.after2002,Fertiliser.before2002,Synthetic.fertilizers,Food.import.export,Agric.area,Arable.land,Agric.output,Agric.value,Pesticide,TFP,Price.volatility,Domestic.food.price,Per.capita.supply,Water,Agric.inputs,AOI,Agric.value.added,Government.expenditure,CPI,Prod.Food.Price,Agric.employment,Forest.area,Red.list,Agric.emissions,NFA,Obesity,Undernourishment,Population,SDI,FAO.synt.fert,ATFP.Agric.employ,OWD.Undernourishment,WB.ILO.Agric.employ,CAIT.Agric.emissions
Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,NA,Afghanistan,NA,NA,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,NA,Albania,Albania
Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria
American Samoa,NA ,NA,NA ,American Samoa,American Samoa,American Samoa,American Samoa,American Samoa,NA,NA ,NA,NA,American Samoa,NA,NA ,NA,NA,NA,NA,NA,American Samoa,American Samoa,American Samoa,American Samoa,NA,NA ,American Samoa,American Samoa,American Samoa,NA,NA,NA,American Samoa,NA
Andorra,NA ,NA,NA,Andorra,Andorra,Andorra,NA,NA,NA,NA,NA,NA,Andorra,NA,NA,NA,Andorra,NA,NA,NA,NA,Andorra,Andorra,Andorra,NA,Andorra,Andorra,Andorra,Andorra,NA,NA,NA,Andorra,Andorra
Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,NA,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
Anguilla,NA,NA,NA,NA,NA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla,NA,NA,Anguilla,Anguilla,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA ,NA,NA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,NA,Antigua and Barbuda,NA,NA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,NA,Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,NA,NA,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,NA,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,NA,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia
