Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
South Africa,65.14,69.91,70.42,70.55,77.67,83.65,86.14,89.58,91.44,94.39,96.29,99.67,101.51,104.44,106.24,108.15,107.89,109.42,110.81,112.61,120.04,117.86,111.51,113.64,110.85,107.83,102.36,105.16,104.13,102.56,100,98.42,101.18,99.09,101.24,97.96,94.53,93.38,89.84,87.35,85.83,87.22,83.49,84.88,80.45,86.41,87.15,86.67,86.06,85.15,86.84,88.05,87.5,88.09
Cameroon,49.35,49.96,53.92,52.69,54.49,58.47,60.72,63.45,65.88,70.47,71.92,69.87,71.85,74.25,75.38,76.77,83.28,85.54,86.04,92.18,91.97,90.52,91.44,90.03,97.23,100.48,97.08,99.37,99.4,99.72,100,102.14,105.3,108.48,110.3,111.7,114.53,118.77,120.69,124.8,126.94,127.9,133.07,138.14,138.18,141.78,144.56,140.68,146.36,152.59,156.67,160.03,161.95,162.51
Central African Republic,47.21,47.7,48.45,48.89,49.79,53.3,57.27,59.91,62.41,65.13,67.52,69.95,72.12,76.09,74.37,76.66,80.4,82.16,91,93.44,95.26,95.97,96.21,90.96,89.84,96.96,94.88,96.74,97.42,98.65,100,100.24,101.04,105.58,109.13,115.6,118.84,120.98,123.41,123.67,126.41,126.64,128.08,131.27,134.69,137.93,144.47,145.31,150.3,143.9,148.55,148.39,152.57,154.77
Congo,52.49,54.5,56.86,59.74,61.17,62.18,58.63,65.26,67.18,70.4,71.34,71.7,72.19,74.17,75.57,78.25,82.79,83.71,82.94,82.6,85.09,90.09,93.66,93.92,99.78,98.99,98.46,97.89,99.83,98.12,100,101.04,103.56,104.19,107.19,109.18,110.63,108.24,114.1,114.83,117.27,119.53,123.29,134.98,145.32,154.48,161.45,166.8,169.76,174.77,177.26,179.1,184.19,184.68
"Congo, DR",45.34,48.32,48.23,49.13,47.73,49.79,52.11,55.11,57.7,62.22,63.41,64.25,67.32,68.87,72.08,74,73.57,74.43,74.43,76.32,77.78,79.63,82.22,84.69,84.13,82.2,88.88,88.31,97.24,99.89,100,95.81,98.78,104.83,97.87,96.35,94.25,90.64,82.26,81.43,84.3,80.35,83.45,82.98,78.64,88.04,90.12,92.77,92.53,95.41,96.72,97.44,101.95,107.22
Equatorial Guinea,68.39,69.75,68.89,70.99,74.65,77.16,79.39,83.33,82.83,83.95,84.63,79.74,78.58,77.82,78.23,77.36,78.15,78.6,78.47,79.71,82.99,84.92,86.76,89.73,92.91,94.63,95.97,96.53,98.67,101.82,100,104.62,98.36,101.79,99.85,103.32,106.24,103.85,108.57,109.27,109.16,102.64,106.14,109.44,111.38,109.26,111.33,110.3,109.36,111.3,110.46,111.14,114.09,111.96
Gabon,38.09,40.19,41.38,42.86,44.7,46.83,47.37,49.07,49.41,51.5,52.8,54.28,59.98,61.22,62.16,66.52,71.55,75.65,76,77.19,77.27,76.66,78.09,80.41,84.5,89.15,90.97,93.75,95.48,95.65,100,103.08,103.44,101.69,101.76,105.64,107.86,108.82,109.18,110.53,109.41,109.75,110.33,109.23,110.9,111.3,110.7,112.55,114.34,116.35,118.51,118.99,123.25,121.52
Sao Tome and Principe,81.2,83.99,81.63,81.23,80.77,78.73,82.43,82.8,81.72,81.44,79.96,78.37,80.01,77.34,80.99,84.84,87.97,84.06,90.73,87.43,88.64,93.99,92.51,90.35,90.14,89.46,88.41,87.5,91.91,95.88,100,105.12,105.14,106.88,103.23,106.22,107.28,107.31,110.97,119.45,123.97,126.31,136.86,129.6,127.21,127.64,132.65,130.05,139.44,138.26,133.63,134.13,148.85,145.44
Burundi,54.35,54.92,56.58,59.37,62.77,63.98,68.09,70.03,72.39,74.68,76.19,76.64,80.52,78.24,83.64,85.69,88.61,91.01,93.2,89,83.32,84.63,85.8,84.64,87.24,94.83,94.11,96.95,95.44,96.87,100,102.57,100.99,92.38,95.99,96.59,97.51,95.12,95.43,95.24,99.06,101.41,99.43,107.65,105.87,112.08,110.51,118.35,122.77,135.19,139.67,144.96,152.29,141.53
Kenya,44.5,46.8,47.59,49.87,52.21,53.06,54.85,56.21,57.62,59.81,60.42,63.02,64.97,66.65,67.94,69.32,70.87,73.61,73.7,72.62,72.29,75.79,80.97,80.05,87.75,89.17,91.01,95.68,99.28,99.94,100,102.01,101.06,106.62,103.71,103.03,103.97,103.58,110.86,106.78,110.63,111.87,115.94,116.18,121.45,123.7,140.05,139.56,144.43,149.37,155.74,158.45,161.47,159.65
