Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
South Africa,214000,277200,270000,283300,387100,427900,472300,506800,509000,557400,617200,674300,695000,750700,780800,820000,827600,910700,964300,1063500,1235000,1133100,878100,963200,876800,832900,712100,826700,783800,785000,740100,732800,843600,752000,767000,804000,762000,791800,776700,740300,727500,838300,751500,802400,623500,786000,769000,723500,705800,674000,726000,739000,724500,758000
Cameroon,4300,3300,5300,6900,8500,12000,13200,17200,14300,20100,14600,12200,16200,16700,10700,12100,29400,33000,29600,37700,36700,29100,38700,46000,49100,45400,49800,36600,28600,21800,18100,20900,22300,30000,30000,34000,39200,39600,50000,46000,52500,35100,41100,51100,42500,41200,42900,38800,37000,40000,47200,47600,40500,42000
Central African Republic,590.85,612.91,712.29,825.51,1054.45,1216.89,1422.83,1623.88,1904.25,2210.76,2627.17,2862.63,3084.5,2836.27,2691.57,3105.11,4168.06,3902.88,3626.8,3590.27,4368.4,3497.24,3375.81,2634.13,2705.92,3057.29,2644.62,2455.78,2667.24,2290,2409.49,2583.92,2675.98,2605.89,3003.53,3633.09,3820.53,3926.25,4224.49,3749.29,3658.91,3520.6,3814.54,4124.64,4740.58,5394.16,4913.26,4980.2,5967.29,5675.84,5153.7,4890.92,6424.69,6331.98
Congo,159.44,172.25,197.67,243.45,325.22,341.33,387.78,442.7,511.4,578.18,701.52,731.4,785.87,677.63,675.26,716.42,1064.4,1009.39,853.38,776.03,996.71,833.18,942.71,864.47,1015.36,975.35,931.88,869.36,1011.7,768.56,784.45,861.48,973.01,845.1,938.01,1041.29,1083.41,999.25,1171.05,1069,1045.46,1056.56,1215.16,1311.69,1534.36,1691.16,1517.6,1548.3,1848.87,2120.53,2017.65,1982.73,2645.81,2282.72
"Congo, DR",270,907,1043,1530,1400,1900,2700,3400,4000,4700,4700,4287,6600,6700,10713,12684,8800,9000,7400,7900,7600,7451,9343,11500,6800,2420,6200,2800,7900,6200,8200,2300,4100,10404,9000,6000,4477,2954,742,800,1965,1051.3,1844,1395,454,3048,4253,6347,5413,7508,7073,4678,8506,18129
Equatorial Guinea,104.5,110.31,126.58,154.96,206.77,224.88,250.27,308.62,327.15,370.37,431.78,384.97,394.76,329.41,337.39,384.72,513.43,519.22,464.09,469.92,586.75,494.92,537.18,474.57,551.11,537,508.88,458.07,526.84,439.96,473.05,553.88,576.68,448.66,457.65,490.49,550.54,490.44,575.65,508.84,446.57,356.27,422.98,471.97,525.64,526.1,485.51,451.36,555.94,568.94,457.6,446.34,575.3,364.5
Gabon,75.2,81.39,91.66,112.82,153.56,184.86,202.01,237.8,269.89,307.88,372.68,392.82,427.83,368.04,367.8,431.95,637.39,676.52,624.73,660.22,796.88,658.08,749.84,649,749.42,755.91,721.82,699.12,806.88,690.16,748.79,831.24,863.97,744.63,725.74,851.76,924.19,934.01,992.13,903.63,854.26,873.12,1007.44,1019.61,1184.97,1275.67,1085.63,1120.73,1363.9,1623.97,1512.18,1403.66,1818.31,1333.36
Sao Tome and Principe,41.57,45.32,51.07,64.85,88.22,90.85,98.73,107.4,125.63,136.68,157.72,169.1,175.54,147.56,140.89,157.79,232.19,217.7,205.65,193.14,236.49,193.75,216.52,163.41,186.19,181.46,170.69,155.24,170.42,140.91,166.18,177.66,187.24,167.59,167.62,185.16,192.88,195.52,225.31,215.16,203.39,196.47,244.83,221.47,218.03,233.54,238.79,215.93,271.49,310.88,253.91,245.38,324.36,141.53
Burundi,637.04,655.95,801.61,1030.6,1411.96,1520.13,1703.24,1929.95,2112.76,2434.3,2858.12,2880.45,3207.5,2466.51,2769.09,3185.59,4354.27,4173.83,3842.88,4082.78,5080.16,4304.56,4765.69,3866.23,4924.26,4931.96,4754.54,4392.53,4693.33,3895.91,4578.2,5053.01,5121.43,3930.05,4630.66,5356.8,5725.25,5285.61,5503.34,5197.34,5001.42,5538.39,5518.81,6400.14,6389.2,7216.38,5548.89,6054.15,6774.11,7939.45,6826.24,7528.75,9400.46,7569.17
Kenya,10000,12100,16000,19300,24000,30700,33300,32800,42300,49500,49200,56300,50000,53700,52000,52100,51400,51000,38300,57300,72800,62700,75100,81800,102600,98400,110800,121100,106100,106700,112700,101900,100000,131000,78400,160800,134400,119100,150100,146700,161900,133300,150900,156400,156900,167500,155800,142900,154800,197000,187400,180000,294700,231200
