Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Albania,ALB,2000,6.38
Domestic food price level index,FAO-21018-6125,Albania,ALB,2001,6.41
Domestic food price level index,FAO-21018-6125,Albania,ALB,2002,6.46
Domestic food price level index,FAO-21018-6125,Albania,ALB,2003,6.59
Domestic food price level index,FAO-21018-6125,Albania,ALB,2004,6.36
Domestic food price level index,FAO-21018-6125,Albania,ALB,2005,6.24
Domestic food price level index,FAO-21018-6125,Albania,ALB,2006,6.21
Domestic food price level index,FAO-21018-6125,Albania,ALB,2007,6.15
Domestic food price level index,FAO-21018-6125,Albania,ALB,2008,6.12
Domestic food price level index,FAO-21018-6125,Albania,ALB,2009,6.14
Domestic food price level index,FAO-21018-6125,Albania,ALB,2010,6.27
Domestic food price level index,FAO-21018-6125,Albania,ALB,2011,6.31
Domestic food price level index,FAO-21018-6125,Albania,ALB,2012,6.3
Domestic food price level index,FAO-21018-6125,Albania,ALB,2013,6.48
Domestic food price level index,FAO-21018-6125,Albania,ALB,2014,6.43
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2000,4.83
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2001,4.86
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2002,4.82
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2003,4.88
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2004,4.86
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2005,4.82
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2006,4.88
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2007,4.94
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2008,4.94
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2009,4.99
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2010,5.03
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2011,5.01
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2012,5.14
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2013,5.11
Domestic food price level index,FAO-21018-6125,Algeria,DZA,2014,5.11
Domestic food price level index,FAO-21018-6125,Angola,AGO,2000,5.62
Domestic food price level index,FAO-21018-6125,Angola,AGO,2001,5.57
Domestic food price level index,FAO-21018-6125,Angola,AGO,2002,5.39
Domestic food price level index,FAO-21018-6125,Angola,AGO,2003,5.69
Domestic food price level index,FAO-21018-6125,Angola,AGO,2004,5.88
Domestic food price level index,FAO-21018-6125,Angola,AGO,2005,5.95
Domestic food price level index,FAO-21018-6125,Angola,AGO,2006,6.2
Domestic food price level index,FAO-21018-6125,Angola,AGO,2007,6.24
Domestic food price level index,FAO-21018-6125,Angola,AGO,2008,6.47
