Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,7678000,7772000,7816000,7805000,7794000,7794000,7794000,7793000,7793000,7791000,7790000,7785000,7771000,7765000
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.40336025,3.275090067,4.535568066,4.240358744,6.290993072,3.618809341,2.988067744,4.521493648,4.254972411,6.610062893,28.06564827,14.87932434,12.11645863,12.12582099
Albania,ALB,Arable land (hectares),AG.LND.ARBL.HA,578000,578000,578000,538000,584000,578000,610000,609000,626000,622000,619100,617100,615600,615100
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,97.18512111,98.93252595,100.5986159,111.5966543,85.09246575,87.16782007,75.87704918,89.38587849,97.32268371,97.13665595,92.77176547,87.47690812,87.69005848,90.32437002
Algeria,DZA,Arable land (hectares),AG.LND.ARBL.HA,7547000,7503700,7493000,7511000,7470000,7469000,7489000,7493000,7502000,7502000,7506500,7496200,7469400,7462100
Algeria,DZA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.641579436,6.001172755,25.09515548,7.429902809,13.2626506,14.96157451,8.576712512,13.98665421,19.48147161,17.48507065,19.40016119,19.66367093,24.63745013,23.36849814
American Samoa,ASM,Arable land (hectares),AG.LND.ARBL.HA,2500,3340,3300,3300,3300,3000,2960,3000,3000,3000,3000,3000,3000,3000
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Arable land (hectares),AG.LND.ARBL.HA,850,860,810,800,780,770,760,770,770,770,760,810,810,810
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Arable land (hectares),AG.LND.ARBL.HA,3100000,3300000,3300000,3300000,3300000,3400000,3400000,4000000,4100000,4700000,4700000,4900000,4900000,4900000
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.43,11.98382979,8.876048936,9.263957143,9.271632653,8.052614286
Antigua and Barbuda,ATG,Arable land (hectares),AG.LND.ARBL.HA,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,9.8475,12.53,7.95,5.475
Arab World,ARB,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,62.50111379,69.81697801,64.08598314,68.81264283,59.43072533,61.65731298,64.87866919,56.93664887,62.09016682,71.54263716,63.72655349,66.53519078,68.06866777,71.17124202
Argentina,ARG,Arable land (hectares),AG.LND.ARBL.HA,27862000,28683500,30775000,32897500,34854000,36433000,35261000,34292000,37981000,38781000,39754000,39699000,39200000,39200000
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.2339387,41.84670629,45.30911454,36.40231021,41.41125839,49.25671781,35.21496838,22.98477779,39.18080093,41.71741317,34.52643759,35.97135948,35.48790816,27.64027372
Armenia,ARM,Arable land (hectares),AG.LND.ARBL.HA,455000,455000,455000,455000,452900,452100,450400,449400,448500,449200,448400,448200,447500,446700
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.52307692,22.9978022,31.65054945,22.69230769,27.8449989,15.33289095,18.15053286,29.66622163,24.20289855,27.36865539,41.58458965,46.68966979,43.78565363,52.95448847
Aruba,ABW,Arable land (hectares),AG.LND.ARBL.HA,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,47799000,47040000,47743000,49402000,47715000,44140000,43979000,45616000,42568000,47678000,47113000,46219000,46957000,46126000
