Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,7.835266799,13.11986389,17.3358408,17.09985058,20.80067679,20.8816634,16.00906678,20.58064447,20.54160031,25.43237071,28.46417301,23.8652945,22.88171419,24.42357159,16.32412649,15.35138584,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.3695294,18.29361615,13.69184761,14.02927132,4.276023382,7.546840145,9.513260572,19.22712359,23.55999801,..
Afghanistan,AFG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,31.94702634,26.51911952,32.60326449,41.06746127,35.64949323,40.87586694,41.82833069,38.14843102,36.06464886,27.02127781,37.23807016,48.62098697,43.91323905,36.428579,35.86717967,36.06561131,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.52408118,54.67931958,40.04707097,39.1451752,17.43722277,13.6385048,14.49562375,48.45610854,56.91887522,..
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.27417545,27.17921337,26.94101531,27.3680538,21.83442721,19.36315449,20.1621389,19.62150419,19.26387716,16.24113411,19.96502337,16.42150054,16.41602395,17.07336219,17.92999944,16.60874315,17.2790863,17.70437714,10.32621761,14.49735675,14.14975106,..
Albania,ALB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.07672667,11.08539894,9.820444318,5.532591892,6.616207793,5.750397884,3.463285233,5.621865369,5.669594911,9.338585434,7.698351573,5.229415559,4.31107302,5.624207625,4.471958018,4.109861138,4.577602012,4.513193323,3.002909203,5.610236234,8.239678325,..
Algeria,DZA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,25.77836513,..,19.29854693,15.71472903,12.7373196,15.63013932,..,16.09275814,19.81681157,21.70112919,17.73769957,17.18204626,16.61248136,18.51801005,20.9550381,20.7408853,20.68934116,21.21634149,19.20045742,25.42061723,21.9484424,27.35147795,27.50475151,35.24016829,23.68783612,26.07451532,28.50745402,27.35823918,33.03614675,29.45387839,31.26866783,31.82310342,29.87436722,27.42254418,28.16683826,26.13383769,25.08158293,22.41993552,21.91208842,19.32617549,19.20437933,19.83225917,21.42498031,16.3381657,16.3002029,22.79116913,19.85224435,19.06256307,20.1031063,19.31403809,19.02723266,..
Algeria,DZA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,30.96960498,..,16.09081253,20.54700706,19.98327498,12.35276361,..,12.29658517,3.882369284,4.070764137,3.053120327,2.289471632,2.409578027,1.136448246,0.770226833,0.931555184,0.623873045,0.33879592,0.405205815,0.550602798,0.335035799,0.364621786,0.381643181,0.386809318,0.449680953,0.454700297,0.727440907,0.979174708,0.400537988,1.1797134,1.223454138,0.268184668,0.341639302,0.223124461,0.163458381,0.148606444,0.231638366,0.209587695,0.193619707,0.153082861,0.160478308,0.163018507,0.160334955,0.25740348,0.560728903,0.48843896,0.44506495,0.614279708,0.539747167,0.681904276,1.102852984,..
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.72896996,29.13137398,30.44526817,23.04603248,21.08069276,19.98601203,20.10839324,19.36370739,18.88024797,18.18226136,..,18.75581334,17.9408471,20.15049058,21.66413853,22.03834146,22.40515425,23.4639772,23.77984178,23.63197076,..,..,..
Andorra,AND,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.508495049,6.540601169,9.485408267,10.73127494,11.04027322,8.392797042,4.930022044,3.955891906,6.32259855,11.63986952,28.85890232,30.40370991,2.105570089,14.78239961,10.34936478,0.850345282,0.667680715,1.221121664,0.483717641,1.008546655,..,..,..
