Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],,Import.export,Country,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,7.835266799,13.11986389,17.3358408,17.09985058,20.80067679,20.8816634,16.00906678,20.58064447,20.54160031,25.43237071,28.46417301,23.8652945,22.88171419,24.42357159,16.32412649,15.35138584,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.3695294,18.29361615,13.69184761,14.02927132,4.276023382,7.546840145,9.513260572,19.22712359,23.55999801,,"Food import, current US$",Afghanistan,#VALUE!,#VALUE!,9088909.487,16399829.87,21496442.59,20690819.2,26624866.29,26310895.89,18250336.13,25931612.03,23417424.35,35859642.7,46681243.74,41048306.55,55602565.48,85482500.58,42605970.13,50352545.56,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,524535470.6,610354612.1,705712055.2,914007026.6,387792560.5,645587949.9,732252599.8,1484884799,1539443254
Afghanistan,AFG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,31.94702634,26.51911952,32.60326449,41.06746127,35.64949323,40.87586694,41.82833069,38.14843102,36.06464886,27.02127781,37.23807016,48.62098697,43.91323905,36.428579,35.86717967,36.06561131,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.52408118,54.67931958,40.04707097,39.1451752,17.43722277,13.6385048,14.49562375,48.45610854,56.91887522,,"Food export, current US$",Afghanistan,#VALUE!,#VALUE!,18529275.28,18563383.66,20866089.27,30389921.34,23885160.47,26978072.18,30116398.1,31281713.44,31015598.02,27021277.81,45430445.59,69528011.37,101000449.8,79050016.43,104373492.9,110360770.6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,283664704.2,220598793.7,155576463.2,147127532.4,74788771.57,70234617.32,82702461.99,276880627,339495477.2
Afghanistan,AFG,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,87000000,99000000,116000000,125000000,124000000,121000000,128000000,126000000,114000000,126000000,114000000,141000000,164000000,172000000,243000000,350000000,261000000,328000000,395000000,425000000,841000000,886000000,962000000,1064000000,1390000000,1194000000,1404000000,996000000,900000000,822000000,936400000,443000000,398000000,465000000,391000000,387000000,661000000,604000000,462000000,1012000000,1176000000,1696000000,2452000000,2101000000,2177000000,2470740000,2744190000,3022000000,3019860000,3336435000,5154250000,6515000000,9069000000,8554414000,7697178000,7722865000,6534140000,,,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,50000000,53000000,58000000,70000000,64000000,74000000,67000000,66000000,72000000,82000000,86000000,100000000,122000000,143000000,230000000,217000000,291000000,306000000,321000000,474000000,670000000,694000000,708000000,729000000,633000000,567000000,552000000,512000000,395000000,236000000,235100000,189000000,181000000,688000000,105000000,166060000,128260000,144370000,159220000,166240000,137310000,68000000,100000000,144000000,305000000,384000000,416000000,454000000,540066000,403441000,388484000,375851000,428903000,514973000,570534000,571405000,596455000,,,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.27417545,27.17921337,26.94101531,27.3680538,21.83442721,19.36315449,20.1621389,19.62150419,19.26387716,16.24113411,19.96502337,16.42150054,16.41602395,17.07336219,17.92999944,16.60874315,17.2790863,17.70437714,10.32621761,14.49735675,14.14975106,,"Food import, current US$",Albania,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,321077048.2,175626641,226778690.5,315906708.2,237995256.6,256933569.6,303182115.1,365770346,444802923.6,425192891,610530414.8,687651977.2,861939753.7,776843101.5,789985017.3,896149815.7,843612683.6,867808018.5,540040631.6,626343612.7,660679718
Albania,ALB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.07672667,11.08539894,9.820444318,5.532591892,6.616207793,5.750397884,3.463285233,5.621865369,5.669594911,9.338585434,7.698351573,5.229415559,4.31107302,5.624207625,4.471958018,4.109861138,4.577602012,4.513193323,3.002909203,5.610236234,8.239678325,,"Food export, current US$",Albania,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,23399585.09,15408704.53,20400991.03,19426036.65,17065184.76,17664647.26,11759585.01,25183145.92,34323727.59,61447892.15,61432845.56,56351136.18,58407710.6,61337608.36,69074444.89,80185199.13,90086704.05,105225643.9,72989371.72,108252468.7,161670860.9
Albania,ALB,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,81000000,72000000,65000000,71000000,98000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,380000000,410000000,230000000,572000000,607000000,713500000,936790000,646180000,841760000,1154290000,1090000000,1326920000,1503720000,1864130000,2309000000,2618000000,3058000000,4187510000,5250600000,4550030000,4405940000,5395651000,4882276000,4901658000,5229801000,4320398701,4669196759,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,49000000,49000000,41000000,48000000,60000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,230000000,100000000,70000000,122460000,142700000,202000000,211250000,139000000,207740000,351120000,257930000,307190000,339550000,447950000,605400000,658000000,798000000,1077580000,1354830000,1090600000,1544613000,1951044000,1967989000,2331512000,2430622000,1929552771,1962101608,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,25.77836513,..,19.29854693,15.71472903,12.7373196,15.63013932,..,16.09275814,19.81681157,21.70112919,17.73769957,17.18204626,16.61248136,18.51801005,20.9550381,20.7408853,20.68934116,21.21634149,19.20045742,25.42061723,21.9484424,27.35147795,27.50475151,35.24016829,23.68783612,26.07451532,28.50745402,27.35823918,33.03614675,29.45387839,31.26866783,31.82310342,29.87436722,27.42254418,28.16683826,26.13383769,25.08158293,22.41993552,21.91208842,19.32617549,19.20437933,19.83225917,21.42498031,16.3381657,16.3002029,22.79116913,19.85224435,19.06256307,20.1031063,19.31403809,19.02723266,,"Food import, current US$",Algeria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,165831707.3,#VALUE!,157216577.5,158577330.6,160085180.2,191788061.5,#VALUE!,359787403,799651944,1193023918,901334108.8,1224219078,1419975101,1556020237,2212432923,2344342266,2224931749,2206287351,1975343060,2501642941,2025402265,1926091077,2115115391,3337243937,2316670373,2025989841,2437387319,2403421312,3095486950,2974841717,2842321906,2764791225,2808190519,2512453498,2583180737,2597703467,3002089905,2775677697,3981119696,3934229545,4120491629,5479851532,8458367976,6419918831,6597181120,10768143677,10001163659,10489747207,11776399673,9985743972,8890855007
Algeria,DZA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,30.96960498,..,16.09081253,20.54700706,19.98327498,12.35276361,..,12.29658517,3.882369284,4.070764137,3.053120327,2.289471632,2.409578027,1.136448246,0.770226833,0.931555184,0.623873045,0.33879592,0.405205815,0.550602798,0.335035799,0.364621786,0.381643181,0.386809318,0.449680953,0.454700297,0.727440907,0.979174708,0.400537988,1.1797134,1.223454138,0.268184668,0.341639302,0.223124461,0.163458381,0.148606444,0.231638366,0.209587695,0.193619707,0.153082861,0.160478308,0.163018507,0.160334955,0.25740348,0.560728903,0.48843896,0.44506495,0.614279708,0.539747167,0.681904276,1.102852984,,"Food export, current US$",Algeria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,192389380,#VALUE!,133561628.5,191900210.8,201571294.7,105809573.2,#VALUE!,232091896.8,181955777.7,191334056,160559628.9,136095351.7,152428219.3,108540580.9,106838164.1,134106684.3,82164080.05,42630690.56,51846084.08,70702905.27,26240003.81,29990141.86,29806332.42,37017651.76,58143747.28,57155827.33,80964172.98,100169572.6,35567773.34,121015000.5,161740637,37261577.74,34877956.3,27946338.77,36011515.82,28432870.94,43545696.35,48546797.88,60610712.98,70421790.26,87642018.62,98077085.25,127142412.7,116279576.9,319910339.6,358948907.4,319850377.1,399122097.6,339425403.2,236402574.3,318537027.3
