country,1990,1995,2000,2005,2010,2014
Afghanistan,139,200,248,316,382,451
Albania,73,73,74,75,75,76
Algeria,526,639,757,871,1019,1154
Argentina,1009,1116,1222,1336,1455,1559
Armenia,111,103,101,100,101,103
Australia,1596,1734,1901,2095,2341,2545
Austria,750,796,816,853,882,919
Bahrain,17,20,25,34,52,58
Bangladesh,9128,10212,11285,12243,13128,13778
Barbados,10,11,11,12,12,13
Belgium,890,937,988,1045,1124,1191
Belize,1,1,2,2,2,3
Benin,2037,2449,2872,3372,3965,4453
"Bolivia (Plurinational
State of)",132,149,171,193,217,240
Botswana,453,504,532,600,708,776
Brazil,1925,2174,2429,2717,2987,3185
Bulgaria,2296,2147,2045,1964,1920,1887
Burundi,2739,2908,3370,3952,4707,5426
Cambodia,90,108,125,137,153,167
Cameroon,1962,2250,2557,2945,3429,3837
Canada,2137,2315,2511,2705,2895,3088
Central African Republic,467,532,594,650,742,815
Chile,337,380,423,465,508,545
China,23086,26012,28448,30647,32811,34371
Colombia,523,601,677,757,838,902
Congo,698,802,912,1084,1370,1522
Costa Rica,37,43,50,56,61,66
Côte d’Ivoire,2054,2403,2692,3012,3413,3727
Croatia,253,254,250,260,266,263
Cuba,297,322,340,356,367,376
Cyprus,36,43,50,58,65,70
Czech Republic,605,636,643,645,679,692
"Democratic
Republic of the Congo",19,24,29,35,43,51
Denmark,572,592,615,635,655,676
Dominican Republic,139,158,179,200,223,241
Ecuador,115,134,156,177,201,221
Egypt,3423,3864,4219,4746,5398,6088
El Salvador,118,130,141,151,160,167
Estonia,81,76,77,76,77,77
Fiji,11,13,13,13,14,16
Finland,501,531,552,574,656,668
France,3997,4244,4530,4861,5176,5439
Gabon,11,14,16,20,23,27
Gambia,6,7,9,11,14,16
Germany,9052,9467,9692,9806,9890,9928
Ghana,1241,1389,1526,1723,1960,2158
Greece,567,623,671,718,759,763
Guatemala,1207,1368,1534,1705,1908,2071
Guyana,2,2,2,2,2,2
Haiti,3022,3389,3790,4180,3655,4699
Honduras,17,20,24,27,31,34
Hungary,554,585,604,617,627,636
Iceland,25,27,29,32,35,37
India,315760,336737,370475,402271,433257,457110
Indonesia,2145,2472,2793,3145,3533,3851
Iran (Islamic Republic of),844,961,1124,1303,1489,1655
Iraq,307,383,478,586,717,853
Ireland,268,285,313,363,419,439
Israel,260,315,366,408,482,536
Italy,3484,3644,3808,4045,4280,4510
Jamaica,42,46,50,53,56,57
Japan,12310,12931,13528,13987,14505,14688
Jordan,63,90,106,127,165,197
Kazakhstan,571,567,552,576,648,705
Kenya,2526,2913,3262,3822,4624,5208
Kuwait,708,554,651,745,869,966
Kyrgyzstan,125,135,150,164,179,195
"Lao People’s
Democratic Republic",110,127,143,156,172,185
Latvia,114,110,108,106,102,99
Lesotho,1007,1051,1036,986,1050,1069
Liberia,1792,1652,2324,2622,3330,3627
Lithuania,186,194,197,193,188,183
Luxembourg,49,55,60,66,74,84
Malawi,3519,3622,4046,4698,5850,6892
Malaysia,168,207,252,298,344,381
Maldives,5,7,8,9,11,12
Mali,3614,4092,4704,5528,6497,7355
Malta,15,16,17,19,20,22
Mauritania,1030,1200,1349,1536,1741,1915
Mauritius,23,25,28,29,31,32
Mexico,1747,2045,2363,2631,2968,3247
Mongolia,110,121,130,140,152,165
Morocco,2947,3228,3484,3730,3980,4186
Mozambique,10148,12536,14347,15947,18087,20200
Myanmar,2864,3130,3398,3631,3838,4000
Namibia,75,88,102,111,126,141
Nepal,2642,3083,3448,3751,3998,4266
Netherlands,1344,1426,1507,1584,1640,1688
New Zealand,217,245,264,288,308,324
Nicaragua,148,174,192,210,228,241
Niger,3998,4695,5581,6710,8148,9452
Nigeria,25718,29233,33063,38005,43909,49003
Norway,596,623,653,683,735,788
Pakistan,1033,1207,1397,1603,1853,2087
Panama,33,38,44,50,56,62
Papua New Guinea,3912,4497,5155,5853,6529,7032
Paraguay,37,43,50,58,64,70
Peru,211,245,278,309,343,374
Philippines,1342,1579,1823,2085,2329,2533
Poland,1501,1560,1599,1637,1674,1707
Portugal,341,360,392,429,458,466
Qatar,21,23,27,39,82,102
Republic of Korea,1301,1465,1635,1762,1903,1996
Republic of Moldova,87,91,93,96,98,100
Romania,920,933,957,947,931,940
Russian Federation,12773,12865,12753,12543,12708,12962
Rwanda,794,629,962,1127,1343,1513
Saudi Arabia,452,572,695,890,1091,1267
Senegal,1891,2160,2444,2803,3239,3614
Serbia,793,794,788,787,789,783
Sierra Leone,4167,3834,3767,4801,5497,5939
Singapore,121,150,182,199,254,285
Slovakia,246,253,261,264,272,279
Slovenia,99,101,104,107,111,114
South Africa,3163,3491,3807,4050,4459,4801
Spain,1796,1982,2132,2433,2709,2796
Sri Lanka,292,331,369,385,392,449
Sudan (former),6279,7807,8939,10271,10727,11597
Swaziland,14,17,20,22,25,28
Sweden,807,861,903,951,1014,1070
Switzerland,1047,1117,1159,1210,1295,1365
Syrian Arab Republic,336,397,464,527,618,535
Tajikistan,141,162,179,200,227,252
Thailand,1146,1263,1406,1555,1657,1752
Togo,276,311,365,420,490,558
Trinidad and Tobago,52,55,57,60,63,65
Tunisia,157,184,211,237,273,305
Turkey,952,1076,1214,1359,1498,1662
Uganda,8820,10403,12068,14814,17859,20695
Ukraine,17579,17244,16241,15419,15267,15132
United Arab Emirates,971,1309,1719,2245,3008,3396
United Kingdom,3960,4117,4323,4548,4848,5129
"United Republic of
Tanzania",8259,9635,10926,12798,15218,17381
United States of America,22901,24852,26787,28289,30118,31265
Uruguay,190,200,210,214,220,225
"Venezuela
(Bolivarian Republic of)",315,367,419,478,536,587
Viet Nam,618,703,777,846,924,991
Yemen,1758,2185,2575,3016,3529,3981
Zambia,5642,6401,7309,8597,10529,12037
Zimbabwe,10625,11013,10872,10575,11484,14190
