country,1990,1995,2000,2005,2010,2014
Afghanistan,15,14,14,14,15,16
Albania,36,36,38,42,46,49
Algeria,55,52,51,51,51,52
Argentina,72,71,72,71,74,76
Armenia,36,37,38,39,43,44
Australia,367,365,368,376,385,392
Austria,210,226,244,258,272,280
Bahrain,99,101,97,93,96,98
Bangladesh,87,87,87,87,88,89
Barbados,81,82,84,89,92,94
Belgium,178,192,209,224,239,250
Belize,90,83,72,64,58,54
Benin,417,417,420,418,422,425
Bolivia (Plurinational State of),129,117,108,100,93,88
Botswana,383,369,352,367,390,395
Brazil,76,71,68,65,64,65
Bulgaria,278,270,266,272,284,285
Burundi,489,467,499,499,498,503
Cambodia,38,32,29,26,25,24
Cameroon,186,181,177,176,179,173
Canada,348,342,343,346,351,328
Central African Republic,232,224,216,212,214,213
Chile,59,60,62,64,69,74
China,30,31,33,35,39,44
Colombia,52,51,50,48,49,39
Congo,425,411,393,397,413,409
Costa Rica,36,34,34,35,37,43
Côte d’Ivoire,186,182,178,178,180,177
Croatia,77,80,87,95,105,111
Cuba,41,42,43,43,45,46
Cyprus,100,108,111,116,126,127
Czech Republic,103,110,117,124,134,140
Democratic Republic of the Congo,40,33,28,24,21,18
Denmark,227,238,256,275,294,302
Dominican Republic,31,32,35,37,40,42
Ecuador,53,48,45,42,41,42
Egypt,66,67,67,68,71,73
El Salvador,29,30,32,33,35,37
Estonia,84,85,87,106,118,126
Fiji,34,35,35,35,36,38
Finland,242,248,263,280,305,309
France,161,174,186,199,213,222
Gabon,1235,1079,951,849,760,699
Gambia,13,12,12,12,12,12
Germany,225,237,251,261,274,285
Ghana,92,89,87,86,86,87
Greece,137,140,147,159,172,172
Guatemala,148,147,144,141,141,140
Guyana,289,288,282,282,279,317
Haiti,428,435,445,453,368,447
Honduras,28,24,21,20,19,18
Hungary,88,92,98,105,112,117
Iceland,638,616,608,608,603,591
India,368,355,357,357,358,359
Indonesia,30,29,29,29,29,29
Iran (Islamic Republic of),110,103,96,93,91,88
Iraq,109,97,86,78,72,67
Ireland,169,177,201,234,260,275
Israel,102,108,116,119,127,135
Italy,147,159,171,185,195,196
Jamaica,46,48,49,51,52,52
Japan,212,236,255,267,277,284
Jordan,29,30,32,33,35,36
Kazakhstan,108,118,122,120,117,115
Kenya,111,109,108,111,117,119
Kuwait,1166,1358,1183,1035,807,685
Kyrgyzstan,34,35,36,37,38,39
Lao People’s Democratic Republic,62,57,55,53,52,53
Latvia,63,66,71,79,92,99
Lesotho,633,602,562,516,526,511
Liberia,872,813,817,813,850,833
Lithuania,73,77,81,88,98,105
Luxembourg,261,284,315,351,382,398
Malawi,377,372,364,371,398,415
Malaysia,51,50,49,47,47,50
Maldives,42,41,43,45,46,48
Mali,436,433,433,436,434,434
Malta,60,68,77,85,96,101
Mauritania,521,524,506,494,492,490
Mauritius,31,33,36,40,44,47
Mexico,51,52,53,56,58,60
Mongolia,158,152,152,143,136,135
Morocco,126,127,129,132,135,135
Mozambique,780,805,800,768,760,757
Myanmar,74,75,76,77,78,79
Namibia,100,95,92,94,99,100
Nepal,153,154,154,155,156,159
Netherlands,195,206,222,238,255,262
New Zealand,612,565,553,519,597,553
Nicaragua,50,51,50,50,50,51
Niger,509,504,499,499,502,496
Nigeria,281,280,277,279,281,281
Norway,440,433,431,428,434,440
Pakistan,25,22,20,19,18,17
Panama,39,38,38,38,40,47
Papua New Guinea,1021,1023,1018,1013,998,998
Paraguay,40,37,35,33,32,31
Peru,78,71,68,64,63,66
Philippines,27,28,28,29,30,31
Poland,65,66,71,75,81,87
Portugal,81,90,102,114,123,126
Qatar,1050,991,840,627,380,374
Republic of Korea,61,76,93,110,126,138
Republic of Moldova,35,36,36,37,37,35
Romania,61,63,65,69,77,81
Russian Federation,181,197,195,196,198,198
Rwanda,110,107,121,126,132,135
Saudi Arabia,412,389,342,299,273,264
Senegal,264,259,257,257,258,254
Serbia,116,116,117,119,126,129
Sierra Leone,1066,1005,933,951,955,944
Singapore,85,99,119,135,147,164
Slovakia,77,80,85,90,97,101
Slovenia,100,105,116,128,141,144
South Africa,117,114,109,107,110,112
Spain,115,128,142,157,171,178
Sri Lanka,24,25,26,26,27,30
Sudan (former),335,333,332,334,309,302
Swaziland,31,35,36,37,37,37
Sweden,230,238,255,273,291,298
Switzerland,308,361,397,405,421,428
Syrian Arab Republic,37,36,36,36,36,35
Tajikistan,30,31,32,32,32,32
Thailand,32,36,37,39,41,44
Togo,76,75,77,77,79,80
Trinidad and Tobago,142,135,132,128,119,107
Tunisia,31,32,34,36,39,42
Turkey,39,41,43,45,48,51
Uganda,511,513,511,531,541,550
Ukraine,362,360,356,353,359,360
United Arab Emirates,1435,1245,1092,863,569,575
United Kingdom,145,155,170,183,194,201
United Republic of Tanzania,336,332,330,335,340,345
United States of America,219,225,240,257,270,276
Uruguay,84,86,88,90,93,97
Venezuela (Bolivarian Republic of),282,252,228,208,195,187
Viet Nam,15,15,16,16,17,18
Yemen,156,150,150,152,155,157
Zambia,739,732,725,744,783,790
Zimbabwe,1023,951,877,821,827,936
