country,1990,1995,2000,2005,2010,2014
Afghanistan,177,237,283,353,422,493
Albania,118,116,118,125,135,141
Algeria,1426,1509,1596,1692,1853,2032
Argentina,2364,2497,2655,2789,3046,3273
Armenia,129,120,117,119,129,134
Australia,6270,6592,7048,7666,8480,9207
Austria,1613,1792,1955,2124,2272,2394
Bahrain,49,57,65,81,121,134
Bangladesh,9243,10336,11433,12427,13372,14088
Barbados,21,22,23,24,26,27
Belgium,1770,1946,2142,2352,2609,2803
Belize,17,17,18,18,19,19
Benin,2085,2496,2918,3418,4013,4504
"Bolivia (Plurinational
State of)",882,888,900,908,918,931
Botswana,528,581,612,684,799,877
Brazil,11367,11624,11943,12261,12731,13407
Bulgaria,2425,2273,2172,2108,2097,2056
Burundi,2747,2915,3377,3959,4715,5436
Cambodia,341,346,348,348,357,368
Cameroon,2240,2516,2814,3195,3679,3951
Canada,9663,10046,10545,11179,11937,11659
Central African Republic,681,746,806,861,951,1024
Chile,779,847,937,1036,1170,1315
China,34176,37795,41374,45731,52592,60253
Colombia,1797,1909,2005,2085,2246,1878
Congo,1014,1118,1223,1391,1681,1845
Costa Rica,112,120,132,147,168,203
Côte d’Ivoire,2263,2623,2936,3234,3618,3912
Croatia,370,373,385,421,463,470
Cuba,439,461,475,489,507,522
Cyprus,77,92,105,120,140,146
Czech Republic,1068,1131,1197,1269,1399,1468
"Democratic Republic of the
Congo",1389,1378,1365,1357,1356,1361
Denmark,1168,1244,1367,1492,1629,1707
Dominican Republic,223,253,299,342,398,439
Ecuador,538,552,564,581,610,665
Egypt,3737,4179,4545,5090,5792,6512
El Salvador,150,167,183,199,214,225
Estonia,132,123,122,144,158,166
Fiji,25,27,28,29,31,34
Finland,1207,1269,1363,1466,1635,1690
France,9425,10349,11354,12592,13859,14733
Gabon,1176,1173,1171,1170,1171,1179
Gambia,12,13,15,17,20,23
Germany,17894,19362,20605,21486,22377,23091
Ghana,1349,1495,1633,1832,2080,2321
Greece,1395,1482,1591,1749,1910,1873
Guatemala,1358,1518,1688,1864,2072,2248
Guyana,208,209,209,209,210,242
Haiti,3038,3405,3808,4201,3678,4724
Honduras,139,137,134,136,140,142
Hungary,910,952,998,1063,1122,1155
