country,1990,1995,2000,2005,2010,2014
Afghanistan,12,12,12,12,12,12
Albania,20,19,19,19,19,19
Algeria,619,577,530,475,413,366
Argentina,867,848,825,819,820,799
Armenia,3,3,2,2,5,5
Australia,3341,3302,3247,3175,3034,2907
Austria,58,59,61,61,60,57
Bahrain,8,6,5,4,3,2
Bangladesh,62,58,56,54,54,51
Barbados,1,1,1,1,1,0
Belgium,4,5,6,6,7,6
Belize,14,14,13,13,13,13
Benin,38,36,33,32,30,30
Bolivia (Plurinational State of),737,724,710,694,676,659
Botswana,67,64,61,59,56,54
Brazil,7543,7382,7198,7037,6840,6786
Bulgaria,82,80,78,78,79,56
Burundi,5,5,4,4,4,4
Cambodia,248,233,217,201,189,180
Cameroon,246,233,220,208,200,53
Canada,5516,5436,5348,5247,5143,4103
Central African Republic,211,209,208,207,205,205
Chile,351,338,327,323,310,305
China,9552,9417,9094,8640,8247,7882
Colombia,997,970,946,909,878,308
Congo,301,297,291,285,282,277
Costa Rica,52,48,45,46,47,62
Côte d’Ivoire,62,73,84,84,84,83
Croatia,23,25,25,26,26,25
Cuba,31,33,35,36,35,33
Cyprus,1,1,1,1,1,1
Czech Republic,81,77,71,66,61,57
Democratic Republic of the Congo,1320,1307,1294,1281,1268,1258
Denmark,77,69,60,49,41,34
Dominican Republic,37,37,36,35,35,34
Ecuador,335,319,301,283,264,263
Egypt,219,199,176,156,135,117
El Salvador,9,9,9,9,9,9
Estonia,20,15,10,22,21,21
Fiji,8,8,8,8,8,8
Finland,166,169,171,166,161,155
France,276,276,277,279,278,275
Gabon,1123,1117,1109,1103,1098,1098
Gambia,5,5,5,4,4,4
Germany,1633,1574,1528,1485,1442,1413
Ghana,78,74,71,66,62,79
Greece,249,243,228,219,212,204
Guatemala,109,103,95,89,81,86
Guyana,203,203,202,202,202,233
Haiti,8,7,7,6,5,5
Honduras,107,97,85,78,71,65
Hungary,69,66,63,61,58,57
Iceland,106,104,102,100,99,98
India,3605,3552,3489,3426,3344,3242
Indonesia,2974,2811,2684,2587,2446,2302
Iran (Islamic Republic of),4768,4682,4577,4437,4314,4116
Iraq,1541,1528,1504,1470,1434,1397
Ireland,43,35,33,32,32,30
Israel,15,14,14,14,13,13
Italy,355,345,356,355,362,335
Jamaica,32,33,32,32,30,30
Japan,567,548,531,509,501,458
Jordan,8,8,7,7,7,7
Kazakhstan,930,1015,998,973,937,904
Kenya,46,46,44,44,43,47
Kuwait,1606,1575,1524,1472,1409,1358
Kyrgyzstan,16,16,16,17,18,18
Lao People’s Democratic Republic,150,147,145,142,140,152
Latvia,21,22,23,24,27,25
Lesotho,0,0,0,0,0,0
Liberia,37,36,35,34,33,32
Lithuania,17,17,18,18,18,17
Luxembourg,1,1,1,1,1,1
Malawi,25,24,23,23,22,22
Malaysia,628,597,558,513,471,461
Maldives,3,3,3,3,2,2
Mali,75,75,74,72,69,46
Malta,0,0,0,0,0,0
Mauritania,20,18,17,15,15,13
Mauritius,2,2,2,2,2,2
Mexico,1151,1106,1055,1002,952,948
Mongolia,221,213,218,202,198,201
Morocco,84,82,79,77,75,75
Mozambique,272,267,262,258,371,367
Myanmar,253,237,220,203,188,175
Namibia,54,56,58,60,66,64
Nepal,222,202,182,170,170,170
Netherlands,157,138,120,105,89,75
New Zealand,1609,1595,1592,1520,1889,1713
Nicaragua,42,41,39,37,34,36
Niger,15,13,12,12,11,11
Nigeria,953,917,868,811,742,697
Norway,584,533,452,369,298,250
Pakistan,1448,1302,1156,1006,859,747
Panama,46,44,42,41,40,47
Papua New Guinea,327,318,309,300,292,398
Paraguay,115,110,112,108,106,100
Peru,1332,1305,1287,1263,1234,1294
Philippines,142,141,142,143,149,140
Poland,545,524,504,480,461,447
Portugal,62,63,65,63,62,58
Qatar,452,443,430,411,383,351
Republic of Korea,418,418,426,437,440,394
Republic of Moldova,6,6,7,7,7,1
Romania,218,209,201,191,188,184
Russian Federation,10921,12965,12694,12390,12079,11754
Rwanda,3,2,3,3,4,4
Saudi Arabia,5882,6299,6090,5872,5621,5547
Senegal,82,78,75,73,71,71
Serbia,25,26,27,30,42,36
Sierra Leone,20,19,19,18,16,16
Singapore,0,0,0,0,0,0
Slovakia,15,16,15,15,15,14
Slovenia,24,25,25,26,27,25
South Africa,481,461,437,410,384,363
Spain,295,300,309,310,310,308
Sri Lanka,79,73,68,62,59,63
Sudan (former),413,398,381,374,363,203
Swaziland,2,3,3,3,3,3
Sweden,209,204,199,202,197,154
Switzerland,86,85,85,85,84,84
Syrian Arab Republic,81,72,60,50,42,36
Tajikistan,6,7,6,6,6,6
Thailand,345,330,309,290,274,272
Togo,6,5,5,4,4,4
Trinidad and Tobago,72,67,62,53,41,28
Tunisia,28,26,23,21,19,17
Turkey,650,640,636,622,587,583
Uganda,48,46,45,43,41,38
Ukraine,672,725,717,706,694,680
United Arab Emirates,1346,1298,1249,1196,1137,1086
United Kingdom,490,417,327,251,202,166
United Republic of Tanzania,290,278,265,253,242,380
United States of America,10980,10671,10372,10189,10018,9490
Uruguay,38,38,38,37,36,36
Venezuela (Bolivarian Republic of),4788,4715,4626,4542,4467,4423
Viet Nam,359,358,358,350,337,328
Yemen,89,85,78,70,86,81
Zambia,349,344,339,334,329,328
Zimbabwe,102,95,88,81,74,68
