Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,..,14.04498667,14.32380755,14.61753668,14.92629507,15.250314,15.58501976,15.92979506,16.29302301,16.68623595,17.11491285,17.57719113,18.06086297,18.54756456,19.01318813,19.43626505,19.8252198,20.17477867,20.43500597,20.54200901,20.45846123,20.17534081,19.73245106,19.20431639,18.69358208,18.28601538,17.97656312,17.77491958,17.79555341,18.17981956,19.01220476,20.37039641,22.18782894,24.22663818,26.15526606,27.74049107,28.87822351,29.64973501,30.23276813,30.89612474,31.82911038,33.09589805,34.61809576,36.27251019,37.87440493,39.2952195,40.48808167,41.51048617,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.7120715,54.19711424,55.59599302,56.93776001
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,..,60.57664234,62.45689781,64.32923358,66.20930657,68.05806569,69.87492701,71.73715328,73.80554745,75.97427007,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,..,4.759687875,4.878713881,5.00172269,5.131406031,5.269628507,5.417311293,5.573667151,5.736807124,5.903970207,6.073284657,6.244279392,6.417992728,6.595944562,6.780347561,6.972930295,7.173663372,7.382377589,7.600437495,7.829492304,8.070429602,8.323453022,8.587378135,8.859856659,9.137678756,9.418115327,9.699794688,9.981897268,10.26286119,10.5411128,10.81514733,11.08453442,11.34814295,11.603078,11.84586647,12.07427553,12.28782529,12.48792018,12.67676321,12.85757723,13.03342724,13.20526758,13.37472142,13.54646477,13.72616784,13.91827991,14.12454844,14.34538279,14.58203162,14.8353225,15.10553419,15.39271457,15.69604029,16.01355815,16.34254243,16.68025267,17.02595749,17.37771461,17.73007507
Algeria,DZA,"Population, total",SP.POP.TOTL,11057863,11336339,11619828,11912803,12221675,12550885,12902627,13275026,13663583,14061722,14464985,14872250,15285990,15709825,16149025,16607707,17085801,17582904,18102266,18647815,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,..,103.01,106.265,110.17,114.27,118.36,122.31,126.24,129.945,133.515,136.815,139.92,142.835,145.5,147.98,150.26,152.28,154.19,156.345,159.225,163.23,168.505,174.84,182.06,189.73,197.595,205.595,213.7,221.715,229.47,236.735,243.425,249.48,255.1,260.475,265.805,271.055,276.105,280.855,285.265,289.105,292.47,295.4,297.52,298.405,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325
American Samoa,ASM,"Population, total",SP.POP.TOTL,20123,20602,21253,22034,22854,23672,24462,25248,25989,26703,27363,27984,28567,29100,29596,30052,30456,30838,31269,31845,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,..,30.58510638,32.70212766,34.91914894,37.16808511,39.46595745,41.80212766,44.16595745,46.57446809,49.05957447,51.65106383,54.38085106,57.21702128,60.06808511,62.80851064,65.32978723,67.6106383,69.72553191,71.78085106,74.08085106,76.73829787,79.78723404,83.2212766,86.95106383,90.86382979,94.89361702,98.97234043,103.0957447,107.306383,111.5914894,115.9765957,120.5765957,125.293617,129.7255319,133.3553191,135.8510638,136.9361702,136.8659574,136.4723404,136.9574468,139.1276596,143.2787234,149.0404255,155.706383,162.2212766,167.8021277,172.3255319,175.9234043,178.4297872,179.7085106,179.6787234,178.1851064,175.3765957,171.8595745,168.5382979,165.9808511,164.4617021,163.8319149,163.8425532
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,..,4.436890992,4.498707789,4.555593166,4.600179674,4.628675704,4.637213443,4.631621882,4.629543595,4.654892115,4.724765381,4.845413492,5.012073474,5.211327505,5.423421834,5.634073955,5.839022219,6.042941365,6.249063127,6.463517286,6.690694634,6.930653726,7.181318681,7.442124007,7.712163311,7.99069303,8.277942568,8.574035454,8.877877597,9.188078126,9.503798829,9.825058956,10.15269592,10.4877268,10.83159301,11.18569503,11.55107002,11.92874789,12.32020614,12.72709473,13.1510973,13.59248656,14.05263255,14.53555707,15.04623807,15.58803401,16.16259004,16.7685594,17.40244967,18.05910083,18.73445576,19.42781824,20.13951311,20.86771477,21.61047485,22.3665525,23.13506377,23.91653806,24.71305206
Angola,AGO,"Population, total",SP.POP.TOTL,5454933,5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,..,125.0022727,126.9113636,128.8681818,131.0022727,133.4045455,136.1704545,139.1840909,142.0931818,144.4318182,145.8568182,146.2659091,145.7568182,144.6590909,143.4545455,142.4431818,141.7431818,141.2704545,140.9909091,140.8,140.6022727,140.4545455,140.4068182,140.425,140.4227273,140.4227273,140.35,140.2659091,140.3886364,140.9272727,142.1090909,144.0159091,146.525,149.4931818,152.7363636,156.0681818,159.4840909,162.9636364,166.4181818,169.7136364,172.7636364,175.4818182,177.9431818,180.2272727,182.5818182,185.1477273,187.9636364,190.9681818,194.0840909,197.15,200.0636364,202.8477273,205.475,207.9909091,210.3681818,212.65,214.8340909,216.8772727,218.8318182
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,54131,55001,55841,56702,57641,58698,59915,61241,62521,63550,64177,64357,64133,63650,63120,62675,62367,62159,62036,61952,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,..,7.60673149,7.729429347,7.852154245,7.974752347,8.097245212,8.219431138,8.34178113,8.46579883,8.593450848,8.726074565,8.864563031,9.008391524,9.155760426,9.304050514,9.4514819,9.597243751,9.742206096,9.888239808,10.03805181,10.19352868,10.3550329,10.52166961,10.69249604,10.86608019,11.04117712,11.21755259,11.39493878,11.57198989,11.74708644,11.91901567,12.08722946,12.2517808,12.41284581,12.57090573,12.72638479,12.87919859,13.02940011,13.17776548,13.325301,13.4727671,13.62070677,13.76909661,13.91749449,14.06515608,14.21166848,14.35671486,14.50083678,14.6454878,14.79261005,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101
Argentina,ARG,"Population, total",SP.POP.TOTL,20481779,20817266,21153052,21488912,21824425,22159650,22494035,22828869,23168267,23517611,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,..,68.1943098,70.58398314,72.97428872,75.34250088,77.67190025,79.94499473,82.16111697,84.33940991,86.50958904,88.69223744,90.89244819,93.09750615,95.2857745,97.42704601,99.49978925,101.4955743,103.4205479,105.2833509,107.0990165,108.8779066,110.5759045,112.1773446,113.754654,115.4056551,117.1738672,119.1522304,121.2485774,123.1000702,124.2175623,124.2771689,123.1211099,120.927889,118.1281349,115.3377942,113.0083597,111.2827889,110.0487882,109.1916754,108.5009484,107.8184405,107.1544433,106.5675448,106.003934,105.3993678,104.7161574,103.9096242,103.0073059,102.1291886,101.4433439,101.0649456,101.0375132,101.3076572,101.7767475,102.2972603,102.75915,103.1312259,103.4355111,103.6802248
Armenia,ARM,"Population, total",SP.POP.TOTL,1874121,1941492,2009526,2077578,2145001,2211319,2276034,2339127,2401143,2462928,2525068,2587708,2650486,2712786,2773748,2832759,2889579,2944383,2997417,3049109,3099754,3148096,3193689,3238595,3285599,3335940,3392264,3451947,3504659,3536474,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776
