Country,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total
Åland Islands,0,0,0,0,0,0,0,0,0,0,11,11
Afghanistan,0,0,0,1,2,2,5,6,0,9,255,275
Albania,0,0,0,0,0,1,1,4,0,26,387,418
Algeria,0,0,0,6,7,7,20,27,0,7,312,366
American Samoa,0,0,0,0,0,1,1,2,0,0,13,16
Andorra,0,0,0,0,0,0,0,1,0,5,101,107
Angola,0,0,0,0,4,32,36,13,0,23,327,399
Anguilla,0,0,0,1,2,1,4,0,0,0,32,36
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,3,1,4,1,0,0,61,66
Argentina,0,1,1,7,21,42,70,22,1,20,397,511
Armenia,0,0,0,18,41,13,72,11,0,29,188,300
Aruba,0,0,0,0,1,1,2,1,0,0,30,33
Australia,1,0,1,9,32,58,99,47,3,7,584,741
Austria,0,0,0,2,12,3,17,8,0,22,423,470
Azerbaijan,0,0,0,7,17,18,42,15,0,18,202,277
Bahamas,0,0,0,0,3,4,7,6,0,3,93,109
Bahrain,0,0,0,0,0,0,0,0,0,0,20,20
Bangladesh,0,0,0,2,7,13,22,7,0,10,334,373
Barbados,0,0,0,0,1,2,3,0,0,1,51,55
Belarus,0,0,0,0,1,0,1,2,0,12,220,235
Belgium,0,1,1,0,0,0,0,3,0,11,328,343
Belize,0,0,0,2,18,21,41,4,0,3,169,217
Benin,0,0,0,0,3,16,19,3,0,7,214,243
Bermuda,0,1,1,2,5,1,8,1,0,1,33,44
Bhutan,1,0,1,11,18,14,43,13,0,29,318,404
Bolivia Plurinational States of,1,3,4,7,26,72,105,29,2,32,393,565
Bosnia and Herzegovina,0,0,0,0,2,1,3,4,0,22,295,324
Botswana,0,0,0,0,1,1,2,3,0,5,210,220
Bouvet Island,0,0,0,0,0,0,0,0,0,0,1,1
Brazil,5,3,8,83,193,257,533,93,22,75,563,1294
British Indian Ocean Territory,0,0,0,0,0,1,1,0,0,0,12,13
Brunei Darussalam,0,0,0,36,29,46,111,26,4,4,110,255
Bulgaria,0,0,0,0,3,6,9,8,0,37,434,488
Burkina Faso,0,0,0,0,0,3,3,1,0,6,148,158
Burundi,0,0,0,21,47,21,89,4,1,5,208,307
Côte d'Ivoire,2,0,2,3,23,91,117,22,1,8,242,392
Cambodia,0,0,0,1,17,19,37,16,0,12,302,367
Cameroon,1,0,1,108,144,283,535,65,2,20,374,997
Canada,1,0,1,5,4,8,17,17,0,13,861,909
Cape Verde,2,0,2,16,27,8,51,6,0,9,42,110
Cayman Islands,0,0,0,11,7,4,22,3,0,3,72,100
Central African Republic,0,0,0,1,6,17,24,9,1,7,183,224
Chad,0,0,0,0,2,4,6,1,0,6,165,178
Chile,1,3,4,21,24,27,72,16,1,8,154,255
China,3,1,4,95,247,232,574,82,4,136,942,1742
Christmas Island,0,0,0,0,0,1,1,0,0,0,13,14
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,9,9
Colombia,3,4,7,44,105,110,259,48,4,27,402,747
Comoros,0,0,0,2,5,2,9,0,0,0,60,69
Congo The Democratic Republic of the,2,0,2,9,45,95,149,31,3,27,427,639
Congo,0,0,0,1,9,36,46,13,1,3,220,283
Cook Islands,1,0,1,8,1,2,11,0,0,3,19,34
Costa Rica,0,0,0,8,46,89,143,48,2,13,291,497
Croatia,0,0,0,0,5,3,8,8,0,32,415,463
Cuba,4,1,5,30,61,88,179,9,0,3,203,399
Curaçao,0,0,0,0,1,1,2,1,0,0,49,52
Cyprus,0,0,0,7,4,10,21,8,0,9,182,220
Czech Republic,0,0,0,9,13,4,26,4,0,21,364,415
Denmark,0,0,0,0,0,1,1,3,0,8,292,304
Disputed Territory,0,0,0,0,0,0,0,0,0,0,2,2
Djibouti,0,0,0,0,1,2,3,0,0,0,45,48
Dominica,0,0,0,1,4,6,11,1,0,2,84,98
Dominican Republic,0,0,0,4,12,25,41,4,0,7,137,189
Ecuador,3,6,9,255,683,919,1857,267,1,302,484,2920
Egypt,0,0,0,3,5,0,8,1,0,4,230,243
El Salvador,0,0,0,1,10,19,30,4,2,8,165,209
Equatorial Guinea,0,0,0,1,22,65,88,23,0,2,147,260
Eritrea,0,0,0,0,1,4,5,4,0,2,105,116
Estonia,0,0,0,0,0,0,0,0,0,4,229,233
Ethiopia,0,0,0,3,13,31,47,34,1,13,372,467
Falkland Islands (Malvinas),0,0,0,0,5,0,5,1,0,1,19,26
Faroe Islands,0,0,0,0,0,0,0,0,0,0,78,78
Fiji,1,0,1,25,19,33,77,13,0,10,103,204
Finland,0,0,0,0,0,2,2,0,0,8,300,310
France,1,1,2,5,15,22,42,29,0,37,644,754
French Guiana,0,0,0,4,2,12,18,3,1,4,157,183
French Polynesia,6,0,6,26,4,18,48,17,0,34,78,183
French Southern Territories,0,0,0,0,0,0,0,0,0,0,4,4
Gabon,0,0,0,6,39,122,167,37,1,11,248,464
Gambia,0,0,0,0,0,5,5,0,0,6,105,116
Georgia,0,0,0,9,15,37,61,12,0,17,263,353
Germany,0,0,0,15,14,7,36,10,0,21,419,486
Ghana,0,0,0,3,22,94,119,16,1,14,270,420
Gibraltar,0,0,0,0,0,0,0,0,0,1,31,32
Greece,0,0,0,15,25,26,66,23,0,57,489,635
Greenland,0,0,0,0,0,1,1,0,0,0,119,120
Grenada,0,0,0,0,2,1,3,2,0,0,60,65
Guadeloupe,0,0,0,0,4,5,9,1,0,1,74,85
Guam,0,0,0,1,1,2,4,0,0,1,23,28
Guatemala,0,0,0,8,48,55,111,14,3,13,276,417
Guernsey,0,0,0,0,0,0,0,0,0,0,63,63
Guinea,0,0,0,5,18,36,59,15,1,20,187,282
Guinea-Bissau,0,0,0,0,0,5,5,2,0,6,114,127
Guyana,0,0,0,1,5,20,26,8,1,8,207,250
Haiti,0,0,0,9,8,24,41,4,0,8,122,175
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,1,1
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,12,12
Honduras,0,1,1,42,49,39,130,10,2,4,233,380
Hong Kong,0,0,0,3,2,4,9,5,0,2,94,110
Hungary,0,0,0,13,14,16,43,4,0,28,349,424
Iceland,0,0,0,0,0,0,0,0,0,2,135,137
India,6,2,8,72,175,143,390,45,1,77,932,1453
Indonesia,0,1,1,116,94,227,437,99,9,89,658,1293
Iran Islamic Republic of,0,0,0,0,3,1,4,5,0,22,330,361
Iraq,0,0,0,0,2,0,2,1,0,10,201,214
Ireland,0,0,0,1,0,2,3,3,0,3,265,274
Isle of Man,0,0,0,0,0,0,0,0,0,0,69,69
Israel,0,0,0,2,14,6,22,7,0,6,211,246
Italy,1,0,1,32,31,23,86,45,0,56,649,837
Jamaica,2,0,2,41,55,118,214,75,0,7,146,444
Japan,0,0,0,13,20,14,47,17,0,28,415,507
Jersey,0,0,0,0,0,0,0,0,0,0,67,67
Jordan,0,0,0,0,5,3,8,4,0,5,151,168
Kazakhstan,0,0,0,5,8,3,16,3,0,23,266,308
Kenya,0,0,0,18,75,141,234,50,1,13,495,793
Kiribati,0,0,0,0,0,0,0,0,0,0,14,14
Korea Democratic People's Republic of,0,0,0,1,11,5,17,3,0,14,175,209
Korea Republic of,0,0,0,4,20,7,31,7,0,10,209,257
Kuwait,0,0,0,0,0,0,0,1,0,0,23,24
Kyrgyzstan,0,0,0,6,6,2,14,3,0,16,165,198
Lao People's Democratic Republic,0,0,0,5,23,25,53,18,0,25,324,420
Latvia,0,0,0,0,0,0,0,1,0,6,211,218
Lebanon,0,0,0,3,12,6,21,6,0,10,241,278
Lesotho,0,0,0,0,1,3,4,1,0,1,92,98
Liberia,0,0,0,2,7,45,54,9,0,5,161,229
Libya,0,0,0,1,0,2,3,2,0,1,162,168
Liechtenstein,0,0,0,0,0,0,0,1,0,8,188,197
Lithuania,0,0,0,0,1,0,1,1,0,8,213,223
Luxembourg,0,1,1,0,0,0,0,1,0,7,206,215
Macao,0,0,0,0,0,0,0,0,0,0,26,26
Macedonia the former Yugoslav Republic of,0,0,0,0,1,1,2,4,0,24,296,326
Madagascar,0,0,0,212,359,218,789,85,0,34,444,1352
Malawi,0,0,0,1,8,17,26,5,1,2,257,291
Malaysia,2,1,3,174,122,421,717,94,110,59,690,1673
Maldives,0,0,0,0,0,0,0,0,0,0,36,36
Mali,0,0,0,1,4,5,10,5,0,15,180,210
Malta,0,0,0,2,1,1,4,1,0,7,132,144
Marshall Islands,0,0,0,0,0,0,0,0,0,0,19,19
Martinique,0,0,0,0,4,5,9,1,0,1,68,79
Mauritania,0,0,0,0,0,0,0,0,0,0,89,89
Mauritius,2,0,2,64,16,11,91,0,0,1,85,179
Mayotte,0,0,0,0,2,1,3,0,0,0,22,25
Mexico,0,0,0,69,176,185,430,59,5,93,938,1525
Micronesia Federated States of,0,0,0,0,2,2,4,1,0,1,55,61
Moldova,0,0,0,0,0,2,2,3,0,10,175,190
Monaco,0,0,0,0,0,0,0,0,0,1,37,38
Mongolia,0,0,0,0,0,0,0,1,0,9,192,202
Montenegro,0,0,0,0,1,2,3,7,0,17,290,317
Montserrat,0,0,0,3,2,1,6,1,0,0,49,56
Morocco,0,0,0,3,16,18,37,35,0,10,340,422
Mozambique,0,0,0,8,31,83,122,24,0,27,355,528
Myanmar,0,0,0,4,28,29,61,25,0,36,525,647
Namibia,0,0,0,3,3,21,27,11,0,8,331,377
Nauru,0,0,0,0,0,0,0,0,0,0,10,10
Nepal,0,0,0,2,8,7,17,2,0,10,405,434
Netherlands,0,0,0,0,0,0,0,1,0,8,310,319
New Caledonia,3,0,3,62,128,159,349,58,14,14,172,610
New Zealand,6,0,6,4,5,12,21,19,2,2,82,132
Nicaragua,0,0,0,3,20,27,50,19,2,3,232,306
Niger,0,0,0,0,0,3,3,0,0,3,131,137
Nigeria,0,0,0,18,32,150,200,28,2,12,368,610
Niue,0,0,0,0,0,0,0,0,0,0,13,13
Norfolk Island,1,0,1,1,0,1,2,0,0,0,10,13
Northern Mariana Islands,0,0,0,2,1,2,5,0,0,0,29,34
Norway,0,0,0,1,4,5,10,2,0,8,324,344
Oman,0,0,0,0,1,5,6,5,0,1,102,114
Pakistan,0,0,0,4,3,5,12,4,0,15,327,358
Palau,0,0,0,0,1,3,4,2,0,0,45,51
Palestinian Territory Occupied,0,0,0,0,3,3,6,5,0,3,181,195
Panama,0,0,0,20,80,109,209,54,2,46,262,573
Papua New Guinea,0,0,0,17,20,119,156,42,0,47,328,573
Paraguay,0,0,0,3,6,10,19,8,1,9,188,225
Peru,1,3,4,28,37,262,327,47,4,49,387,818
Philippines,0,0,0,54,50,139,243,34,3,25,415,720
Pitcairn,0,0,0,1,1,5,7,0,0,0,7,14
Poland,0,1,1,0,4,7,11,8,0,13,376,409
Portugal,1,0,1,26,34,36,96,34,0,38,464,633
Puerto Rico,0,0,0,22,19,15,56,9,0,4,138,207
Qatar,0,0,0,0,0,0,0,0,0,0,22,22
Réunion,0,0,0,9,6,3,18,0,0,1,44,63
Romania,0,0,0,0,5,1,6,6,0,37,399,448
Russian Federation,0,0,0,7,26,23,56,19,0,49,573,697
Rwanda,0,1,1,0,21,20,41,4,1,3,210,260
Saint Barthélemy,0,0,0,0,2,0,2,0,0,0,18,20
Saint Helena Ascension and Tristan da Cunha,8,2,10,27,6,11,44,1,0,5,17,77
Saint Kitts and Nevis,0,0,0,0,1,1,2,1,0,1,42,46
Saint Lucia,0,0,0,0,2,4,6,1,0,1,64,72
Saint Martin (French part),0,0,0,0,3,0,3,1,0,0,49,53
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,34,34
Saint Vincent and the Grenadines,0,0,0,0,2,3,5,2,0,1,61,69
Samoa,0,0,0,1,1,0,2,2,0,0,29,33
San Marino,0,0,0,0,0,0,0,0,0,0,29,29
